Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	sina	2	6	0	0	0.5
emp	sina	2	6	0	0	0.5
CG2678	sina	2	6	0	0	0.5
crc	sina	2	6	1e-04	0	0.5
pros	sina	2	6	0	0	0.5
neur	sina	2	6	0	0	0.5
Rab5	sina	2	6	0	0	0.5
Rab7	sina	2	6	0	0	0.5
Mmp2	sina	2	6	0	0	0.5
W	sina	2	6	0	0	0.5
bowl	sina	2	6	0	0	0.5
fd59A	sina	2	6	0	0	0.5
e	sina	2	6	0	0	0.5
ben	sina	2	6	0	0	0.5
rdo	sina	2	6	0	0	0.5
lin	sina	2	6	0	0	0.5
tra	sina	2	6	3e-04	0	0.5
tra2	sina	2	6	0	0	0.5
cathD	sina	2	6	0	0	0.5
d	sina	2	6	0	0	0.5
lva	sina	2	6	0	0	0.5
pbl	sina	2	6	0	0	0.5
CG33205	sina	2	6	0	0	0.5
da	sina	2	6	0	0	0.5
cactin	sina	2	6	0	0	0.5
hpo	sina	2	6	0	0	0.5
Sema.2a	sina	2	6	0	0	0.5
Eip74EF	sina	2	6	0	0	0.5
eg	sina	2	6	0	0	0.5
Arc42	sina	2	6	0	0	0.5
toy	sina	2	6	0	0	0.5
Galpha73B	sina	2	6	7e-04	0	0.5
RhoGAPp190	sina	2	6	0	0	0.5
MED11	sina	2	6	0	0	0.5
cher	sina	2	6	3e-04	0	0.5
BicD	sina	2	6	0	0	0.5
MYPT.75D	sina	2	6	0	0	0.5
mus304	sina	2	6	0	0	0.5
CdsA	sina	2	6	0	0	0.5
btl	sina	2	6	0	0	0.5
Cyt.c.d	sina	2	6	0	0	0.5
tok	sina	2	6	0	0	0.5
ttk	sina	2	6	0	0	0.5
tamo	sina	2	6	0	0	0.5
CG6416	sina	2	6	0	0	0.5
flfl	sina	2	6	0	0	0.5
Pvr	sina	2	6	0	0	0.5
kay	sina	2	6	0	0	0.5
Jra	sina	2	6	2e-04	0	0.5
msk	sina	2	6	0	0	0.5
tll	sina	2	6	1e-04	0	0.5
Tm1	sina	2	6	0	0	0.5
srp	sina	2	6	0	0	0.5
Btk29A	sina	2	6	0	0	0.5
fred	sina	2	6	0	0	0.5
Src64B	sina	2	6	0	0	0.5
Mmp1	sina	2	6	2e-04	0	0.5
sll	sina	2	6	0	0	0.5
Hmgs	sina	2	6	0	0	0.5
caps	sina	2	6	1e-04	0	0.5
Su.var.2.10	sina	2	6	8e-04	0	0.5
CycB	sina	2	6	0	0	0.5
spir	sina	2	6	0	0	0.5
