Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	sll	2	6	0.0016	0	0.5
emp	sll	2	6	0.0043	0	0.5
CG2678	sll	2	6	0.0039	0	0.5
crc	sll	2	6	9e-04	0	0.5
pros	sll	2	6	0.0015	0	0.5
neur	sll	2	6	0.0457	0	0.5
Rab5	sll	2	6	9e-04	0	0.5
Rab7	sll	2	6	0.0028	0	0.5
Mmp2	sll	2	6	2e-04	0	0.5
W	sll	2	6	0.0021	0	0.5
bowl	sll	2	6	4e-04	0	0.5
fd59A	sll	2	6	4e-04	0	0.5
e	sll	2	6	9e-04	0	0.5
ben	sll	2	6	0.0017	0	0.5
rdo	sll	2	6	0.0043	0	0.5
lin	sll	2	6	3e-04	0	0.5
tra	sll	2	6	0.0025	0	0.5
tra2	sll	2	6	0.001	0	0.5
cathD	sll	2	6	6e-04	0	0.5
d	sll	2	6	2e-04	0	0.5
lva	sll	2	6	1e-04	0	0.5
pbl	sll	2	6	0.001	0	0.5
CG33205	sll	2	6	6e-04	0	0.5
da	sll	2	6	0.0028	0	0.5
cactin	sll	2	6	0.0014	0	0.5
hpo	sll	2	6	0.0016	0	0.5
Sema.2a	sll	2	6	5e-04	0	0.5
Eip74EF	sll	2	6	0.0018	0	0.5
eg	sll	2	6	8e-04	0	0.5
Arc42	sll	2	6	9e-04	0	0.5
toy	sll	2	6	8e-04	0	0.5
Galpha73B	sll	2	6	0.0011	0	0.5
RhoGAPp190	sll	2	6	5e-04	0	0.5
MED11	sll	2	6	0.0013	0	0.5
cher	sll	2	6	0	0	0.5
BicD	sll	2	6	3e-04	0	0.5
MYPT.75D	sll	2	6	0.0192	0	0.5
mus304	sll	2	6	5e-04	0	0.5
CdsA	sll	2	6	4e-04	0	0.5
btl	sll	2	6	1e-04	0	0.5
Cyt.c.d	sll	2	6	0.0028	0	0.5
tok	sll	2	6	0.0013	0	0.5
ttk	sll	2	6	7e-04	0	0.5
tamo	sll	2	6	0.0013	0	0.5
CG6416	sll	2	6	0.0013	0	0.5
flfl	sll	2	6	0.0012	0	0.5
Pvr	sll	2	6	6e-04	0	0.5
kay	sll	2	6	7e-04	0	0.5
Jra	sll	2	6	0.0011	0	0.5
msk	sll	2	6	0.0013	0	0.5
tll	sll	2	6	6e-04	0	0.5
Tm1	sll	2	6	0	0	0.5
srp	sll	2	6	0.0014	0	0.5
Btk29A	sll	2	6	5e-04	0	0.5
fred	sll	2	6	4e-04	0	0.5
Src64B	sll	2	6	0.0027	0	0.5
Mmp1	sll	2	6	0.001	0	0.5
sll	sll	2	6	9e-04	0	0.5
Hmgs	sll	2	6	0.0014	0	0.5
caps	sll	2	6	0.0012	0	0.5
Su.var.2.10	sll	2	6	0.0082	0	0.5
