Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	sno	2	6	3e-04	0	0.5
emp	sno	2	6	1e-04	0	0.5
CG2678	sno	2	6	1e-04	0	0.5
crc	sno	2	6	0	0	0.5
pros	sno	2	6	2e-04	0	0.5
neur	sno	2	6	0	0	0.5
Rab5	sno	2	6	5e-04	0	0.5
Rab7	sno	2	6	3e-04	0	0.5
Mmp2	sno	2	6	2e-04	0	0.5
W	sno	2	6	0.0018	0	0.5
bowl	sno	2	6	0.0012	0	0.5
fd59A	sno	2	6	0	0	0.5
e	sno	2	6	1e-04	0	0.5
ben	sno	2	6	0	0	0.5
rdo	sno	2	6	0	0	0.5
lin	sno	2	6	1e-04	0	0.5
tra	sno	2	6	2e-04	0	0.5
tra2	sno	2	6	2e-04	0	0.5
cathD	sno	2	6	0	0	0.5
d	sno	2	6	4e-04	0	0.5
lva	sno	2	6	2e-04	0	0.5
pbl	sno	2	6	2e-04	0	0.5
CG33205	sno	2	6	1e-04	0	0.5
da	sno	2	6	4e-04	0	0.5
cactin	sno	2	6	0	0	0.5
hpo	sno	2	6	1e-04	0	0.5
Sema.2a	sno	2	6	6e-04	0	0.5
Eip74EF	sno	2	6	0	0	0.5
eg	sno	2	6	2e-04	0	0.5
Arc42	sno	2	6	8e-04	0	0.5
toy	sno	2	6	3e-04	0	0.5
Galpha73B	sno	2	6	1e-04	0	0.5
RhoGAPp190	sno	2	6	5e-04	0	0.5
MED11	sno	2	6	2e-04	0	0.5
cher	sno	2	6	0	0	0.5
BicD	sno	2	6	0	0	0.5
MYPT.75D	sno	2	6	2e-04	0	0.5
mus304	sno	2	6	0	0	0.5
CdsA	sno	2	6	9e-04	0	0.5
btl	sno	2	6	2e-04	0	0.5
Cyt.c.d	sno	2	6	5e-04	0	0.5
tok	sno	2	6	2e-04	0	0.5
ttk	sno	2	6	2e-04	0	0.5
tamo	sno	2	6	0	0	0.5
CG6416	sno	2	6	0	0	0.5
flfl	sno	2	6	1e-04	0	0.5
Pvr	sno	2	6	6e-04	0	0.5
kay	sno	2	6	0	0	0.5
Jra	sno	2	6	5e-04	0	0.5
msk	sno	2	6	9e-04	0	0.5
tll	sno	2	6	3e-04	0	0.5
Tm1	sno	2	6	4e-04	0	0.5
srp	sno	2	6	5e-04	0	0.5
Btk29A	sno	2	6	1e-04	0	0.5
fred	sno	2	6	2e-04	0	0.5
Src64B	sno	2	6	1e-04	0	0.5
Mmp1	sno	2	6	0	0	0.5
sll	sno	2	6	4e-04	0	0.5
Hmgs	sno	2	6	2e-04	0	0.5
caps	sno	2	6	0	0	0.5
Su.var.2.10	sno	2	6	1e-04	0	0.5
CycB	sno	2	6	0	0	0.5
spir	sno	2	6	1e-04	0	0.5
spn.A	sno	2	6	1e-04	0	0.5
Ptpmeg	sno	2	6	3e-04	0	0.5
qua	sno	2	6	1e-04	0	0.5
msn	sno	2	6	2e-04	0	0.5
ena	sno	2	6	2e-04	0	0.5
spen	sno	2	6	1e-04	0	0.5
emc	sno	2	6	1e-04	0	0.5
tsh	sno	2	6	2e-04	0	0.5
Dat	sno	2	6	4e-04	0	0.5
Lac	sno	2	6	1e-04	0	0.5
dup	sno	2	6	8e-04	0	0.5
CG3075	sno	2	6	2e-04	0	0.5
Akap200	sno	2	6	5e-04	0	0.5
CG18369	sno	2	6	1e-04	0	0.5
bnl	sno	2	6	5e-04	0	0.5
sec23	sno	2	6	3e-04	0	0.5
Pde8	sno	2	6	1e-04	0	0.5
Arp66B	sno	2	6	3e-04	0	0.5
cos	sno	2	6	0	0	0.5
Borr	sno	2	6	2e-04	0	0.5
X140up	sno	2	6	0	0	0.5
Dhc64C	sno	2	6	0	0	0.5
Not1	sno	2	6	1e-04	0	0.5
CG9520	sno	2	6	2e-04	0	0.5
bib	sno	2	6	3e-04	0	0.5
mib1	sno	2	6	5e-04	0	0.5
cas	sno	2	6	5e-04	0	0.5
Abi	sno	2	6	1e-04	0	0.5
betaTub56D	sno	2	6	1e-04	0	0.5
nej	sno	2	6	2e-04	0	0.5
dlg1	sno	2	6	0.0028	0	0.5
Lcp65Ag1	sno	2	6	3e-04	0	0.5
Es2	sno	2	6	0.0019	0	0.5
MED24	sno	2	6	9e-04	0	0.5
Vhl	sno	2	6	0	0	0.5
tral	sno	2	6	2e-04	0	0.5
sns	sno	2	6	1e-04	0	0.5
mbl	sno	2	6	6e-04	0	0.5
sav	sno	2	6	1e-04	0	0.5
lola	sno	2	6	1e-04	0	0.5
robo	sno	2	6	2e-04	0	0.5
CG32486	sno	2	6	1e-04	0	0.5
santa.maria	sno	2	6	0	0	0.5
stumps	sno	2	6	3e-04	0	0.5
abd.A	sno	2	6	4e-04	0	0.5
dock	sno	2	6	2e-04	0	0.5
Lar	sno	2	6	1e-04	0	0.5
l.1.G0289	sno	2	6	5e-04	0	0.5
Abl	sno	2	6	1e-04	0	0.5
Syb	sno	2	6	0	0	0.5
dome	sno	2	6	2e-04	0	0.5
ofs	sno	2	6	1e-04	0	0.5
MED4	sno	2	6	0.003	0	0.5
scrib	sno	2	6	1e-04	0	0.5
siz	sno	2	6	0	0	0.5
cbx	sno	2	6	6e-04	0	0.5
dsx	sno	2	6	1e-04	0	0.5
Sb	sno	2	6	0	0	0.5
sax	sno	2	6	1e-04	0	0.5
foxo	sno	2	6	2e-04	0	0.5
Cyp1	sno	2	6	0	0	0.5
brm	sno	2	6	3e-04	0	0.5
rad50	sno	2	6	1e-04	0	0.5
chico	sno	2	6	1e-04	0	0.5
cp309	sno	2	6	2e-04	0	0.5
hdc	sno	2	6	9e-04	0	0.5
Axn	sno	2	6	0	0	0.5
Apc2	sno	2	6	0	0	0.5
PhKgamma	sno	2	6	5e-04	0	0.5
eya	sno	2	6	3e-04	0	0.5
sktl	sno	2	6	1e-04	0	0.5
sqd	sno	2	6	0	0	0.5
Akt1	sno	2	6	1e-04	0	0.5
scyl	sno	2	6	2e-04	0	0.5
cnk	sno	2	6	0	0	0.5
CG8149	sno	2	6	1e-04	0	0.5
CG34379	sno	2	6	4e-04	0	0.5
Yp1	sno	2	6	1e-04	0	0.5
yrt	sno	2	6	2e-04	0	0.5
bap	sno	2	6	1e-04	0	0.5
tud	sno	2	6	7e-04	0	0.5
ct	sno	2	6	2e-04	0	0.5
tup	sno	2	6	3e-04	0	0.5
G.ialpha65A	sno	2	6	0	0	0.5
knrl	sno	2	6	0.0015	0	0.5
Pkn	sno	2	6	1e-04	0	0.5
Sry.delta	sno	2	6	2e-04	0	0.5
Alh	sno	2	6	4e-04	0	0.5
pnut	sno	2	6	0.001	0	0.5
phyl	sno	2	6	2e-04	0	0.5
CG17739	sno	2	6	4e-04	0	0.5
B4	sno	2	6	2e-04	0	0.5
CG2681	sno	2	6	2e-04	0	0.5
tow	sno	2	6	2e-04	0	0.5
hkl	sno	2	6	1e-04	0	0.5
sina	sno	2	6	1e-04	0	0.5
ry	sno	2	6	2e-04	0	0.5
rux	sno	2	6	2e-04	0	0.5
boss	sno	2	6	0	0	0.5
Mkp3	sno	2	6	4e-04	0	0.5
inaC	sno	2	6	3e-04	0	0.5
sno	sno	2	6	3e-04	0	0.5
jagn	sno	2	6	3e-04	0	0.5
dpn	sno	2	6	7e-04	0	0.5
wrapper	sno	2	6	2e-04	0	0.5
Ca.alpha1D	sno	2	6	2e-04	0	0.5
E2f	sno	2	6	0	0	0.5
Dp	sno	2	6	0	0	0.5
l.2.efl	sno	2	6	5e-04	0	0.5
cnc	sno	2	6	1e-04	0	0.5
Atg5	sno	2	6	0.0012	0	0.5
acj6	sno	2	6	1e-04	0	0.5
Trl	sno	2	6	1e-04	0	0.5
d4	sno	2	6	4e-04	0	0.5
CG16719	sno	2	6	1e-04	0	0.5
CadN	sno	2	6	3e-04	0	0.5
gro	sno	2	6	2e-04	0	0.5
sec13	sno	2	6	4e-04	0	0.5
klar	sno	2	6	1e-04	0	0.5
Rack1	sno	2	6	1e-04	0	0.5
Sobp	sno	2	6	0	0	0.5
ash1	sno	2	6	0	0	0.5
inv	sno	2	6	3e-04	0	0.5
shot	sno	2	6	4e-04	0	0.5
Oseg1	sno	2	6	1e-04	0	0.5
Spred	sno	2	6	4e-04	0	0.5
puc	sno	2	6	3e-04	0	0.5
Atg6	sno	2	6	0	0	0.5
CG3829	sno	2	6	0	0	0.5
sle	sno	2	6	0	0	0.5
Cka	sno	2	6	1e-04	0	0.5
form3	sno	2	6	2e-04	0	0.5
Pk61C	sno	2	6	4e-04	0	0.5
Pcaf	sno	2	6	2e-04	0	0.5
sbb	sno	2	6	1e-04	0	0.5
Ef1gamma	sno	2	6	6e-04	0	0.5
FKBP59	sno	2	6	3e-04	0	0.5
Eip71CD	sno	2	6	0.0013	0	0.5
xmas.2	sno	2	6	0	0	0.5
ppan	sno	2	6	0	0	0.5
