Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	sns	2	6	4e-04	0	0.5
emp	sns	2	6	0.002	0	0.5
CG2678	sns	2	6	2e-04	0	0.5
crc	sns	2	6	1e-04	0	0.5
pros	sns	2	6	0.001	0	0.5
neur	sns	2	6	0	0	0.5
Rab5	sns	2	6	6e-04	0	0.5
Rab7	sns	2	6	3e-04	0	0.5
Mmp2	sns	2	6	1e-04	0	0.5
W	sns	2	6	8e-04	0	0.5
bowl	sns	2	6	4e-04	0	0.5
fd59A	sns	2	6	1e-04	0	0.5
e	sns	2	6	4e-04	0	0.5
ben	sns	2	6	0.0011	0	0.5
rdo	sns	2	6	7e-04	0	0.5
lin	sns	2	6	0.0017	0	0.5
tra	sns	2	6	4e-04	0	0.5
tra2	sns	2	6	0	0	0.5
cathD	sns	2	6	0.0023	0	0.5
d	sns	2	6	0.0016	0	0.5
lva	sns	2	6	0.0012	0	0.5
pbl	sns	2	6	3e-04	0	0.5
CG33205	sns	2	6	5e-04	0	0.5
da	sns	2	6	0.0013	0	0.5
cactin	sns	2	6	2e-04	0	0.5
hpo	sns	2	6	9e-04	0	0.5
Sema.2a	sns	2	6	0.0043	0	0.5
Eip74EF	sns	2	6	0.0019	0	0.5
eg	sns	2	6	2e-04	0	0.5
Arc42	sns	2	6	0.0017	0	0.5
toy	sns	2	6	1e-04	0	0.5
Galpha73B	sns	2	6	7e-04	0	0.5
RhoGAPp190	sns	2	6	8e-04	0	0.5
MED11	sns	2	6	4e-04	0	0.5
cher	sns	2	6	6e-04	0	0.5
BicD	sns	2	6	2e-04	0	0.5
MYPT.75D	sns	2	6	4e-04	0	0.5
mus304	sns	2	6	0.001	0	0.5
CdsA	sns	2	6	0.0022	0	0.5
btl	sns	2	6	3e-04	0	0.5
Cyt.c.d	sns	2	6	0.0015	0	0.5
tok	sns	2	6	0.0027	0	0.5
ttk	sns	2	6	0.001	0	0.5
tamo	sns	2	6	2e-04	0	0.5
CG6416	sns	2	6	8e-04	0	0.5
flfl	sns	2	6	0.0016	0	0.5
Pvr	sns	2	6	0.0013	0	0.5
kay	sns	2	6	0.001	0	0.5
Jra	sns	2	6	3e-04	0	0.5
msk	sns	2	6	5e-04	0	0.5
tll	sns	2	6	9e-04	0	0.5
Tm1	sns	2	6	0	0	0.5
srp	sns	2	6	0	0	0.5
Btk29A	sns	2	6	0.0011	0	0.5
fred	sns	2	6	0.001	0	0.5
Src64B	sns	2	6	0.033	0	0.5
Mmp1	sns	2	6	6e-04	0	0.5
sll	sns	2	6	1e-04	0	0.5
Hmgs	sns	2	6	2e-04	0	0.5
caps	sns	2	6	4e-04	0	0.5
Su.var.2.10	sns	2	6	0.0013	0	0.5
CycB	sns	2	6	0.0011	0	0.5
spir	sns	2	6	9e-04	0	0.5
spn.A	sns	2	6	0.0016	0	0.5
Ptpmeg	sns	2	6	0.001	0	0.5
qua	sns	2	6	5e-04	0	0.5
msn	sns	2	6	4e-04	0	0.5
ena	sns	2	6	9e-04	0	0.5
spen	sns	2	6	4e-04	0	0.5
emc	sns	2	6	2e-04	0	0.5
tsh	sns	2	6	0	0	0.5
Dat	sns	2	6	0.0023	0	0.5
Lac	sns	2	6	1e-04	0	0.5
dup	sns	2	6	9e-04	0	0.5
CG3075	sns	2	6	2e-04	0	0.5
Akap200	sns	2	6	9e-04	0	0.5
CG18369	sns	2	6	5e-04	0	0.5
bnl	sns	2	6	5e-04	0	0.5
sec23	sns	2	6	0.0014	0	0.5
Pde8	sns	2	6	5e-04	0	0.5
Arp66B	sns	2	6	0.0032	0	0.5
cos	sns	2	6	0.0017	0	0.5
Borr	sns	2	6	0.0016	0	0.5
X140up	sns	2	6	5e-04	0	0.5
Dhc64C	sns	2	6	7e-04	0	0.5
Not1	sns	2	6	0	0	0.5
CG9520	sns	2	6	0.0011	0	0.5
bib	sns	2	6	6e-04	0	0.5
mib1	sns	2	6	4e-04	0	0.5
cas	sns	2	6	0.0198	0	0.5
Abi	sns	2	6	0.0019	0	0.5
betaTub56D	sns	2	6	0.001	0	0.5
nej	sns	2	6	0.0017	0	0.5
dlg1	sns	2	6	3e-04	0	0.5
Lcp65Ag1	sns	2	6	4e-04	0	0.5
Es2	sns	2	6	4e-04	0	0.5
MED24	sns	2	6	1e-04	0	0.5
Vhl	sns	2	6	0.0019	0	0.5
tral	sns	2	6	0.0038	0	0.5
sns	sns	2	6	0.0019	0	0.5
mbl	sns	2	6	0.0015	0	0.5
sav	sns	2	6	8e-04	0	0.5
lola	sns	2	6	0.0011	0	0.5
robo	sns	2	6	8e-04	0	0.5
CG32486	sns	2	6	2e-04	0	0.5
santa.maria	sns	2	6	0.0202	0	0.5
stumps	sns	2	6	5e-04	0	0.5
abd.A	sns	2	6	3e-04	0	0.5
dock	sns	2	6	6e-04	0	0.5
Lar	sns	2	6	0	0	0.5
l.1.G0289	sns	2	6	0.0014	0	0.5
Abl	sns	2	6	0.0012	0	0.5
Syb	sns	2	6	7e-04	0	0.5
dome	sns	2	6	4e-04	0	0.5
ofs	sns	2	6	5e-04	0	0.5
MED4	sns	2	6	8e-04	0	0.5
scrib	sns	2	6	7e-04	0	0.5
siz	sns	2	6	4e-04	0	0.5
cbx	sns	2	6	9e-04	0	0.5
dsx	sns	2	6	0.003	0	0.5
Sb	sns	2	6	0.001	0	0.5
sax	sns	2	6	0.0015	0	0.5
foxo	sns	2	6	6e-04	0	0.5
Cyp1	sns	2	6	4e-04	0	0.5
brm	sns	2	6	3e-04	0	0.5
rad50	sns	2	6	0.0019	0	0.5
chico	sns	2	6	7e-04	0	0.5
cp309	sns	2	6	6e-04	0	0.5
hdc	sns	2	6	5e-04	0	0.5
Axn	sns	2	6	0.0012	0	0.5
Apc2	sns	2	6	7e-04	0	0.5
PhKgamma	sns	2	6	5e-04	0	0.5
eya	sns	2	6	0.0024	0	0.5
sktl	sns	2	6	3e-04	0	0.5
sqd	sns	2	6	4e-04	0	0.5
Akt1	sns	2	6	0.0013	0	0.5
scyl	sns	2	6	0	0	0.5
cnk	sns	2	6	3e-04	0	0.5
CG8149	sns	2	6	0.0045	0	0.5
CG34379	sns	2	6	0.0014	0	0.5
Yp1	sns	2	6	2e-04	0	0.5
yrt	sns	2	6	4e-04	0	0.5
bap	sns	2	6	4e-04	0	0.5
tud	sns	2	6	0.002	0	0.5
ct	sns	2	6	0.001	0	0.5
tup	sns	2	6	9e-04	0	0.5
G.ialpha65A	sns	2	6	6e-04	0	0.5
knrl	sns	2	6	6e-04	0	0.5
Pkn	sns	2	6	0.0011	0	0.5
