Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	spen	2	6	0.0046	0	0.5
emp	spen	2	6	1e-04	0	0.5
CG2678	spen	2	6	1e-04	0	0.5
crc	spen	2	6	0	0	0.5
pros	spen	2	6	0	0	0.5
neur	spen	2	6	0	0	0.5
Rab5	spen	2	6	0.0011	0	0.5
Rab7	spen	2	6	1e-04	0	0.5
Mmp2	spen	2	6	0	0	0.5
W	spen	2	6	9e-04	0	0.5
bowl	spen	2	6	0	0	0.5
fd59A	spen	2	6	1e-04	0	0.5
e	spen	2	6	0	0	0.5
ben	spen	2	6	0	0	0.5
rdo	spen	2	6	7e-04	0	0.5
lin	spen	2	6	1e-04	0	0.5
tra	spen	2	6	1e-04	0	0.5
tra2	spen	2	6	3e-04	0	0.5
cathD	spen	2	6	2e-04	0	0.5
d	spen	2	6	5e-04	0	0.5
lva	spen	2	6	1e-04	0	0.5
pbl	spen	2	6	1e-04	0	0.5
CG33205	spen	2	6	6e-04	0	0.5
da	spen	2	6	2e-04	0	0.5
cactin	spen	2	6	0.0101	0	0.5
hpo	spen	2	6	0.0021	0	0.5
Sema.2a	spen	2	6	0	0	0.5
Eip74EF	spen	2	6	0	0	0.5
eg	spen	2	6	3e-04	0	0.5
Arc42	spen	2	6	4e-04	0	0.5
toy	spen	2	6	1e-04	0	0.5
Galpha73B	spen	2	6	0.0152	0	0.5
RhoGAPp190	spen	2	6	1e-04	0	0.5
MED11	spen	2	6	0	0	0.5
cher	spen	2	6	1e-04	0	0.5
BicD	spen	2	6	2e-04	0	0.5
MYPT.75D	spen	2	6	2e-04	0	0.5
mus304	spen	2	6	0	0	0.5
CdsA	spen	2	6	0	0	0.5
btl	spen	2	6	0	0	0.5
Cyt.c.d	spen	2	6	0	0	0.5
tok	spen	2	6	0	0	0.5
ttk	spen	2	6	2e-04	0	0.5
tamo	spen	2	6	2e-04	0	0.5
CG6416	spen	2	6	8e-04	0	0.5
flfl	spen	2	6	0	0	0.5
Pvr	spen	2	6	3e-04	0	0.5
kay	spen	2	6	2e-04	0	0.5
Jra	spen	2	6	9e-04	0	0.5
msk	spen	2	6	0	0	0.5
tll	spen	2	6	2e-04	0	0.5
Tm1	spen	2	6	1e-04	0	0.5
srp	spen	2	6	0	0	0.5
Btk29A	spen	2	6	2e-04	0	0.5
fred	spen	2	6	2e-04	0	0.5
Src64B	spen	2	6	0.0027	0	0.5
Mmp1	spen	2	6	3e-04	0	0.5
sll	spen	2	6	0.0017	0	0.5
Hmgs	spen	2	6	0	0	0.5
caps	spen	2	6	0	0	0.5
Su.var.2.10	spen	2	6	3e-04	0	0.5
CycB	spen	2	6	0	0	0.5
spir	spen	2	6	0	0	0.5
spn.A	spen	2	6	1e-04	0	0.5
Ptpmeg	spen	2	6	0	0	0.5
qua	spen	2	6	4e-04	0	0.5
msn	spen	2	6	9e-04	0	0.5
ena	spen	2	6	4e-04	0	0.5
spen	spen	2	6	8e-04	0	0.5
emc	spen	2	6	3e-04	0	0.5
tsh	spen	2	6	2e-04	0	0.5
Dat	spen	2	6	1e-04	0	0.5
Lac	spen	2	6	0	0	0.5
dup	spen	2	6	3e-04	0	0.5
CG3075	spen	2	6	2e-04	0	0.5
Akap200	spen	2	6	8e-04	0	0.5
CG18369	spen	2	6	8e-04	0	0.5
bnl	spen	2	6	4e-04	0	0.5
sec23	spen	2	6	0	0	0.5
Pde8	spen	2	6	1e-04	0	0.5
Arp66B	spen	2	6	4e-04	0	0.5
cos	spen	2	6	2e-04	0	0.5
Borr	spen	2	6	6e-04	0	0.5
X140up	spen	2	6	5e-04	0	0.5
Dhc64C	spen	2	6	0	0	0.5
Not1	spen	2	6	2e-04	0	0.5
CG9520	spen	2	6	0	0	0.5
bib	spen	2	6	3e-04	0	0.5
mib1	spen	2	6	5e-04	0	0.5
cas	spen	2	6	0	0	0.5
Abi	spen	2	6	0	0	0.5
betaTub56D	spen	2	6	0	0	0.5
nej	spen	2	6	3e-04	0	0.5
dlg1	spen	2	6	2e-04	0	0.5
Lcp65Ag1	spen	2	6	0.0826	0	0.5
Es2	spen	2	6	1e-04	0	0.5
MED24	spen	2	6	0	0	0.5
Vhl	spen	2	6	1e-04	0	0.5
tral	spen	2	6	2e-04	0	0.5
sns	spen	2	6	2e-04	0	0.5
mbl	spen	2	6	6e-04	0	0.5
sav	spen	2	6	1e-04	0	0.5
lola	spen	2	6	0	0	0.5
robo	spen	2	6	8e-04	0	0.5
CG32486	spen	2	6	1e-04	0	0.5
santa.maria	spen	2	6	5e-04	0	0.5
stumps	spen	2	6	1e-04	0	0.5
abd.A	spen	2	6	0	0	0.5
dock	spen	2	6	0.0011	0	0.5
Lar	spen	2	6	0	0	0.5
l.1.G0289	spen	2	6	0	0	0.5
Abl	spen	2	6	0	0	0.5
Syb	spen	2	6	7e-04	0	0.5
dome	spen	2	6	0	0	0.5
ofs	spen	2	6	0.0012	0	0.5
MED4	spen	2	6	0	0	0.5
scrib	spen	2	6	3e-04	0	0.5
siz	spen	2	6	0	0	0.5
cbx	spen	2	6	0	0	0.5
dsx	spen	2	6	5e-04	0	0.5
Sb	spen	2	6	2e-04	0	0.5
sax	spen	2	6	3e-04	0	0.5
foxo	spen	2	6	0	0	0.5
Cyp1	spen	2	6	3e-04	0	0.5
brm	spen	2	6	0.7281	0.99605	0.5
rad50	spen	2	6	1e-04	0	0.5
chico	spen	2	6	0	0	0.5
cp309	spen	2	6	0	0	0.5
hdc	spen	2	6	1e-04	0	0.5
Axn	spen	2	6	0	0	0.5
Apc2	spen	2	6	8e-04	0	0.5
PhKgamma	spen	2	6	2e-04	0	0.5
eya	spen	2	6	1e-04	0	0.5
sktl	spen	2	6	0	0	0.5
sqd	spen	2	6	7e-04	0	0.5
Akt1	spen	2	6	1e-04	0	0.5
scyl	spen	2	6	0.0018	0	0.5
cnk	spen	2	6	0	0	0.5
CG8149	spen	2	6	3e-04	0	0.5
CG34379	spen	2	6	0	0	0.5
Yp1	spen	2	6	0	0	0.5
yrt	spen	2	6	2e-04	0	0.5
bap	spen	2	6	0	0	0.5
tud	spen	2	6	0	0	0.5
ct	spen	2	6	3e-04	0	0.5
tup	spen	2	6	0.0013	0	0.5
G.ialpha65A	spen	2	6	1e-04	0	0.5
knrl	spen	2	6	1e-04	0	0.5
Pkn	spen	2	6	1e-04	0	0.5
Sry.delta	spen	2	6	4e-04	0	0.5
Alh	spen	2	6	0	0	0.5
pnut	spen	2	6	0	0	0.5
phyl	spen	2	6	0	0	0.5
CG17739	spen	2	6	3e-04	0	0.5
B4	spen	2	6	7e-04	0	0.5
CG2681	spen	2	6	6e-04	0	0.5
tow	spen	2	6	1e-04	0	0.5
hkl	spen	2	6	0	0	0.5
sina	spen	2	6	2e-04	0	0.5
ry	spen	2	6	0.0023	0	0.5
rux	spen	2	6	4e-04	0	0.5
boss	spen	2	6	6e-04	0	0.5
Mkp3	spen	2	6	0	0	0.5
inaC	spen	2	6	1e-04	0	0.5
sno	spen	2	6	4e-04	0	0.5
jagn	spen	2	6	1e-04	0	0.5
dpn	spen	2	6	2e-04	0	0.5
wrapper	spen	2	6	7e-04	0	0.5
Ca.alpha1D	spen	2	6	2e-04	0	0.5
E2f	spen	2	6	0	0	0.5
Dp	spen	2	6	4e-04	0	0.5
l.2.efl	spen	2	6	0.0176	0	0.5
cnc	spen	2	6	0	0	0.5
Atg5	spen	2	6	0	0	0.5
acj6	spen	2	6	0.0016	0	0.5
Trl	spen	2	6	2e-04	0	0.5
d4	spen	2	6	0	0	0.5
CG16719	spen	2	6	0.0013	0	0.5
CadN	spen	2	6	3e-04	0	0.5
gro	spen	2	6	1e-04	0	0.5
sec13	spen	2	6	0.0011	0	0.5
klar	spen	2	6	5e-04	0	0.5
Rack1	spen	2	6	0	0	0.5
Sobp	spen	2	6	3e-04	0	0.5
ash1	spen	2	6	0.0018	0	0.5
inv	spen	2	6	5e-04	0	0.5
shot	spen	2	6	4e-04	0	0.5
Oseg1	spen	2	6	2e-04	0	0.5
Spred	spen	2	6	2e-04	0	0.5
puc	spen	2	6	0	0	0.5
Atg6	spen	2	6	2e-04	0	0.5
CG3829	spen	2	6	2e-04	0	0.5
sle	spen	2	6	1e-04	0	0.5
Cka	spen	2	6	0	0	0.5
form3	spen	2	6	1e-04	0	0.5
Pk61C	spen	2	6	0	0	0.5
Pcaf	spen	2	6	3e-04	0	0.5
sbb	spen	2	6	7e-04	0	0.5
Ef1gamma	spen	2	6	0.0011	0	0.5
FKBP59	spen	2	6	0	0	0.5
Eip71CD	spen	2	6	6e-04	0	0.5
xmas.2	spen	2	6	2e-04	0	0.5
ppan	spen	2	6	0	0	0.5
Iswi	spen	2	6	0.0016	0	0.5
ine	spen	2	6	0.0026	0	0.5
Tina.1	spen	2	6	5e-04	0	0.5
bon	spen	2	6	1e-04	0	0.5
pot	spen	2	6	1e-04	0	0.5
chic	spen	2	6	2e-04	0	0.5
