Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	spin	2	6	0.0013	0	0.5
emp	spin	2	6	0	0	0.5
CG2678	spin	2	6	6e-04	0	0.5
crc	spin	2	6	7e-04	0	0.5
pros	spin	2	6	0	0	0.5
neur	spin	2	6	3e-04	0	0.5
Rab5	spin	2	6	4e-04	0	0.5
Rab7	spin	2	6	2e-04	0	0.5
Mmp2	spin	2	6	0	0	0.5
W	spin	2	6	0.001	0	0.5
bowl	spin	2	6	0.001	0	0.5
fd59A	spin	2	6	0.002	0	0.5
e	spin	2	6	1e-04	0	0.5
ben	spin	2	6	0	0	0.5
rdo	spin	2	6	2e-04	0	0.5
lin	spin	2	6	6e-04	0	0.5
tra	spin	2	6	0.1864	0	0.5
tra2	spin	2	6	2e-04	0	0.5
cathD	spin	2	6	0	0	0.5
d	spin	2	6	7e-04	0	0.5
lva	spin	2	6	6e-04	0	0.5
pbl	spin	2	6	2e-04	0	0.5
CG33205	spin	2	6	0.0017	0	0.5
da	spin	2	6	0	0	0.5
cactin	spin	2	6	1e-04	0	0.5
hpo	spin	2	6	2e-04	0	0.5
Sema.2a	spin	2	6	8e-04	0	0.5
Eip74EF	spin	2	6	3e-04	0	0.5
eg	spin	2	6	1e-04	0	0.5
Arc42	spin	2	6	0	0	0.5
toy	spin	2	6	8e-04	0	0.5
Galpha73B	spin	2	6	1e-04	0	0.5
RhoGAPp190	spin	2	6	0	0	0.5
MED11	spin	2	6	9e-04	0	0.5
cher	spin	2	6	7e-04	0	0.5
BicD	spin	2	6	0.0017	0	0.5
MYPT.75D	spin	2	6	1e-04	0	0.5
mus304	spin	2	6	1e-04	0	0.5
CdsA	spin	2	6	0.006	0	0.5
btl	spin	2	6	1e-04	0	0.5
Cyt.c.d	spin	2	6	4e-04	0	0.5
tok	spin	2	6	0	0	0.5
ttk	spin	2	6	4e-04	0	0.5
tamo	spin	2	6	1e-04	0	0.5
CG6416	spin	2	6	2e-04	0	0.5
flfl	spin	2	6	2e-04	0	0.5
Pvr	spin	2	6	3e-04	0	0.5
kay	spin	2	6	0	0	0.5
Jra	spin	2	6	0	0	0.5
msk	spin	2	6	0.0012	0	0.5
tll	spin	2	6	1e-04	0	0.5
Tm1	spin	2	6	1e-04	0	0.5
srp	spin	2	6	0	0	0.5
Btk29A	spin	2	6	3e-04	0	0.5
fred	spin	2	6	0.1408	0	0.5
Src64B	spin	2	6	6e-04	0	0.5
Mmp1	spin	2	6	0.001	0	0.5
sll	spin	2	6	5e-04	0	0.5
Hmgs	spin	2	6	3e-04	0	0.5
caps	spin	2	6	0.0013	0	0.5
Su.var.2.10	spin	2	6	2e-04	0	0.5
CycB	spin	2	6	3e-04	0	0.5
spir	spin	2	6	3e-04	0	0.5
spn.A	spin	2	6	0	0	0.5
Ptpmeg	spin	2	6	1e-04	0	0.5
qua	spin	2	6	0.0016	0	0.5
msn	spin	2	6	0	0	0.5
ena	spin	2	6	8e-04	0	0.5
spen	spin	2	6	0	0	0.5
emc	spin	2	6	3e-04	0	0.5
tsh	spin	2	6	8e-04	0	0.5
Dat	spin	2	6	0	0	0.5
Lac	spin	2	6	5e-04	0	0.5
dup	spin	2	6	0	0	0.5
CG3075	spin	2	6	0	0	0.5
Akap200	spin	2	6	0.0012	0	0.5
CG18369	spin	2	6	1e-04	0	0.5
bnl	spin	2	6	5e-04	0	0.5
sec23	spin	2	6	0.0021	0	0.5
Pde8	spin	2	6	0	0	0.5
Arp66B	spin	2	6	0	0	0.5
cos	spin	2	6	0	0	0.5
Borr	spin	2	6	1e-04	0	0.5
X140up	spin	2	6	4e-04	0	0.5
Dhc64C	spin	2	6	1e-04	0	0.5
Not1	spin	2	6	3e-04	0	0.5
CG9520	spin	2	6	9e-04	0	0.5
bib	spin	2	6	0	0	0.5
mib1	spin	2	6	1e-04	0	0.5
cas	spin	2	6	0.0011	0	0.5
Abi	spin	2	6	9e-04	0	0.5
betaTub56D	spin	2	6	0	0	0.5
nej	spin	2	6	7e-04	0	0.5
dlg1	spin	2	6	2e-04	0	0.5
Lcp65Ag1	spin	2	6	5e-04	0	0.5
Es2	spin	2	6	3e-04	0	0.5
MED24	spin	2	6	4e-04	0	0.5
Vhl	spin	2	6	1e-04	0	0.5
tral	spin	2	6	0.0016	0	0.5
sns	spin	2	6	0.0012	0	0.5
mbl	spin	2	6	1e-04	0	0.5
sav	spin	2	6	6e-04	0	0.5
lola	spin	2	6	2e-04	0	0.5
robo	spin	2	6	1e-04	0	0.5
CG32486	spin	2	6	8e-04	0	0.5
santa.maria	spin	2	6	0.0014	0	0.5
stumps	spin	2	6	1e-04	0	0.5
abd.A	spin	2	6	1e-04	0	0.5
dock	spin	2	6	0	0	0.5
Lar	spin	2	6	0	0	0.5
l.1.G0289	spin	2	6	0	0	0.5
Abl	spin	2	6	0	0	0.5
Syb	spin	2	6	0	0	0.5
dome	spin	2	6	1e-04	0	0.5
