Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	spir	2	6	0	0	0.5
emp	spir	2	6	1e-04	0	0.5
CG2678	spir	2	6	0.001	0	0.5
crc	spir	2	6	0	0	0.5
pros	spir	2	6	0	0	0.5
neur	spir	2	6	0	0	0.5
Rab5	spir	2	6	0	0	0.5
Rab7	spir	2	6	1e-04	0	0.5
Mmp2	spir	2	6	0	0	0.5
W	spir	2	6	0	0	0.5
bowl	spir	2	6	5e-04	0	0.5
fd59A	spir	2	6	2e-04	0	0.5
e	spir	2	6	0	0	0.5
ben	spir	2	6	0	0	0.5
rdo	spir	2	6	1e-04	0	0.5
lin	spir	2	6	0	0	0.5
tra	spir	2	6	0	0	0.5
tra2	spir	2	6	0	0	0.5
cathD	spir	2	6	0	0	0.5
d	spir	2	6	0	0	0.5
lva	spir	2	6	7e-04	0	0.5
pbl	spir	2	6	3e-04	0	0.5
CG33205	spir	2	6	6e-04	0	0.5
da	spir	2	6	0	0	0.5
cactin	spir	2	6	0	0	0.5
hpo	spir	2	6	1e-04	0	0.5
Sema.2a	spir	2	6	3e-04	0	0.5
Eip74EF	spir	2	6	0	0	0.5
eg	spir	2	6	0	0	0.5
Arc42	spir	2	6	0	0	0.5
toy	spir	2	6	0	0	0.5
Galpha73B	spir	2	6	0.0016	0	0.5
RhoGAPp190	spir	2	6	2e-04	0	0.5
MED11	spir	2	6	5e-04	0	0.5
cher	spir	2	6	0	0	0.5
BicD	spir	2	6	0	0	0.5
MYPT.75D	spir	2	6	6e-04	0	0.5
mus304	spir	2	6	0	0	0.5
CdsA	spir	2	6	0	0	0.5
btl	spir	2	6	0.0012	0	0.5
Cyt.c.d	spir	2	6	0	0	0.5
tok	spir	2	6	6e-04	0	0.5
ttk	spir	2	6	0	0	0.5
tamo	spir	2	6	1e-04	0	0.5
CG6416	spir	2	6	1e-04	0	0.5
flfl	spir	2	6	0	0	0.5
Pvr	spir	2	6	0	0	0.5
kay	spir	2	6	0	0	0.5
Jra	spir	2	6	0	0	0.5
msk	spir	2	6	0	0	0.5
tll	spir	2	6	8e-04	0	0.5
Tm1	spir	2	6	0	0	0.5
srp	spir	2	6	0	0	0.5
Btk29A	spir	2	6	0	0	0.5
fred	spir	2	6	0	0	0.5
Src64B	spir	2	6	0	0	0.5
Mmp1	spir	2	6	1e-04	0	0.5
sll	spir	2	6	0	0	0.5
Hmgs	spir	2	6	0	0	0.5
caps	spir	2	6	0	0	0.5
Su.var.2.10	spir	2	6	0	0	0.5
CycB	spir	2	6	3e-04	0	0.5
spir	spir	2	6	0	0	0.5
spn.A	spir	2	6	1e-04	0	0.5
Ptpmeg	spir	2	6	0	0	0.5
qua	spir	2	6	1e-04	0	0.5
msn	spir	2	6	1e-04	0	0.5
ena	spir	2	6	2e-04	0	0.5
spen	spir	2	6	0	0	0.5
emc	spir	2	6	0	0	0.5
tsh	spir	2	6	7e-04	0	0.5
Dat	spir	2	6	3e-04	0	0.5
Lac	spir	2	6	0.0011	0	0.5
dup	spir	2	6	2e-04	0	0.5
CG3075	spir	2	6	0	0	0.5
Akap200	spir	2	6	2e-04	0	0.5
CG18369	spir	2	6	0	0	0.5
bnl	spir	2	6	7e-04	0	0.5
sec23	spir	2	6	0	0	0.5
Pde8	spir	2	6	0	0	0.5
Arp66B	spir	2	6	0.0018	0	0.5
cos	spir	2	6	0	0	0.5
Borr	spir	2	6	1e-04	0	0.5
X140up	spir	2	6	7e-04	0	0.5
Dhc64C	spir	2	6	0	0	0.5
Not1	spir	2	6	0	0	0.5
CG9520	spir	2	6	0	0	0.5
bib	spir	2	6	3e-04	0	0.5
mib1	spir	2	6	0	0	0.5
cas	spir	2	6	0	0	0.5
Abi	spir	2	6	1e-04	0	0.5
betaTub56D	spir	2	6	0	0	0.5
nej	spir	2	6	7e-04	0	0.5
dlg1	spir	2	6	6e-04	0	0.5
Lcp65Ag1	spir	2	6	0	0	0.5
Es2	spir	2	6	1e-04	0	0.5
MED24	spir	2	6	0	0	0.5
Vhl	spir	2	6	9e-04	0	0.5
tral	spir	2	6	0	0	0.5
sns	spir	2	6	0	0	0.5
mbl	spir	2	6	9e-04	0	0.5
sav	spir	2	6	0	0	0.5
lola	spir	2	6	0	0	0.5
robo	spir	2	6	0	0	0.5
CG32486	spir	2	6	1e-04	0	0.5
santa.maria	spir	2	6	0	0	0.5
stumps	spir	2	6	0	0	0.5
abd.A	spir	2	6	0	0	0.5
dock	spir	2	6	0	0	0.5
Lar	spir	2	6	0	0	0.5
l.1.G0289	spir	2	6	0	0	0.5
Abl	spir	2	6	3e-04	0	0.5
Syb	spir	2	6	0	0	0.5
dome	spir	2	6	0	0	0.5
ofs	spir	2	6	5e-04	0	0.5
MED4	spir	2	6	0	0	0.5
scrib	spir	2	6	0	0	0.5
siz	spir	2	6	0	0	0.5
cbx	spir	2	6	0	0	0.5
dsx	spir	2	6	0	0	0.5
Sb	spir	2	6	0	0	0.5
sax	spir	2	6	2e-04	0	0.5
foxo	spir	2	6	0	0	0.5
Cyp1	spir	2	6	7e-04	0	0.5
brm	spir	2	6	0	0	0.5
rad50	spir	2	6	1e-04	0	0.5
chico	spir	2	6	1e-04	0	0.5
cp309	spir	2	6	4e-04	0	0.5
hdc	spir	2	6	0	0	0.5
Axn	spir	2	6	0	0	0.5
Apc2	spir	2	6	3e-04	0	0.5
PhKgamma	spir	2	6	0	0	0.5
eya	spir	2	6	3e-04	0	0.5
sktl	spir	2	6	0	0	0.5
sqd	spir	2	6	0	0	0.5
Akt1	spir	2	6	0	0	0.5
scyl	spir	2	6	0	0	0.5
cnk	spir	2	6	0	0	0.5
CG8149	spir	2	6	1e-04	0	0.5
CG34379	spir	2	6	0	0	0.5
Yp1	spir	2	6	0	0	0.5
yrt	spir	2	6	9e-04	0	0.5
bap	spir	2	6	0	0	0.5
tud	spir	2	6	3e-04	0	0.5
ct	spir	2	6	0	0	0.5
tup	spir	2	6	0	0	0.5
G.ialpha65A	spir	2	6	0	0	0.5
knrl	spir	2	6	0	0	0.5
Pkn	spir	2	6	4e-04	0	0.5
Sry.delta	spir	2	6	3e-04	0	0.5
Alh	spir	2	6	0	0	0.5
pnut	spir	2	6	0	0	0.5
phyl	spir	2	6	2e-04	0	0.5
CG17739	spir	2	6	1e-04	0	0.5
B4	spir	2	6	0	0	0.5
CG2681	spir	2	6	1e-04	0	0.5
tow	spir	2	6	2e-04	0	0.5
hkl	spir	2	6	0	0	0.5
sina	spir	2	6	2e-04	0	0.5
