Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	spn.A	2	6	0	0	0.5
emp	spn.A	2	6	0	0	0.5
CG2678	spn.A	2	6	1	0.99941	0.5
crc	spn.A	2	6	7e-04	0	0.5
pros	spn.A	2	6	0	0	0.5
neur	spn.A	2	6	0	0	0.5
Rab5	spn.A	2	6	0	0	0.5
Rab7	spn.A	2	6	0	0	0.5
Mmp2	spn.A	2	6	1e-04	0	0.5
W	spn.A	2	6	0	0	0.5
bowl	spn.A	2	6	0	0	0.5
fd59A	spn.A	2	6	0	0	0.5
e	spn.A	2	6	0	0	0.5
ben	spn.A	2	6	0	0	0.5
rdo	spn.A	2	6	0	0	0.5
lin	spn.A	2	6	0	0	0.5
tra	spn.A	2	6	0	0	0.5
tra2	spn.A	2	6	1e-04	0	0.5
cathD	spn.A	2	6	0	0	0.5
d	spn.A	2	6	0	0	0.5
lva	spn.A	2	6	0	0	0.5
pbl	spn.A	2	6	3e-04	0	0.5
CG33205	spn.A	2	6	0	0	0.5
da	spn.A	2	6	3e-04	0	0.5
cactin	spn.A	2	6	2e-04	0	0.5
hpo	spn.A	2	6	0	0	0.5
Sema.2a	spn.A	2	6	0	0	0.5
Eip74EF	spn.A	2	6	0	0	0.5
eg	spn.A	2	6	3e-04	0	0.5
Arc42	spn.A	2	6	1e-04	0	0.5
toy	spn.A	2	6	0	0	0.5
Galpha73B	spn.A	2	6	0	0	0.5
RhoGAPp190	spn.A	2	6	0	0	0.5
MED11	spn.A	2	6	0	0	0.5
cher	spn.A	2	6	1e-04	0	0.5
BicD	spn.A	2	6	0	0	0.5
MYPT.75D	spn.A	2	6	0	0	0.5
mus304	spn.A	2	6	0	0	0.5
CdsA	spn.A	2	6	0	0	0.5
btl	spn.A	2	6	0	0	0.5
Cyt.c.d	spn.A	2	6	0	0	0.5
tok	spn.A	2	6	0	0	0.5
ttk	spn.A	2	6	0	0	0.5
tamo	spn.A	2	6	0	0	0.5
CG6416	spn.A	2	6	0	0	0.5
flfl	spn.A	2	6	1e-04	0	0.5
Pvr	spn.A	2	6	0	0	0.5
kay	spn.A	2	6	0	0	0.5
Jra	spn.A	2	6	0	0	0.5
msk	spn.A	2	6	1e-04	0	0.5
tll	spn.A	2	6	0	0	0.5
Tm1	spn.A	2	6	1e-04	0	0.5
srp	spn.A	2	6	2e-04	0	0.5
Btk29A	spn.A	2	6	0	0	0.5
fred	spn.A	2	6	1e-04	0	0.5
Src64B	spn.A	2	6	1e-04	0	0.5
Mmp1	spn.A	2	6	0	0	0.5
sll	spn.A	2	6	0	0	0.5
Hmgs	spn.A	2	6	0	0	0.5
caps	spn.A	2	6	0	0	0.5
Su.var.2.10	spn.A	2	6	0	0	0.5
CycB	spn.A	2	6	0	0	0.5
spir	spn.A	2	6	0	0	0.5
spn.A	spn.A	2	6	0	0	0.5
Ptpmeg	spn.A	2	6	0	0	0.5
qua	spn.A	2	6	1e-04	0	0.5
msn	spn.A	2	6	0	0	0.5
ena	spn.A	2	6	0	0	0.5
spen	spn.A	2	6	0	0	0.5
emc	spn.A	2	6	7e-04	0	0.5
tsh	spn.A	2	6	0	0	0.5
Dat	spn.A	2	6	2e-04	0	0.5
Lac	spn.A	2	6	0	0	0.5
dup	spn.A	2	6	0	0	0.5
CG3075	spn.A	2	6	0	0	0.5
Akap200	spn.A	2	6	0	0	0.5
CG18369	spn.A	2	6	0	0	0.5
bnl	spn.A	2	6	2e-04	0	0.5
sec23	spn.A	2	6	0	0	0.5
Pde8	spn.A	2	6	1e-04	0	0.5
Arp66B	spn.A	2	6	0	0	0.5
cos	spn.A	2	6	0	0	0.5
Borr	spn.A	2	6	0	0	0.5
X140up	spn.A	2	6	0	0	0.5
Dhc64C	spn.A	2	6	0	0	0.5
Not1	spn.A	2	6	0	0	0.5
