Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	sqd	2	6	0	0	0.5
emp	sqd	2	6	0	0	0.5
CG2678	sqd	2	6	2e-04	0	0.5
crc	sqd	2	6	0	0	0.5
pros	sqd	2	6	0	0	0.5
neur	sqd	2	6	0	0	0.5
Rab5	sqd	2	6	3e-04	0	0.5
Rab7	sqd	2	6	0	0	0.5
Mmp2	sqd	2	6	0	0	0.5
W	sqd	2	6	0	0	0.5
bowl	sqd	2	6	0	0	0.5
fd59A	sqd	2	6	0	0	0.5
e	sqd	2	6	0	0	0.5
ben	sqd	2	6	0	0	0.5
rdo	sqd	2	6	0	0	0.5
lin	sqd	2	6	2e-04	0	0.5
tra	sqd	2	6	0	0	0.5
tra2	sqd	2	6	0	0	0.5
cathD	sqd	2	6	0	0	0.5
d	sqd	2	6	0	0	0.5
lva	sqd	2	6	1e-04	0	0.5
pbl	sqd	2	6	0	0	0.5
CG33205	sqd	2	6	0	0	0.5
da	sqd	2	6	0	0	0.5
cactin	sqd	2	6	0	0	0.5
hpo	sqd	2	6	0	0	0.5
Sema.2a	sqd	2	6	0	0	0.5
Eip74EF	sqd	2	6	0	0	0.5
eg	sqd	2	6	1e-04	0	0.5
Arc42	sqd	2	6	0	0	0.5
toy	sqd	2	6	5e-04	0	0.5
Galpha73B	sqd	2	6	0	0	0.5
RhoGAPp190	sqd	2	6	0	0	0.5
MED11	sqd	2	6	0	0	0.5
cher	sqd	2	6	1e-04	0	0.5
BicD	sqd	2	6	0	0	0.5
MYPT.75D	sqd	2	6	0	0	0.5
mus304	sqd	2	6	0	0	0.5
CdsA	sqd	2	6	0	0	0.5
btl	sqd	2	6	1e-04	0	0.5
Cyt.c.d	sqd	2	6	2e-04	0	0.5
tok	sqd	2	6	1e-04	0	0.5
ttk	sqd	2	6	0	0	0.5
tamo	sqd	2	6	0	0	0.5
CG6416	sqd	2	6	1e-04	0	0.5
flfl	sqd	2	6	0	0	0.5
Pvr	sqd	2	6	3e-04	0	0.5
kay	sqd	2	6	0	0	0.5
Jra	sqd	2	6	3e-04	0	0.5
msk	sqd	2	6	0	0	0.5
tll	sqd	2	6	0	0	0.5
Tm1	sqd	2	6	0	0	0.5
srp	sqd	2	6	0	0	0.5
Btk29A	sqd	2	6	0	0	0.5
fred	sqd	2	6	2e-04	0	0.5
Src64B	sqd	2	6	0	0	0.5
Mmp1	sqd	2	6	1e-04	0	0.5
sll	sqd	2	6	0	0	0.5
Hmgs	sqd	2	6	0	0	0.5
caps	sqd	2	6	8e-04	0	0.5
Su.var.2.10	sqd	2	6	0	0	0.5
CycB	sqd	2	6	0	0	0.5
spir	sqd	2	6	0	0	0.5
spn.A	sqd	2	6	0	0	0.5
Ptpmeg	sqd	2	6	3e-04	0	0.5
qua	sqd	2	6	0	0	0.5
msn	sqd	2	6	0	0	0.5
ena	sqd	2	6	0	0	0.5
spen	sqd	2	6	0	0	0.5
emc	sqd	2	6	2e-04	0	0.5
tsh	sqd	2	6	0	0	0.5
Dat	sqd	2	6	2e-04	0	0.5
Lac	sqd	2	6	0	0	0.5
dup	sqd	2	6	0	0	0.5
CG3075	sqd	2	6	1e-04	0	0.5
Akap200	sqd	2	6	0	0	0.5
CG18369	sqd	2	6	2e-04	0	0.5
bnl	sqd	2	6	0	0	0.5
sec23	sqd	2	6	9e-04	0	0.5
Pde8	sqd	2	6	0	0	0.5
Arp66B	sqd	2	6	0	0	0.5
cos	sqd	2	6	0	0	0.5
Borr	sqd	2	6	0	0	0.5
X140up	sqd	2	6	0	0	0.5
Dhc64C	sqd	2	6	1e-04	0	0.5
Not1	sqd	2	6	0	0	0.5
CG9520	sqd	2	6	0	0	0.5
bib	sqd	2	6	0	0	0.5
mib1	sqd	2	6	0	0	0.5
cas	sqd	2	6	0	0	0.5
Abi	sqd	2	6	0	0	0.5
betaTub56D	sqd	2	6	0	0	0.5
nej	sqd	2	6	0	0	0.5
dlg1	sqd	2	6	0	0	0.5
Lcp65Ag1	sqd	2	6	0	0	0.5
Es2	sqd	2	6	0	0	0.5
MED24	sqd	2	6	0	0	0.5
Vhl	sqd	2	6	0	0	0.5
tral	sqd	2	6	1e-04	0	0.5
sns	sqd	2	6	1e-04	0	0.5
mbl	sqd	2	6	0	0	0.5
sav	sqd	2	6	1e-04	0	0.5
lola	sqd	2	6	0	0	0.5
