Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	srp	2	6	9e-04	0	0.5
emp	srp	2	6	0.003	0	0.5
CG2678	srp	2	6	0.0011	0	0.5
crc	srp	2	6	2e-04	0	0.5
pros	srp	2	6	1e-04	0	0.5
neur	srp	2	6	0	0	0.5
Rab5	srp	2	6	0.0013	0	0.5
Rab7	srp	2	6	4e-04	0	0.5
Mmp2	srp	2	6	6e-04	0	0.5
W	srp	2	6	2e-04	0	0.5
bowl	srp	2	6	0	0	0.5
fd59A	srp	2	6	9e-04	0	0.5
e	srp	2	6	1e-04	0	0.5
ben	srp	2	6	1e-04	0	0.5
rdo	srp	2	6	1e-04	0	0.5
lin	srp	2	6	7e-04	0	0.5
tra	srp	2	6	2e-04	0	0.5
tra2	srp	2	6	0.001	0	0.5
cathD	srp	2	6	0.002	0	0.5
d	srp	2	6	0.7487	0.823	0.5
lva	srp	2	6	0.0016	0	0.5
pbl	srp	2	6	4e-04	0	0.5
CG33205	srp	2	6	1e-04	0	0.5
da	srp	2	6	5e-04	0	0.5
cactin	srp	2	6	0	0	0.5
hpo	srp	2	6	6e-04	0	0.5
Sema.2a	srp	2	6	0.0157	0	0.5
Eip74EF	srp	2	6	1e-04	0	0.5
eg	srp	2	6	0.001	0	0.5
Arc42	srp	2	6	4e-04	0	0.5
toy	srp	2	6	3e-04	0	0.5
Galpha73B	srp	2	6	2e-04	0	0.5
RhoGAPp190	srp	2	6	0	0	0.5
MED11	srp	2	6	0.001	0	0.5
cher	srp	2	6	0.001	0	0.5
BicD	srp	2	6	0.0013	0	0.5
MYPT.75D	srp	2	6	2e-04	0	0.5
mus304	srp	2	6	3e-04	0	0.5
CdsA	srp	2	6	0.0011	0	0.5
btl	srp	2	6	0.0012	0	0.5
Cyt.c.d	srp	2	6	6e-04	0	0.5
tok	srp	2	6	0	0	0.5
ttk	srp	2	6	3e-04	0	0.5
tamo	srp	2	6	1e-04	0	0.5
CG6416	srp	2	6	1e-04	0	0.5
flfl	srp	2	6	3e-04	0	0.5
Pvr	srp	2	6	0.0018	0	0.5
kay	srp	2	6	4e-04	0	0.5
Jra	srp	2	6	2e-04	0	0.5
msk	srp	2	6	1e-04	0	0.5
tll	srp	2	6	3e-04	0	0.5
