Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	ssh	2	6	5e-04	0	0.5
emp	ssh	2	6	0	0	0.5
CG2678	ssh	2	6	1e-04	0	0.5
crc	ssh	2	6	1e-04	0	0.5
pros	ssh	2	6	6e-04	0	0.5
neur	ssh	2	6	0	0	0.5
Rab5	ssh	2	6	3e-04	0	0.5
Rab7	ssh	2	6	0	0	0.5
Mmp2	ssh	2	6	1e-04	0	0.5
W	ssh	2	6	0	0	0.5
bowl	ssh	2	6	0	0	0.5
fd59A	ssh	2	6	0	0	0.5
e	ssh	2	6	5e-04	0	0.5
ben	ssh	2	6	5e-04	0	0.5
rdo	ssh	2	6	1e-04	0	0.5
lin	ssh	2	6	0	0	0.5
tra	ssh	2	6	0	0	0.5
tra2	ssh	2	6	2e-04	0	0.5
cathD	ssh	2	6	0	0	0.5
d	ssh	2	6	0	0	0.5
lva	ssh	2	6	0	0	0.5
pbl	ssh	2	6	0	0	0.5
CG33205	ssh	2	6	0	0	0.5
da	ssh	2	6	0	0	0.5
cactin	ssh	2	6	7e-04	0	0.5
hpo	ssh	2	6	0	0	0.5
Sema.2a	ssh	2	6	0	0	0.5
Eip74EF	ssh	2	6	8e-04	0	0.5
eg	ssh	2	6	0	0	0.5
Arc42	ssh	2	6	0	0	0.5
toy	ssh	2	6	0	0	0.5
Galpha73B	ssh	2	6	0	0	0.5
RhoGAPp190	ssh	2	6	0	0	0.5
MED11	ssh	2	6	3e-04	0	0.5
cher	ssh	2	6	0	0	0.5
BicD	ssh	2	6	0	0	0.5
MYPT.75D	ssh	2	6	0.0017	0	0.5
mus304	ssh	2	6	1e-04	0	0.5
CdsA	ssh	2	6	2e-04	0	0.5
btl	ssh	2	6	0	0	0.5
Cyt.c.d	ssh	2	6	1e-04	0	0.5
tok	ssh	2	6	0	0	0.5
ttk	ssh	2	6	1e-04	0	0.5
tamo	ssh	2	6	1e-04	0	0.5
CG6416	ssh	2	6	0	0	0.5
flfl	ssh	2	6	2e-04	0	0.5
Pvr	ssh	2	6	0	0	0.5
kay	ssh	2	6	0	0	0.5
Jra	ssh	2	6	0	0	0.5
msk	ssh	2	6	0	0	0.5
tll	ssh	2	6	0	0	0.5
Tm1	ssh	2	6	0	0	0.5
srp	ssh	2	6	0	0	0.5
Btk29A	ssh	2	6	0	0	0.5
fred	ssh	2	6	2e-04	0	0.5
Src64B	ssh	2	6	3e-04	0	0.5
Mmp1	ssh	2	6	0	0	0.5
sll	ssh	2	6	0	0	0.5
Hmgs	ssh	2	6	0	0	0.5
caps	ssh	2	6	0.0015	0	0.5
Su.var.2.10	ssh	2	6	8e-04	0	0.5
CycB	ssh	2	6	0.0016	0	0.5
spir	ssh	2	6	3e-04	0	0.5
spn.A	ssh	2	6	0	0	0.5
Ptpmeg	ssh	2	6	3e-04	0	0.5
qua	ssh	2	6	2e-04	0	0.5
msn	ssh	2	6	0	0	0.5
ena	ssh	2	6	0	0	0.5
spen	ssh	2	6	0	0	0.5
emc	ssh	2	6	0	0	0.5
tsh	ssh	2	6	0	0	0.5
Dat	ssh	2	6	0	0	0.5
Lac	ssh	2	6	1e-04	0	0.5
dup	ssh	2	6	0	0	0.5
CG3075	ssh	2	6	0	0	0.5
Akap200	ssh	2	6	0	0	0.5
CG18369	ssh	2	6	0	0	0.5
bnl	ssh	2	6	0	0	0.5
sec23	ssh	2	6	2e-04	0	0.5
Pde8	ssh	2	6	0	0	0.5
Arp66B	ssh	2	6	0	0	0.5
cos	ssh	2	6	1e-04	0	0.5
Borr	ssh	2	6	0	0	0.5
X140up	ssh	2	6	0	0	0.5
Dhc64C	ssh	2	6	0.0011	0	0.5
Not1	ssh	2	6	0	0	0.5
CG9520	ssh	2	6	0	0	0.5
bib	ssh	2	6	9e-04	0	0.5
mib1	ssh	2	6	0	0	0.5
cas	ssh	2	6	0	0	0.5
Abi	ssh	2	6	0	0	0.5
betaTub56D	ssh	2	6	0	0	0.5
nej	ssh	2	6	1e-04	0	0.5
dlg1	ssh	2	6	0	0	0.5
Lcp65Ag1	ssh	2	6	3e-04	0	0.5
Es2	ssh	2	6	0	0	0.5
MED24	ssh	2	6	2e-04	0	0.5
Vhl	ssh	2	6	0	0	0.5
tral	ssh	2	6	0	0	0.5
sns	ssh	2	6	2e-04	0	0.5
mbl	ssh	2	6	0	0	0.5
sav	ssh	2	6	0	0	0.5
lola	ssh	2	6	0	0	0.5
robo	ssh	2	6	0.001	0	0.5
CG32486	ssh	2	6	6e-04	0	0.5
santa.maria	ssh	2	6	0	0	0.5
stumps	ssh	2	6	0	0	0.5
abd.A	ssh	2	6	0	0	0.5
dock	ssh	2	6	0	0	0.5
Lar	ssh	2	6	3e-04	0	0.5
l.1.G0289	ssh	2	6	0	0	0.5
Abl	ssh	2	6	6e-04	0	0.5
Syb	ssh	2	6	0.001	0	0.5
dome	ssh	2	6	0	0	0.5
ofs	ssh	2	6	5e-04	0	0.5
MED4	ssh	2	6	0	0	0.5
scrib	ssh	2	6	0	0	0.5
siz	ssh	2	6	0	0	0.5
cbx	ssh	2	6	1e-04	0	0.5
dsx	ssh	2	6	1e-04	0	0.5
Sb	ssh	2	6	0	0	0.5
sax	ssh	2	6	2e-04	0	0.5
foxo	ssh	2	6	0.0013	0	0.5
Cyp1	ssh	2	6	0	0	0.5
brm	ssh	2	6	0	0	0.5
rad50	ssh	2	6	0	0	0.5
chico	ssh	2	6	0	0	0.5
cp309	ssh	2	6	0	0	0.5
hdc	ssh	2	6	0	0	0.5
Axn	ssh	2	6	0	0	0.5
Apc2	ssh	2	6	0	0	0.5
PhKgamma	ssh	2	6	2e-04	0	0.5
eya	ssh	2	6	2e-04	0	0.5
sktl	ssh	2	6	0	0	0.5
sqd	ssh	2	6	0	0	0.5
Akt1	ssh	2	6	2e-04	0	0.5
scyl	ssh	2	6	2e-04	0	0.5
cnk	ssh	2	6	0	0	0.5
CG8149	ssh	2	6	0	0	0.5
CG34379	ssh	2	6	0	0	0.5
Yp1	ssh	2	6	0	0	0.5
yrt	ssh	2	6	0	0	0.5
bap	ssh	2	6	0	0	0.5
tud	ssh	2	6	1e-04	0	0.5
ct	ssh	2	6	0	0	0.5
tup	ssh	2	6	0	0	0.5
G.ialpha65A	ssh	2	6	4e-04	0	0.5
knrl	ssh	2	6	0	0	0.5
Pkn	ssh	2	6	0	0	0.5
Sry.delta	ssh	2	6	5e-04	0	0.5
