Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	stg	2	6	0	0	0.5
emp	stg	2	6	0	0	0.5
CG2678	stg	2	6	0.9497	-0.99848	0.5
crc	stg	2	6	2e-04	0	0.5
pros	stg	2	6	2e-04	0	0.5
neur	stg	2	6	0	0	0.5
Rab5	stg	2	6	1e-04	0	0.5
Rab7	stg	2	6	0	0	0.5
Mmp2	stg	2	6	0	0	0.5
W	stg	2	6	1e-04	0	0.5
bowl	stg	2	6	0	0	0.5
fd59A	stg	2	6	0	0	0.5
e	stg	2	6	0	0	0.5
ben	stg	2	6	0	0	0.5
rdo	stg	2	6	0	0	0.5
lin	stg	2	6	0	0	0.5
tra	stg	2	6	0	0	0.5
tra2	stg	2	6	7e-04	0	0.5
cathD	stg	2	6	0	0	0.5
d	stg	2	6	0	0	0.5
lva	stg	2	6	5e-04	0	0.5
pbl	stg	2	6	0	0	0.5
CG33205	stg	2	6	3e-04	0	0.5
da	stg	2	6	0	0	0.5
cactin	stg	2	6	6e-04	0	0.5
hpo	stg	2	6	3e-04	0	0.5
Sema.2a	stg	2	6	1e-04	0	0.5
Eip74EF	stg	2	6	7e-04	0	0.5
eg	stg	2	6	0	0	0.5
Arc42	stg	2	6	0	0	0.5
toy	stg	2	6	0	0	0.5
Galpha73B	stg	2	6	1e-04	0	0.5
RhoGAPp190	stg	2	6	1e-04	0	0.5
MED11	stg	2	6	0	0	0.5
cher	stg	2	6	5e-04	0	0.5
BicD	stg	2	6	0	0	0.5
MYPT.75D	stg	2	6	0	0	0.5
mus304	stg	2	6	0	0	0.5
CdsA	stg	2	6	2e-04	0	0.5
btl	stg	2	6	0	0	0.5
Cyt.c.d	stg	2	6	0	0	0.5
tok	stg	2	6	0	0	0.5
ttk	stg	2	6	0	0	0.5
tamo	stg	2	6	0	0	0.5
CG6416	stg	2	6	5e-04	0	0.5
flfl	stg	2	6	0	0	0.5
Pvr	stg	2	6	0	0	0.5
kay	stg	2	6	4e-04	0	0.5
Jra	stg	2	6	0	0	0.5
msk	stg	2	6	0.0014	0	0.5
tll	stg	2	6	0	0	0.5
Tm1	stg	2	6	0	0	0.5
srp	stg	2	6	0.0014	0	0.5
Btk29A	stg	2	6	0	0	0.5
fred	stg	2	6	0	0	0.5
Src64B	stg	2	6	0	0	0.5
Mmp1	stg	2	6	0	0	0.5
sll	stg	2	6	1e-04	0	0.5
Hmgs	stg	2	6	0	0	0.5
caps	stg	2	6	2e-04	0	0.5
Su.var.2.10	stg	2	6	0	0	0.5
CycB	stg	2	6	0	0	0.5
spir	stg	2	6	1e-04	0	0.5
spn.A	stg	2	6	0	0	0.5
Ptpmeg	stg	2	6	0	0	0.5
qua	stg	2	6	2e-04	0	0.5
msn	stg	2	6	5e-04	0	0.5
ena	stg	2	6	0	0	0.5
spen	stg	2	6	0	0	0.5
emc	stg	2	6	0	0	0.5
tsh	stg	2	6	0	0	0.5
Dat	stg	2	6	2e-04	0	0.5
Lac	stg	2	6	4e-04	0	0.5
dup	stg	2	6	4e-04	0	0.5
CG3075	stg	2	6	0	0	0.5
Akap200	stg	2	6	3e-04	0	0.5
CG18369	stg	2	6	0	0	0.5
bnl	stg	2	6	0	0	0.5
sec23	stg	2	6	5e-04	0	0.5
Pde8	stg	2	6	3e-04	0	0.5
Arp66B	stg	2	6	0	0	0.5
cos	stg	2	6	1e-04	0	0.5
Borr	stg	2	6	0	0	0.5
X140up	stg	2	6	0	0	0.5
Dhc64C	stg	2	6	0	0	0.5
Not1	stg	2	6	0	0	0.5
CG9520	stg	2	6	0	0	0.5
bib	stg	2	6	0	0	0.5
mib1	stg	2	6	0	0	0.5
cas	stg	2	6	1e-04	0	0.5
Abi	stg	2	6	0	0	0.5
betaTub56D	stg	2	6	0	0	0.5
nej	stg	2	6	9e-04	0	0.5
dlg1	stg	2	6	0	0	0.5
Lcp65Ag1	stg	2	6	2e-04	0	0.5
Es2	stg	2	6	1e-04	0	0.5
MED24	stg	2	6	1e-04	0	0.5
Vhl	stg	2	6	0	0	0.5
tral	stg	2	6	0	0	0.5
sns	stg	2	6	0	0	0.5
mbl	stg	2	6	0	0	0.5
sav	stg	2	6	2e-04	0	0.5
lola	stg	2	6	1	-0.99863	0.5
robo	stg	2	6	0	0	0.5
CG32486	stg	2	6	3e-04	0	0.5
santa.maria	stg	2	6	0	0	0.5
stumps	stg	2	6	1e-04	0	0.5
abd.A	stg	2	6	0	0	0.5
dock	stg	2	6	0.001	0	0.5
Lar	stg	2	6	0	0	0.5
l.1.G0289	stg	2	6	0	0	0.5
Abl	stg	2	6	3e-04	0	0.5
Syb	stg	2	6	0	0	0.5
dome	stg	2	6	0	0	0.5
ofs	stg	2	6	0	0	0.5
MED4	stg	2	6	0	0	0.5
scrib	stg	2	6	3e-04	0	0.5
siz	stg	2	6	0	0	0.5
cbx	stg	2	6	0	0	0.5
dsx	stg	2	6	0	0	0.5
Sb	stg	2	6	0	0	0.5
sax	stg	2	6	6e-04	0	0.5
foxo	stg	2	6	0	0	0.5
Cyp1	stg	2	6	0	0	0.5
brm	stg	2	6	0	0	0.5
rad50	stg	2	6	0	0	0.5
chico	stg	2	6	0	0	0.5
cp309	stg	2	6	0	0	0.5
hdc	stg	2	6	0	0	0.5
Axn	stg	2	6	0	0	0.5
Apc2	stg	2	6	6e-04	0	0.5
PhKgamma	stg	2	6	0	0	0.5
eya	stg	2	6	5e-04	0	0.5
sktl	stg	2	6	0	0	0.5
sqd	stg	2	6	0.0012	0	0.5
Akt1	stg	2	6	0	0	0.5
scyl	stg	2	6	0	0	0.5
cnk	stg	2	6	2e-04	0	0.5
CG8149	stg	2	6	0	0	0.5
CG34379	stg	2	6	0	0	0.5
Yp1	stg	2	6	0	0	0.5
yrt	stg	2	6	0	0	0.5
bap	stg	2	6	0	0	0.5
tud	stg	2	6	0	0	0.5
ct	stg	2	6	7e-04	0	0.5
tup	stg	2	6	0	0	0.5
G.ialpha65A	stg	2	6	0	0	0.5
knrl	stg	2	6	0	0	0.5
Pkn	stg	2	6	8e-04	0	0.5
Sry.delta	stg	2	6	0	0	0.5
Alh	stg	2	6	0	0	0.5
pnut	stg	2	6	1e-04	0	0.5
phyl	stg	2	6	0	0	0.5
CG17739	stg	2	6	7e-04	0	0.5
B4	stg	2	6	4e-04	0	0.5
