Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	stil	2	6	0	0	0.5
emp	stil	2	6	5e-04	0	0.5
CG2678	stil	2	6	0	0	0.5
crc	stil	2	6	0	0	0.5
pros	stil	2	6	5e-04	0	0.5
neur	stil	2	6	0	0	0.5
Rab5	stil	2	6	0	0	0.5
Rab7	stil	2	6	7e-04	0	0.5
Mmp2	stil	2	6	0	0	0.5
W	stil	2	6	0	0	0.5
bowl	stil	2	6	0	0	0.5
fd59A	stil	2	6	0	0	0.5
e	stil	2	6	0	0	0.5
ben	stil	2	6	0	0	0.5
rdo	stil	2	6	3e-04	0	0.5
lin	stil	2	6	0	0	0.5
tra	stil	2	6	0	0	0.5
tra2	stil	2	6	0	0	0.5
cathD	stil	2	6	8e-04	0	0.5
d	stil	2	6	0	0	0.5
lva	stil	2	6	4e-04	0	0.5
pbl	stil	2	6	0	0	0.5
CG33205	stil	2	6	2e-04	0	0.5
da	stil	2	6	0	0	0.5
cactin	stil	2	6	4e-04	0	0.5
hpo	stil	2	6	0	0	0.5
Sema.2a	stil	2	6	0.0013	0	0.5
Eip74EF	stil	2	6	0	0	0.5
eg	stil	2	6	2e-04	0	0.5
Arc42	stil	2	6	0	0	0.5
toy	stil	2	6	5e-04	0	0.5
Galpha73B	stil	2	6	0	0	0.5
RhoGAPp190	stil	2	6	3e-04	0	0.5
MED11	stil	2	6	0	0	0.5
cher	stil	2	6	5e-04	0	0.5
BicD	stil	2	6	0	0	0.5
MYPT.75D	stil	2	6	3e-04	0	0.5
mus304	stil	2	6	2e-04	0	0.5
CdsA	stil	2	6	0	0	0.5
btl	stil	2	6	0	0	0.5
Cyt.c.d	stil	2	6	1e-04	0	0.5
tok	stil	2	6	2e-04	0	0.5
ttk	stil	2	6	0.001	0	0.5
tamo	stil	2	6	0	0	0.5
CG6416	stil	2	6	0	0	0.5
flfl	stil	2	6	7e-04	0	0.5
Pvr	stil	2	6	6e-04	0	0.5
kay	stil	2	6	0	0	0.5
Jra	stil	2	6	0	0	0.5
msk	stil	2	6	0	0	0.5
tll	stil	2	6	0	0	0.5
Tm1	stil	2	6	9e-04	0	0.5
srp	stil	2	6	0	0	0.5
Btk29A	stil	2	6	0	0	0.5
fred	stil	2	6	1e-04	0	0.5
Src64B	stil	2	6	1e-04	0	0.5
Mmp1	stil	2	6	1e-04	0	0.5
sll	stil	2	6	9e-04	0	0.5
Hmgs	stil	2	6	0.0017	0	0.5
caps	stil	2	6	0	0	0.5
Su.var.2.10	stil	2	6	3e-04	0	0.5
CycB	stil	2	6	0	0	0.5
spir	stil	2	6	0	0	0.5
spn.A	stil	2	6	0	0	0.5
Ptpmeg	stil	2	6	0	0	0.5
qua	stil	2	6	0.0022	0	0.5
msn	stil	2	6	0	0	0.5
ena	stil	2	6	0	0	0.5
spen	stil	2	6	0	0	0.5
emc	stil	2	6	2e-04	0	0.5
tsh	stil	2	6	0	0	0.5
Dat	stil	2	6	5e-04	0	0.5
Lac	stil	2	6	0	0	0.5
dup	stil	2	6	0	0	0.5
CG3075	stil	2	6	0	0	0.5
Akap200	stil	2	6	0	0	0.5
CG18369	stil	2	6	0	0	0.5
