Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	svr	2	6	0	0	0.5
emp	svr	2	6	0.0018	0	0.5
CG2678	svr	2	6	3e-04	0	0.5
crc	svr	2	6	0	0	0.5
pros	svr	2	6	0	0	0.5
neur	svr	2	6	1e-04	0	0.5
Rab5	svr	2	6	0	0	0.5
Rab7	svr	2	6	6e-04	0	0.5
Mmp2	svr	2	6	0	0	0.5
W	svr	2	6	0	0	0.5
bowl	svr	2	6	0	0	0.5
fd59A	svr	2	6	0	0	0.5
e	svr	2	6	2e-04	0	0.5
ben	svr	2	6	0	0	0.5
rdo	svr	2	6	0	0	0.5
lin	svr	2	6	0.6621	-0.99774	0.5
tra	svr	2	6	4e-04	0	0.5
tra2	svr	2	6	0	0	0.5
cathD	svr	2	6	0	0	0.5
d	svr	2	6	0	0	0.5
lva	svr	2	6	5e-04	0	0.5
pbl	svr	2	6	5e-04	0	0.5
CG33205	svr	2	6	1e-04	0	0.5
da	svr	2	6	0	0	0.5
cactin	svr	2	6	6e-04	0	0.5
hpo	svr	2	6	0.0012	0	0.5
Sema.2a	svr	2	6	0	0	0.5
Eip74EF	svr	2	6	0	0	0.5
eg	svr	2	6	0	0	0.5
Arc42	svr	2	6	0	0	0.5
toy	svr	2	6	5e-04	0	0.5
Galpha73B	svr	2	6	0	0	0.5
RhoGAPp190	svr	2	6	0	0	0.5
MED11	svr	2	6	0	0	0.5
cher	svr	2	6	1e-04	0	0.5
BicD	svr	2	6	0	0	0.5
MYPT.75D	svr	2	6	0	0	0.5
mus304	svr	2	6	5e-04	0	0.5
CdsA	svr	2	6	9e-04	0	0.5
btl	svr	2	6	2e-04	0	0.5
Cyt.c.d	svr	2	6	3e-04	0	0.5
tok	svr	2	6	1e-04	0	0.5
ttk	svr	2	6	0	0	0.5
tamo	svr	2	6	0	0	0.5
CG6416	svr	2	6	8e-04	0	0.5
flfl	svr	2	6	0	0	0.5
Pvr	svr	2	6	0	0	0.5
kay	svr	2	6	0	0	0.5
Jra	svr	2	6	0	0	0.5
msk	svr	2	6	0	0	0.5
tll	svr	2	6	2e-04	0	0.5
Tm1	svr	2	6	6e-04	0	0.5
srp	svr	2	6	0	0	0.5
Btk29A	svr	2	6	0.0011	0	0.5
fred	svr	2	6	2e-04	0	0.5
Src64B	svr	2	6	0	0	0.5
Mmp1	svr	2	6	0	0	0.5
sll	svr	2	6	0	0	0.5
Hmgs	svr	2	6	1e-04	0	0.5
caps	svr	2	6	0	0	0.5
Su.var.2.10	svr	2	6	2e-04	0	0.5
CycB	svr	2	6	0	0	0.5
spir	svr	2	6	0	0	0.5
spn.A	svr	2	6	0	0	0.5
Ptpmeg	svr	2	6	0	0	0.5
qua	svr	2	6	0	0	0.5
msn	svr	2	6	2e-04	0	0.5
ena	svr	2	6	0	0	0.5
spen	svr	2	6	0	0	0.5
emc	svr	2	6	1e-04	0	0.5
tsh	svr	2	6	2e-04	0	0.5
Dat	svr	2	6	1e-04	0	0.5
Lac	svr	2	6	0	0	0.5
dup	svr	2	6	3e-04	0	0.5
CG3075	svr	2	6	0	0	0.5
Akap200	svr	2	6	6e-04	0	0.5
CG18369	svr	2	6	0	0	0.5
bnl	svr	2	6	0	0	0.5
sec23	svr	2	6	0	0	0.5
Pde8	svr	2	6	1e-04	0	0.5
Arp66B	svr	2	6	1e-04	0	0.5
cos	svr	2	6	0	0	0.5
Borr	svr	2	6	0.0022	0	0.5
X140up	svr	2	6	3e-04	0	0.5
Dhc64C	svr	2	6	0	0	0.5
Not1	svr	2	6	0	0	0.5
CG9520	svr	2	6	0	0	0.5
bib	svr	2	6	8e-04	0	0.5
mib1	svr	2	6	0	0	0.5
cas	svr	2	6	7e-04	0	0.5
Abi	svr	2	6	2e-04	0	0.5
betaTub56D	svr	2	6	8e-04	0	0.5
nej	svr	2	6	0	0	0.5
dlg1	svr	2	6	0	0	0.5
Lcp65Ag1	svr	2	6	2e-04	0	0.5
Es2	svr	2	6	0	0	0.5
MED24	svr	2	6	0	0	0.5
Vhl	svr	2	6	0	0	0.5
tral	svr	2	6	0	0	0.5
sns	svr	2	6	0.2994	0	0.5
mbl	svr	2	6	0	0	0.5
sav	svr	2	6	6e-04	0	0.5
lola	svr	2	6	1e-04	0	0.5
robo	svr	2	6	5e-04	0	0.5
CG32486	svr	2	6	0	0	0.5
santa.maria	svr	2	6	0	0	0.5
stumps	svr	2	6	5e-04	0	0.5
abd.A	svr	2	6	0	0	0.5
dock	svr	2	6	0	0	0.5
Lar	svr	2	6	0	0	0.5
l.1.G0289	svr	2	6	4e-04	0	0.5
Abl	svr	2	6	2e-04	0	0.5
Syb	svr	2	6	0	0	0.5
dome	svr	2	6	0	0	0.5
ofs	svr	2	6	0	0	0.5
MED4	svr	2	6	0	0	0.5
scrib	svr	2	6	0	0	0.5
siz	svr	2	6	0	0	0.5
cbx	svr	2	6	0	0	0.5
dsx	svr	2	6	6e-04	0	0.5
Sb	svr	2	6	3e-04	0	0.5
sax	svr	2	6	0	0	0.5
foxo	svr	2	6	0	0	0.5
Cyp1	svr	2	6	0	0	0.5
brm	svr	2	6	0	0	0.5
rad50	svr	2	6	0	0	0.5
chico	svr	2	6	4e-04	0	0.5
cp309	svr	2	6	0	0	0.5
hdc	svr	2	6	0	0	0.5
Axn	svr	2	6	0	0	0.5
Apc2	svr	2	6	0	0	0.5
PhKgamma	svr	2	6	1e-04	0	0.5
eya	svr	2	6	0	0	0.5
sktl	svr	2	6	0	0	0.5
sqd	svr	2	6	5e-04	0	0.5
Akt1	svr	2	6	4e-04	0	0.5
scyl	svr	2	6	0	0	0.5
cnk	svr	2	6	2e-04	0	0.5
CG8149	svr	2	6	0	0	0.5
CG34379	svr	2	6	9e-04	0	0.5
Yp1	svr	2	6	1	-0.99837	0.5
yrt	svr	2	6	7e-04	0	0.5
bap	svr	2	6	0	0	0.5
tud	svr	2	6	2e-04	0	0.5
ct	svr	2	6	6e-04	0	0.5
tup	svr	2	6	6e-04	0	0.5
G.ialpha65A	svr	2	6	0	0	0.5
knrl	svr	2	6	2e-04	0	0.5
Pkn	svr	2	6	7e-04	0	0.5
Sry.delta	svr	2	6	0	0	0.5
Alh	svr	2	6	3e-04	0	0.5
pnut	svr	2	6	7e-04	0	0.5
phyl	svr	2	6	0	0	0.5
CG17739	svr	2	6	7e-04	0	0.5
B4	svr	2	6	0	0	0.5
CG2681	svr	2	6	0.0013	0	0.5
tow	svr	2	6	3e-04	0	0.5
hkl	svr	2	6	0	0	0.5
sina	svr	2	6	3e-04	0	0.5
ry	svr	2	6	0	0	0.5
rux	svr	2	6	0.0013	0	0.5
boss	svr	2	6	0	0	0.5
Mkp3	svr	2	6	0	0	0.5
inaC	svr	2	6	0	0	0.5
sno	svr	2	6	0	0	0.5
jagn	svr	2	6	0	0	0.5
dpn	svr	2	6	0	0	0.5
wrapper	svr	2	6	0	0	0.5
Ca.alpha1D	svr	2	6	0	0	0.5
E2f	svr	2	6	0	0	0.5
Dp	svr	2	6	0	0	0.5
l.2.efl	svr	2	6	0	0	0.5
cnc	svr	2	6	0.002	0	0.5
Atg5	svr	2	6	0	0	0.5
acj6	svr	2	6	0	0	0.5
Trl	svr	2	6	0	0	0.5
d4	svr	2	6	5e-04	0	0.5
CG16719	svr	2	6	0	0	0.5
CadN	svr	2	6	6e-04	0	0.5
gro	svr	2	6	0	0	0.5
sec13	svr	2	6	0	0	0.5
klar	svr	2	6	0	0	0.5
Rack1	svr	2	6	0	0	0.5
Sobp	svr	2	6	0	0	0.5
ash1	svr	2	6	0	0	0.5
inv	svr	2	6	3e-04	0	0.5
shot	svr	2	6	0	0	0.5
Oseg1	svr	2	6	0	0	0.5
Spred	svr	2	6	0	0	0.5
puc	svr	2	6	1e-04	0	0.5
Atg6	svr	2	6	0	0	0.5
CG3829	svr	2	6	1e-04	0	0.5
sle	svr	2	6	0	0	0.5
Cka	svr	2	6	1e-04	0	0.5
form3	svr	2	6	0	0	0.5
Pk61C	svr	2	6	0	0	0.5
Pcaf	svr	2	6	0	0	0.5
sbb	svr	2	6	0	0	0.5
Ef1gamma	svr	2	6	0.0013	0	0.5
FKBP59	svr	2	6	0	0	0.5
