Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	t	2	6	1e-04	0	0.5
emp	t	2	6	0	0	0.5
CG2678	t	2	6	0	0	0.5
crc	t	2	6	0	0	0.5
pros	t	2	6	0	0	0.5
neur	t	2	6	1e-04	0	0.5
Rab5	t	2	6	0	0	0.5
Rab7	t	2	6	0	0	0.5
Mmp2	t	2	6	0	0	0.5
W	t	2	6	0	0	0.5
bowl	t	2	6	0	0	0.5
fd59A	t	2	6	0	0	0.5
e	t	2	6	2e-04	0	0.5
ben	t	2	6	0	0	0.5
rdo	t	2	6	0	0	0.5
lin	t	2	6	1e-04	0	0.5
tra	t	2	6	1e-04	0	0.5
tra2	t	2	6	2e-04	0	0.5
cathD	t	2	6	8e-04	0	0.5
d	t	2	6	1e-04	0	0.5
lva	t	2	6	2e-04	0	0.5
pbl	t	2	6	2e-04	0	0.5
CG33205	t	2	6	0	0	0.5
da	t	2	6	0	0	0.5
cactin	t	2	6	3e-04	0	0.5
hpo	t	2	6	0	0	0.5
Sema.2a	t	2	6	0	0	0.5
Eip74EF	t	2	6	0	0	0.5
eg	t	2	6	1e-04	0	0.5
Arc42	t	2	6	0	0	0.5
toy	t	2	6	0	0	0.5
Galpha73B	t	2	6	1e-04	0	0.5
RhoGAPp190	t	2	6	0	0	0.5
MED11	t	2	6	0	0	0.5
cher	t	2	6	1e-04	0	0.5
BicD	t	2	6	0	0	0.5
MYPT.75D	t	2	6	0	0	0.5
mus304	t	2	6	0	0	0.5
CdsA	t	2	6	0	0	0.5
btl	t	2	6	1e-04	0	0.5
Cyt.c.d	t	2	6	0	0	0.5
tok	t	2	6	0	0	0.5
ttk	t	2	6	0	0	0.5
tamo	t	2	6	0	0	0.5
CG6416	t	2	6	2e-04	0	0.5
flfl	t	2	6	0	0	0.5
Pvr	t	2	6	0	0	0.5
kay	t	2	6	9e-04	0	0.5
Jra	t	2	6	0	0	0.5
msk	t	2	6	2e-04	0	0.5
tll	t	2	6	0	0	0.5
Tm1	t	2	6	0	0	0.5
srp	t	2	6	0	0	0.5
Btk29A	t	2	6	1e-04	0	0.5
fred	t	2	6	1e-04	0	0.5
Src64B	t	2	6	0	0	0.5
Mmp1	t	2	6	0	0	0.5
sll	t	2	6	2e-04	0	0.5
Hmgs	t	2	6	0	0	0.5
caps	t	2	6	0	0	0.5
Su.var.2.10	t	2	6	0	0	0.5
CycB	t	2	6	0	0	0.5
spir	t	2	6	3e-04	0	0.5
spn.A	t	2	6	1e-04	0	0.5
Ptpmeg	t	2	6	3e-04	0	0.5
qua	t	2	6	0	0	0.5
msn	t	2	6	0	0	0.5
ena	t	2	6	0	0	0.5
spen	t	2	6	0	0	0.5
emc	t	2	6	0	0	0.5
tsh	t	2	6	0	0	0.5
Dat	t	2	6	0	0	0.5
Lac	t	2	6	0	0	0.5
dup	t	2	6	0	0	0.5
CG3075	t	2	6	0	0	0.5
Akap200	t	2	6	0	0	0.5
CG18369	t	2	6	0	0	0.5
bnl	t	2	6	0	0	0.5
sec23	t	2	6	0	0	0.5
Pde8	t	2	6	0	0	0.5
Arp66B	t	2	6	0	0	0.5
cos	t	2	6	0	0	0.5
Borr	t	2	6	2e-04	0	0.5
X140up	t	2	6	1e-04	0	0.5
Dhc64C	t	2	6	0	0	0.5
Not1	t	2	6	0	0	0.5
CG9520	t	2	6	0	0	0.5
bib	t	2	6	0	0	0.5
mib1	t	2	6	2e-04	0	0.5
cas	t	2	6	0	0	0.5
Abi	t	2	6	1e-04	0	0.5
betaTub56D	t	2	6	0	0	0.5
nej	t	2	6	0	0	0.5
dlg1	t	2	6	0	0	0.5
Lcp65Ag1	t	2	6	0	0	0.5
Es2	t	2	6	3e-04	0	0.5
MED24	t	2	6	0	0	0.5
Vhl	t	2	6	0	0	0.5
tral	t	2	6	0	0	0.5
sns	t	2	6	8e-04	0	0.5
mbl	t	2	6	1e-04	0	0.5
sav	t	2	6	0	0	0.5
lola	t	2	6	0	0	0.5
robo	t	2	6	0	0	0.5
CG32486	t	2	6	0	0	0.5
santa.maria	t	2	6	2e-04	0	0.5
stumps	t	2	6	3e-04	0	0.5
abd.A	t	2	6	0	0	0.5
dock	t	2	6	0	0	0.5
Lar	t	2	6	0	0	0.5
l.1.G0289	t	2	6	0	0	0.5
Abl	t	2	6	0	0	0.5
Syb	t	2	6	0	0	0.5
dome	t	2	6	0	0	0.5
ofs	t	2	6	1e-04	0	0.5
MED4	t	2	6	0	0	0.5
scrib	t	2	6	0	0	0.5
siz	t	2	6	0	0	0.5
cbx	t	2	6	0	0	0.5
dsx	t	2	6	0	0	0.5
Sb	t	2	6	0	0	0.5
sax	t	2	6	0	0	0.5
foxo	t	2	6	0	0	0.5
Cyp1	t	2	6	0	0	0.5
brm	t	2	6	2e-04	0	0.5
rad50	t	2	6	0	0	0.5
chico	t	2	6	0	0	0.5
cp309	t	2	6	0	0	0.5
hdc	t	2	6	0	0	0.5
Axn	t	2	6	0	0	0.5
Apc2	t	2	6	0	0	0.5
PhKgamma	t	2	6	0	0	0.5
eya	t	2	6	0	0	0.5
sktl	t	2	6	3e-04	0	0.5
sqd	t	2	6	2e-04	0	0.5
Akt1	t	2	6	0	0	0.5
scyl	t	2	6	0	0	0.5
cnk	t	2	6	2e-04	0	0.5
CG8149	t	2	6	0	0	0.5
CG34379	t	2	6	1e-04	0	0.5
Yp1	t	2	6	0	0	0.5
yrt	t	2	6	0	0	0.5
bap	t	2	6	0	0	0.5
tud	t	2	6	0	0	0.5
ct	t	2	6	1e-04	0	0.5
tup	t	2	6	0	0	0.5
G.ialpha65A	t	2	6	0	0	0.5
knrl	t	2	6	0	0	0.5
Pkn	t	2	6	0	0	0.5
Sry.delta	t	2	6	0	0	0.5
Alh	t	2	6	0	0	0.5
pnut	t	2	6	2e-04	0	0.5
phyl	t	2	6	0	0	0.5
CG17739	t	2	6	0	0	0.5
B4	t	2	6	0	0	0.5
CG2681	t	2	6	0	0	0.5
tow	t	2	6	0	0	0.5
hkl	t	2	6	0	0	0.5
sina	t	2	6	0	0	0.5
ry	t	2	6	0	0	0.5
rux	t	2	6	0	0	0.5
boss	t	2	6	0	0	0.5
Mkp3	t	2	6	0	0	0.5
inaC	t	2	6	0	0	0.5
sno	t	2	6	0	0	0.5
jagn	t	2	6	0	0	0.5
dpn	t	2	6	0	0	0.5
wrapper	t	2	6	0	0	0.5
Ca.alpha1D	t	2	6	0	0	0.5
E2f	t	2	6	0	0	0.5
Dp	t	2	6	4e-04	0	0.5
l.2.efl	t	2	6	0	0	0.5
cnc	t	2	6	2e-04	0	0.5
Atg5	t	2	6	0	0	0.5
acj6	t	2	6	0	0	0.5
Trl	t	2	6	0	0	0.5
d4	t	2	6	0	0	0.5
CG16719	t	2	6	0	0	0.5
CadN	t	2	6	0	0	0.5
gro	t	2	6	0	0	0.5
sec13	t	2	6	1e-04	0	0.5
klar	t	2	6	0	0	0.5
Rack1	t	2	6	0	0	0.5
Sobp	t	2	6	0	0	0.5
ash1	t	2	6	0	0	0.5
inv	t	2	6	0	0	0.5
shot	t	2	6	0	0	0.5
Oseg1	t	2	6	3e-04	0	0.5
Spred	t	2	6	0	0	0.5
puc	t	2	6	0	0	0.5
Atg6	t	2	6	2e-04	0	0.5
CG3829	t	2	6	0	0	0.5
sle	t	2	6	2e-04	0	0.5
Cka	t	2	6	0	0	0.5
form3	t	2	6	0	0	0.5
Pk61C	t	2	6	6e-04	0	0.5
Pcaf	t	2	6	0	0	0.5
sbb	t	2	6	0	0	0.5
Ef1gamma	t	2	6	0	0	0.5
FKBP59	t	2	6	0	0	0.5
Eip71CD	t	2	6	0	0	0.5
xmas.2	t	2	6	2e-04	0	0.5
ppan	t	2	6	0	0	0.5
Iswi	t	2	6	2e-04	0	0.5
ine	t	2	6	0	0	0.5
Tina.1	t	2	6	0	0	0.5
bon	t	2	6	0	0	0.5
pot	t	2	6	0	0	0.5
chic	t	2	6	0	0	0.5
Hem	t	2	6	0	0	0.5
chif	t	2	6	0	0	0.5
S6kII	t	2	6	0	0	0.5
wal	t	2	6	0	0	0.5
wls	t	2	6	0	0	0.5
Ddx1	t	2	6	0	0	0.5
Sulf1	t	2	6	0	0	0.5
CG3987	t	2	6	0	0	0.5
Abd.B	t	2	6	0	0	0.5
Uba1	t	2	6	1e-04	0	0.5
bigmax	t	2	6	1e-04	0	0.5
NAT1	t	2	6	0	0	0.5
wupA	t	2	6	1e-04	0	0.5
Vps28	t	2	6	5e-04	0	0.5
G.oalpha47A	t	2	6	1e-04	0	0.5
G.salpha60A	t	2	6	0	0	0.5
dsf	t	2	6	1e-04	0	0.5
Khc	t	2	6	0	0	0.5
CG10641	t	2	6	0	0	0.5
Alk	t	2	6	0	0	0.5
ey	t	2	6	0	0	0.5
noc	t	2	6	0	0	0.5
ix	t	2	6	0	0	0.5
Optix	t	2	6	0	0	0.5
sdt	t	2	6	0	0	0.5
Sxl	t	2	6	0	0	0.5
rib	t	2	6	0	0	0.5
sas	t	2	6	0	0	0.5
Scgdelta	t	2	6	0	0	0.5
sw	t	2	6	0	0	0.5
fal	t	2	6	3e-04	0	0.5
ea	t	2	6	0	0	0.5
Ice	t	2	6	0	0	0.5
cic	t	2	6	0	0	0.5
Dok	t	2	6	0	0	0.5
rhea	t	2	6	0	0	0.5
Glycogenin	t	2	6	2e-04	0	0.5
cin	t	2	6	0	0	0.5
chp	t	2	6	0	0	0.5
Dlic2	t	2	6	0	0	0.5
Pk92B	t	2	6	0	0	0.5
Pak	t	2	6	0	0	0.5
Lim1	t	2	6	0	0	0.5
CG34450	t	2	6	5e-04	0	0.5
Su.H.	t	2	6	0	0	0.5
CG12301	t	2	6	0	0	0.5
lilli	t	2	6	0	0	0.5
toe	t	2	6	0	0	0.5
qkr58E.3	t	2	6	3e-04	0	0.5
up	t	2	6	2e-04	0	0.5
hep	t	2	6	3e-04	0	0.5
Dap160	t	2	6	1e-04	0	0.5
l.2.gd1	t	2	6	0	0	0.5
hkb	t	2	6	0	0	0.5
beta4GalNAcTA	t	2	6	0	0	0.5
Mer	t	2	6	0	0	0.5
Mtl	t	2	6	0	0	0.5
spin	t	2	6	2e-04	0	0.5
mfas	t	2	6	1e-04	0	0.5
frc	t	2	6	0	0	0.5
Krn	t	2	6	0	0	0.5
mam	t	2	6	0	0	0.5
brk	t	2	6	0	0	0.5
Ark	t	2	6	0	0	0.5
mmy	t	2	6	0	0	0.5
mri	t	2	6	0	0	0.5
Crk	t	2	6	0	0	0.5
ssh	t	2	6	3e-04	0	0.5
fs.1.K10	t	2	6	0	0	0.5
