Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	tin	2	6	1e-04	0	0.5
emp	tin	2	6	1e-04	0	0.5
CG2678	tin	2	6	4e-04	0	0.5
crc	tin	2	6	2e-04	0	0.5
pros	tin	2	6	1e-04	0	0.5
neur	tin	2	6	5e-04	0	0.5
Rab5	tin	2	6	5e-04	0	0.5
Rab7	tin	2	6	0.0011	0	0.5
Mmp2	tin	2	6	0	0	0.5
W	tin	2	6	3e-04	0	0.5
bowl	tin	2	6	8e-04	0	0.5
fd59A	tin	2	6	0	0	0.5
e	tin	2	6	8e-04	0	0.5
ben	tin	2	6	0.0012	0	0.5
rdo	tin	2	6	0	0	0.5
lin	tin	2	6	9e-04	0	0.5
tra	tin	2	6	6e-04	0	0.5
tra2	tin	2	6	0	0	0.5
cathD	tin	2	6	0.0013	0	0.5
d	tin	2	6	3e-04	0	0.5
lva	tin	2	6	3e-04	0	0.5
pbl	tin	2	6	4e-04	0	0.5
CG33205	tin	2	6	0.0016	0	0.5
da	tin	2	6	0.0017	0	0.5
cactin	tin	2	6	1e-04	0	0.5
hpo	tin	2	6	7e-04	0	0.5
Sema.2a	tin	2	6	0	0	0.5
Eip74EF	tin	2	6	1e-04	0	0.5
eg	tin	2	6	5e-04	0	0.5
Arc42	tin	2	6	0.001	0	0.5
toy	tin	2	6	3e-04	0	0.5
Galpha73B	tin	2	6	0	0	0.5
RhoGAPp190	tin	2	6	3e-04	0	0.5
MED11	tin	2	6	5e-04	0	0.5
cher	tin	2	6	6e-04	0	0.5
BicD	tin	2	6	0	0	0.5
MYPT.75D	tin	2	6	3e-04	0	0.5
mus304	tin	2	6	0.0012	0	0.5
CdsA	tin	2	6	5e-04	0	0.5
btl	tin	2	6	0	0	0.5
Cyt.c.d	tin	2	6	4e-04	0	0.5
tok	tin	2	6	0.0018	0	0.5
ttk	tin	2	6	4e-04	0	0.5
tamo	tin	2	6	0	0	0.5
CG6416	tin	2	6	6e-04	0	0.5
flfl	tin	2	6	8e-04	0	0.5
Pvr	tin	2	6	8e-04	0	0.5
kay	tin	2	6	1e-04	0	0.5
Jra	tin	2	6	8e-04	0	0.5
msk	tin	2	6	7e-04	0	0.5
tll	tin	2	6	4e-04	0	0.5
Tm1	tin	2	6	3e-04	0	0.5
srp	tin	2	6	6e-04	0	0.5
Btk29A	tin	2	6	2e-04	0	0.5
fred	tin	2	6	0	0	0.5
Src64B	tin	2	6	0.0015	0	0.5
Mmp1	tin	2	6	0.0012	0	0.5
sll	tin	2	6	0	0	0.5
Hmgs	tin	2	6	0.0015	0	0.5
caps	tin	2	6	3e-04	0	0.5
Su.var.2.10	tin	2	6	0	0	0.5
CycB	tin	2	6	9e-04	0	0.5
spir	tin	2	6	4e-04	0	0.5
spn.A	tin	2	6	0.003	0	0.5
Ptpmeg	tin	2	6	6e-04	0	0.5
qua	tin	2	6	1e-04	0	0.5
msn	tin	2	6	6e-04	0	0.5
ena	tin	2	6	7e-04	0	0.5
spen	tin	2	6	7e-04	0	0.5
emc	tin	2	6	0	0	0.5
tsh	tin	2	6	0	0	0.5
Dat	tin	2	6	6e-04	0	0.5
Lac	tin	2	6	0	0	0.5
dup	tin	2	6	0.001	0	0.5
CG3075	tin	2	6	0.0022	0	0.5
Akap200	tin	2	6	1e-04	0	0.5
CG18369	tin	2	6	1e-04	0	0.5
bnl	tin	2	6	0	0	0.5
sec23	tin	2	6	0.003	0	0.5
Pde8	tin	2	6	0	0	0.5
Arp66B	tin	2	6	0	0	0.5
cos	tin	2	6	4e-04	0	0.5
Borr	tin	2	6	0	0	0.5
X140up	tin	2	6	7e-04	0	0.5
Dhc64C	tin	2	6	2e-04	0	0.5
Not1	tin	2	6	0.0057	0	0.5
CG9520	tin	2	6	0.0024	0	0.5
bib	tin	2	6	0	0	0.5
mib1	tin	2	6	0	0	0.5
cas	tin	2	6	2e-04	0	0.5
Abi	tin	2	6	0	0	0.5
betaTub56D	tin	2	6	1e-04	0	0.5
nej	tin	2	6	2e-04	0	0.5
dlg1	tin	2	6	2e-04	0	0.5
Lcp65Ag1	tin	2	6	8e-04	0	0.5
Es2	tin	2	6	4e-04	0	0.5
MED24	tin	2	6	0.0014	0	0.5
Vhl	tin	2	6	7e-04	0	0.5
tral	tin	2	6	0.001	0	0.5
sns	tin	2	6	1e-04	0	0.5
mbl	tin	2	6	2e-04	0	0.5
sav	tin	2	6	5e-04	0	0.5
lola	tin	2	6	0.0079	0	0.5
robo	tin	2	6	0.0014	0	0.5
CG32486	tin	2	6	0.0013	0	0.5
santa.maria	tin	2	6	4e-04	0	0.5
stumps	tin	2	6	0.0018	0	0.5
abd.A	tin	2	6	2e-04	0	0.5
dock	tin	2	6	1e-04	0	0.5
Lar	tin	2	6	1e-04	0	0.5
l.1.G0289	tin	2	6	2e-04	0	0.5
Abl	tin	2	6	0	0	0.5
Syb	tin	2	6	0.0018	0	0.5
dome	tin	2	6	6e-04	0	0.5
ofs	tin	2	6	0	0	0.5
MED4	tin	2	6	0.0021	0	0.5
scrib	tin	2	6	0	0	0.5
siz	tin	2	6	0	0	0.5
cbx	tin	2	6	7e-04	0	0.5
dsx	tin	2	6	1e-04	0	0.5
Sb	tin	2	6	0	0	0.5
sax	tin	2	6	0	0	0.5
foxo	tin	2	6	8e-04	0	0.5
Cyp1	tin	2	6	0	0	0.5
brm	tin	2	6	0.0012	0	0.5
rad50	tin	2	6	0.0014	0	0.5
chico	tin	2	6	0	0	0.5
cp309	tin	2	6	0.0013	0	0.5
hdc	tin	2	6	3e-04	0	0.5
Axn	tin	2	6	4e-04	0	0.5
Apc2	tin	2	6	6e-04	0	0.5
PhKgamma	tin	2	6	1e-04	0	0.5
eya	tin	2	6	4e-04	0	0.5
sktl	tin	2	6	0.0011	0	0.5
sqd	tin	2	6	0.0013	0	0.5
Akt1	tin	2	6	9e-04	0	0.5
scyl	tin	2	6	7e-04	0	0.5
cnk	tin	2	6	7e-04	0	0.5
CG8149	tin	2	6	3e-04	0	0.5
CG34379	tin	2	6	0.0012	0	0.5
Yp1	tin	2	6	4e-04	0	0.5
yrt	tin	2	6	5e-04	0	0.5
bap	tin	2	6	4e-04	0	0.5
tud	tin	2	6	0	0	0.5
ct	tin	2	6	3e-04	0	0.5
tup	tin	2	6	3e-04	0	0.5
G.ialpha65A	tin	2	6	4e-04	0	0.5
knrl	tin	2	6	5e-04	0	0.5
Pkn	tin	2	6	2e-04	0	0.5
Sry.delta	tin	2	6	6e-04	0	0.5
Alh	tin	2	6	7e-04	0	0.5
pnut	tin	2	6	4e-04	0	0.5
phyl	tin	2	6	1e-04	0	0.5
CG17739	tin	2	6	2e-04	0	0.5
B4	tin	2	6	3e-04	0	0.5
CG2681	tin	2	6	1e-04	0	0.5
tow	tin	2	6	1e-04	0	0.5
hkl	tin	2	6	0	0	0.5
sina	tin	2	6	0.0014	0	0.5
ry	tin	2	6	4e-04	0	0.5
rux	tin	2	6	1e-04	0	0.5
boss	tin	2	6	0.001	0	0.5
Mkp3	tin	2	6	2e-04	0	0.5
inaC	tin	2	6	7e-04	0	0.5
sno	tin	2	6	4e-04	0	0.5
jagn	tin	2	6	0	0	0.5
dpn	tin	2	6	0	0	0.5
wrapper	tin	2	6	5e-04	0	0.5
Ca.alpha1D	tin	2	6	3e-04	0	0.5
E2f	tin	2	6	0	0	0.5
Dp	tin	2	6	4e-04	0	0.5
l.2.efl	tin	2	6	0	0	0.5
cnc	tin	2	6	8e-04	0	0.5
Atg5	tin	2	6	0	0	0.5
acj6	tin	2	6	0	0	0.5
Trl	tin	2	6	0	0	0.5
d4	tin	2	6	7e-04	0	0.5
CG16719	tin	2	6	1e-04	0	0.5
CadN	tin	2	6	3e-04	0	0.5
gro	tin	2	6	0.0018	0	0.5
sec13	tin	2	6	9e-04	0	0.5
klar	tin	2	6	7e-04	0	0.5
Rack1	tin	2	6	2e-04	0	0.5
Sobp	tin	2	6	0.0012	0	0.5
ash1	tin	2	6	4e-04	0	0.5
inv	tin	2	6	0.0018	0	0.5
shot	tin	2	6	2e-04	0	0.5
Oseg1	tin	2	6	4e-04	0	0.5
Spred	tin	2	6	3e-04	0	0.5
puc	tin	2	6	5e-04	0	0.5
Atg6	tin	2	6	8e-04	0	0.5
CG3829	tin	2	6	0.0011	0	0.5
sle	tin	2	6	3e-04	0	0.5
Cka	tin	2	6	5e-04	0	0.5
form3	tin	2	6	3e-04	0	0.5
Pk61C	tin	2	6	3e-04	0	0.5
Pcaf	tin	2	6	5e-04	0	0.5
sbb	tin	2	6	0.0026	0	0.5
Ef1gamma	tin	2	6	0.0016	0	0.5
FKBP59	tin	2	6	2e-04	0	0.5
Eip71CD	tin	2	6	0	0	0.5
xmas.2	tin	2	6	0.0016	0	0.5
ppan	tin	2	6	6e-04	0	0.5
Iswi	tin	2	6	0.0018	0	0.5
ine	tin	2	6	0.0046	0	0.5
Tina.1	tin	2	6	6e-04	0	0.5
bon	tin	2	6	0.0018	0	0.5
pot	tin	2	6	4e-04	0	0.5
chic	tin	2	6	1e-04	0	0.5
Hem	tin	2	6	1e-04	0	0.5
chif	tin	2	6	4e-04	0	0.5
S6kII	tin	2	6	0	0	0.5
wal	tin	2	6	7e-04	0	0.5
wls	tin	2	6	5e-04	0	0.5
Ddx1	tin	2	6	0.0021	0	0.5
Sulf1	tin	2	6	1e-04	0	0.5
CG3987	tin	2	6	2e-04	0	0.5
Abd.B	tin	2	6	2e-04	0	0.5
Uba1	tin	2	6	3e-04	0	0.5
bigmax	tin	2	6	1e-04	0	0.5
NAT1	tin	2	6	1e-04	0	0.5
wupA	tin	2	6	0.0011	0	0.5
Vps28	tin	2	6	0	0	0.5
G.oalpha47A	tin	2	6	0	0	0.5
G.salpha60A	tin	2	6	1e-04	0	0.5
dsf	tin	2	6	3e-04	0	0.5
Khc	tin	2	6	6e-04	0	0.5
CG10641	tin	2	6	0.0015	0	0.5
Alk	tin	2	6	3e-04	0	0.5
ey	tin	2	6	0	0	0.5
noc	tin	2	6	0	0	0.5
ix	tin	2	6	2e-04	0	0.5
Optix	tin	2	6	4e-04	0	0.5
sdt	tin	2	6	0	0	0.5
Sxl	tin	2	6	3e-04	0	0.5
rib	tin	2	6	3e-04	0	0.5
sas	tin	2	6	2e-04	0	0.5
Scgdelta	tin	2	6	0	0	0.5
sw	tin	2	6	0	0	0.5
fal	tin	2	6	0	0	0.5
ea	tin	2	6	1e-04	0	0.5
Ice	tin	2	6	1e-04	0	0.5
cic	tin	2	6	0.001	0	0.5
Dok	tin	2	6	1e-04	0	0.5
rhea	tin	2	6	6e-04	0	0.5
Glycogenin	tin	2	6	8e-04	0	0.5
cin	tin	2	6	7e-04	0	0.5
chp	tin	2	6	1e-04	0	0.5
Dlic2	tin	2	6	9e-04	0	0.5
Pk92B	tin	2	6	4e-04	0	0.5
Pak	tin	2	6	3e-04	0	0.5
Lim1	tin	2	6	0	0	0.5
CG34450	tin	2	6	0	0	0.5
Su.H.	tin	2	6	0	0	0.5
CG12301	tin	2	6	4e-04	0	0.5
lilli	tin	2	6	0.0014	0	0.5
toe	tin	2	6	0.0029	0	0.5
qkr58E.3	tin	2	6	5e-04	0	0.5
up	tin	2	6	0.0061	0	0.5
hep	tin	2	6	0	0	0.5
Dap160	tin	2	6	0	0	0.5
l.2.gd1	tin	2	6	0	0	0.5
hkb	tin	2	6	4e-04	0	0.5
beta4GalNAcTA	tin	2	6	0	0	0.5
Mer	tin	2	6	0.0087	0	0.5
Mtl	tin	2	6	8e-04	0	0.5
spin	tin	2	6	0.001	0	0.5
mfas	tin	2	6	0	0	0.5
frc	tin	2	6	0.0012	0	0.5
Krn	tin	2	6	0	0	0.5
mam	tin	2	6	2e-04	0	0.5
brk	tin	2	6	3e-04	0	0.5
Ark	tin	2	6	6e-04	0	0.5
mmy	tin	2	6	0.0035	0	0.5
mri	tin	2	6	0.0053	0	0.5
Crk	tin	2	6	1e-04	0	0.5
ssh	tin	2	6	3e-04	0	0.5
fs.1.K10	tin	2	6	0	0	0.5
Psn	tin	2	6	0	0	0.5
CG9509	tin	2	6	4e-04	0	0.5
CkIIalpha	tin	2	6	1e-04	0	0.5
car	tin	2	6	8e-04	0	0.5
capu	tin	2	6	8e-04	0	0.5
cact	tin	2	6	0.0013	0	0.5
Patj	tin	2	6	1e-04	0	0.5
dpp	tin	2	6	0	0	0.5
xl6	tin	2	6	3e-04	0	0.5
dally	tin	2	6	4e-04	0	0.5
Pi3K92E	tin	2	6	0	0	0.5
E.bx.	tin	2	6	6e-04	0	0.5
emb	tin	2	6	1e-04	0	0.5
CtBP	tin	2	6	8e-04	0	0.5
Dad	tin	2	6	0	0	0.5
amx	tin	2	6	0	0	0.5
Ank2	tin	2	6	2e-04	0	0.5
CG34417	tin	2	6	0.0015	0	0.5
scra	tin	2	6	1e-04	0	0.5
dsd	tin	2	6	4e-04	0	0.5
Ephrin	tin	2	6	4e-04	0	0.5
Appl	tin	2	6	3e-04	0	0.5
sty	tin	2	6	3e-04	0	0.5
RhoL	tin	2	6	2e-04	0	0.5
twi	tin	2	6	1e-04	0	0.5
tub	tin	2	6	0	0	0.5
ftz.f1	tin	2	6	0	0	0.5
wg	tin	2	6	3e-04	0	0.5
LanB1	tin	2	6	1e-04	0	0.5
LanA	tin	2	6	2e-04	0	0.5
LanB2	tin	2	6	0	0	0.5
Chi	tin	2	6	4e-04	0	0.5
nmo	tin	2	6	0	0	0.5
ics	tin	2	6	2e-04	0	0.5
oaf	tin	2	6	2e-04	0	0.5
dco	tin	2	6	2e-04	0	0.5
Dys	tin	2	6	0.008	0	0.5
drm	tin	2	6	2e-04	0	0.5
RpL30	tin	2	6	0.0013	0	0.5
how	tin	2	6	0.0036	0	0.5
dei	tin	2	6	0.0142	0	0.5
CG1244	tin	2	6	0.0012	0	0.5
Chc	tin	2	6	5e-04	0	0.5
Orct	tin	2	6	0.0059	0	0.5
sgl	tin	2	6	1e-04	0	0.5
CG17221	tin	2	6	0.0012	0	0.5
gkt	tin	2	6	9e-04	0	0.5
by	tin	2	6	0.0017	0	0.5
Pka.C3	tin	2	6	7e-04	0	0.5
vlc	tin	2	6	9e-04	0	0.5
fl.2.d	tin	2	6	4e-04	0	0.5
Nf1	tin	2	6	0.0015	0	0.5
CG6372	tin	2	6	0	0	0.5
Rho1	tin	2	6	0.0046	0	0.5
kuk	tin	2	6	0.0016	0	0.5
l.2.gl	tin	2	6	7e-04	0	0.5
Ald	tin	2	6	7e-04	0	0.5
jumu	tin	2	6	0.0105	0	0.5
glu	tin	2	6	0.0011	0	0.5
fs.2.ltoPP43	tin	2	6	1e-04	0	0.5
CycE	tin	2	6	1e-04	0	0.5
CG8247	tin	2	6	1e-04	0	0.5
CSN4	tin	2	6	0	0	0.5
X18w	tin	2	6	5e-04	0	0.5
bs	tin	2	6	7e-04	0	0.5
Nrt	tin	2	6	5e-04	0	0.5
mask	tin	2	6	0.0022	0	0.5
gl	tin	2	6	0	0	0.5
Cp1	tin	2	6	4e-04	0	0.5
ex	tin	2	6	6e-04	0	0.5
jing	tin	2	6	3e-04	0	0.5
shrb	tin	2	6	0	0	0.5
raw	tin	2	6	0	0	0.5
CG9445	tin	2	6	0	0	0.5
gbb	tin	2	6	5e-04	0	0.5
Hs2st	tin	2	6	4e-04	0	0.5
sls	tin	2	6	3e-04	0	0.5
kis	tin	2	6	3e-04	0	0.5
run	tin	2	6	0.0022	0	0.5
pnr	tin	2	6	3e-04	0	0.5
pn	tin	2	6	1e-04	0	0.5
pnt	tin	2	6	2e-04	0	0.5
Fmr1	tin	2	6	3e-04	0	0.5
Myo31DF	tin	2	6	0	0	0.5
ALiX	tin	2	6	0	0	0.5
sgg	tin	2	6	0	0	0.5
mbt	tin	2	6	0.0043	0	0.5
Sin3A	tin	2	6	0	0	0.5
dnc	tin	2	6	0	0	0.5
morgue	tin	2	6	9e-04	0	0.5
Set2	tin	2	6	9e-04	0	0.5
exu	tin	2	6	1e-04	0	0.5
odd	tin	2	6	2e-04	0	0.5
esc	tin	2	6	0	0	0.5
dah	tin	2	6	0.003	0	0.5
Taf4	tin	2	6	1e-04	0	0.5
Jafrac2	tin	2	6	7e-04	0	0.5
Fas3	tin	2	6	3e-04	0	0.5
wus	tin	2	6	4e-04	0	0.5
Wnt5	tin	2	6	3e-04	0	0.5
sprt	tin	2	6	0	0	0.5
jar	tin	2	6	2e-04	0	0.5
v	tin	2	6	2e-04	0	0.5
Snap	tin	2	6	4e-04	0	0.5
vap	tin	2	6	2e-04	0	0.5
Src42A	tin	2	6	1e-04	0	0.5
esg	tin	2	6	3e-04	0	0.5
zfh1	tin	2	6	3e-04	0	0.5
alien	tin	2	6	7e-04	0	0.5
peb	tin	2	6	5e-04	0	0.5
par.1	tin	2	6	0	0	0.5
hyd	tin	2	6	4e-04	0	0.5
trc	tin	2	6	7e-04	0	0.5
Eip63E	tin	2	6	3e-04	0	0.5
ird5	tin	2	6	0.0027	0	0.5
bl	tin	2	6	0.0015	0	0.5
Syx1A	tin	2	6	0.0011	0	0.5
drl	tin	2	6	5e-04	0	0.5
rg	tin	2	6	3e-04	0	0.5
apt	tin	2	6	8e-04	0	0.5
svr	tin	2	6	0.0046	0	0.5
sar1	tin	2	6	0.0012	0	0.5
Tab2	tin	2	6	0.0012	0	0.5
zfh2	tin	2	6	0.0013	0	0.5
dj	tin	2	6	4e-04	0	0.5
tum	tin	2	6	0.0014	0	0.5
yellow.f	tin	2	6	1e-04	0	0.5
p53	tin	2	6	8e-04	0	0.5
ImpE3	tin	2	6	7e-04	0	0.5
cbt	tin	2	6	0.0011	0	0.5
dl	tin	2	6	1e-04	0	0.5
Dl	tin	2	6	0	0	0.5
Sur	tin	2	6	0	0	0.5
Rpd3	tin	2	6	0.0011	0	0.5
CG4945	tin	2	6	0.0045	0	0.5
eve	tin	2	6	4e-04	0	0.5
Stat92E	tin	2	6	6e-04	0	0.5
ken	tin	2	6	0.0018	0	0.5
dpld	tin	2	6	0.0012	0	0.5
CG1942	tin	2	6	0	0	0.5
Dcp.1	tin	2	6	7e-04	0	0.5
Tak1	tin	2	6	3e-04	0	0.5
cg	tin	2	6	1e-04	0	0.5
fw	tin	2	6	3e-04	0	0.5
tutl	tin	2	6	0	0	0.5
bhr	tin	2	6	0.001	0	0.5
ash2	tin	2	6	0.0073	0	0.5
mth	tin	2	6	6e-04	0	0.5
numb	tin	2	6	8e-04	0	0.5
X14.3.3zeta	tin	2	6	3e-04	0	0.5
Lis.1	tin	2	6	0	0	0.5
alpha.Spec	tin	2	6	2e-04	0	0.5
twf	tin	2	6	0	0	0.5
Bap60	tin	2	6	1e-04	0	0.5
drk	tin	2	6	0	0	0.5
Nrx.IV	tin	2	6	8e-04	0	0.5
trn	tin	2	6	2e-04	0	0.5
chn	tin	2	6	7e-04	0	0.5
RhoGAP68F	tin	2	6	0	0	0.5
CycA	tin	2	6	0.001	0	0.5
LIMK1	tin	2	6	3e-04	0	0.5
Rca1	tin	2	6	0.0014	0	0.5
pelo	tin	2	6	3e-04	0	0.5
CG32082	tin	2	6	0.0018	0	0.5
pyd	tin	2	6	0.001	0	0.5
Mlc1	tin	2	6	0.0221	0	0.5
meso18E	tin	2	6	2e-04	0	0.5
rdx	tin	2	6	0	0	0.5
t	tin	2	6	1e-04	0	0.5
alph	tin	2	6	3e-04	0	0.5
elav	tin	2	6	0	0	0.5
shg	tin	2	6	5e-04	0	0.5
shn	tin	2	6	5e-04	0	0.5
th	tin	2	6	3e-04	0	0.5
lmd	tin	2	6	1e-04	0	0.5
enok	tin	2	6	0	0	0.5
loco	tin	2	6	7e-04	0	0.5
disco	tin	2	6	2e-04	0	0.5
Gtp.bp	tin	2	6	7e-04	0	0.5
crol	tin	2	6	5e-04	0	0.5
Sema.1b	tin	2	6	5e-04	0	0.5
dom	tin	2	6	0.0014	0	0.5
Aph.4	tin	2	6	1e-04	0	0.5
Hr78	tin	2	6	2e-04	0	0.5
kuz	tin	2	6	9e-04	0	0.5
mbo	tin	2	6	3e-04	0	0.5
par.6	tin	2	6	0	0	0.5
ast	tin	2	6	0	0	0.5
CG9769	tin	2	6	8e-04	0	0.5
Rbp9	tin	2	6	4e-04	0	0.5
hyx	tin	2	6	1e-04	0	0.5
sced	tin	2	6	0.0119	0	0.5
ninaE	tin	2	6	1e-04	0	0.5
Dscam	tin	2	6	9e-04	0	0.5
Eip63F.1	tin	2	6	0.0014	0	0.5
lic	tin	2	6	3e-04	0	0.5
Idgf5	tin	2	6	0	0	0.5
Idgf4	tin	2	6	0.0016	0	0.5
Mbs	tin	2	6	0.0013	0	0.5
opa	tin	2	6	0	0	0.5
lwr	tin	2	6	3e-04	0	0.5
wee	tin	2	6	4e-04	0	0.5
Cks30A	tin	2	6	0	0	0.5
fax	tin	2	6	1e-04	0	0.5
