Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	tkv	2	6	0	0	0.5
emp	tkv	2	6	0	0	0.5
CG2678	tkv	2	6	0	0	0.5
crc	tkv	2	6	0	0	0.5
pros	tkv	2	6	0	0	0.5
neur	tkv	2	6	1e-04	0	0.5
Rab5	tkv	2	6	1e-04	0	0.5
Rab7	tkv	2	6	0	0	0.5
Mmp2	tkv	2	6	1e-04	0	0.5
W	tkv	2	6	2e-04	0	0.5
bowl	tkv	2	6	0	0	0.5
fd59A	tkv	2	6	0	0	0.5
e	tkv	2	6	1e-04	0	0.5
ben	tkv	2	6	0	0	0.5
rdo	tkv	2	6	0	0	0.5
lin	tkv	2	6	0	0	0.5
tra	tkv	2	6	0	0	0.5
tra2	tkv	2	6	2e-04	0	0.5
cathD	tkv	2	6	0	0	0.5
d	tkv	2	6	1e-04	0	0.5
lva	tkv	2	6	0	0	0.5
pbl	tkv	2	6	0	0	0.5
CG33205	tkv	2	6	2e-04	0	0.5
da	tkv	2	6	0	0	0.5
cactin	tkv	2	6	0	0	0.5
hpo	tkv	2	6	0	0	0.5
Sema.2a	tkv	2	6	0	0	0.5
Eip74EF	tkv	2	6	0	0	0.5
eg	tkv	2	6	0	0	0.5
Arc42	tkv	2	6	0	0	0.5
toy	tkv	2	6	0	0	0.5
Galpha73B	tkv	2	6	0	0	0.5
RhoGAPp190	tkv	2	6	0	0	0.5
MED11	tkv	2	6	1e-04	0	0.5
cher	tkv	2	6	1e-04	0	0.5
BicD	tkv	2	6	0	0	0.5
MYPT.75D	tkv	2	6	0	0	0.5
mus304	tkv	2	6	0	0	0.5
CdsA	tkv	2	6	0	0	0.5
btl	tkv	2	6	2e-04	0	0.5
Cyt.c.d	tkv	2	6	0	0	0.5
tok	tkv	2	6	1e-04	0	0.5
ttk	tkv	2	6	0	0	0.5
tamo	tkv	2	6	0	0	0.5
CG6416	tkv	2	6	0	0	0.5
flfl	tkv	2	6	0	0	0.5
Pvr	tkv	2	6	0	0	0.5
kay	tkv	2	6	0	0	0.5
Jra	tkv	2	6	0	0	0.5
msk	tkv	2	6	2e-04	0	0.5
tll	tkv	2	6	0	0	0.5
Tm1	tkv	2	6	3e-04	0	0.5
srp	tkv	2	6	0	0	0.5
Btk29A	tkv	2	6	0	0	0.5
fred	tkv	2	6	0	0	0.5
Src64B	tkv	2	6	3e-04	0	0.5
Mmp1	tkv	2	6	0	0	0.5
sll	tkv	2	6	1e-04	0	0.5
Hmgs	tkv	2	6	0	0	0.5
caps	tkv	2	6	0	0	0.5
Su.var.2.10	tkv	2	6	0	0	0.5
CycB	tkv	2	6	1e-04	0	0.5
spir	tkv	2	6	0	0	0.5
spn.A	tkv	2	6	0	0	0.5
Ptpmeg	tkv	2	6	0	0	0.5
qua	tkv	2	6	2e-04	0	0.5
msn	tkv	2	6	0	0	0.5
ena	tkv	2	6	0	0	0.5
spen	tkv	2	6	1e-04	0	0.5
emc	tkv	2	6	0	0	0.5
tsh	tkv	2	6	4e-04	0	0.5
Dat	tkv	2	6	0	0	0.5
Lac	tkv	2	6	0	0	0.5
dup	tkv	2	6	0	0	0.5
CG3075	tkv	2	6	1e-04	0	0.5
Akap200	tkv	2	6	1e-04	0	0.5
CG18369	tkv	2	6	1e-04	0	0.5
bnl	tkv	2	6	0	0	0.5
sec23	tkv	2	6	2e-04	0	0.5
Pde8	tkv	2	6	0	0	0.5
Arp66B	tkv	2	6	0	0	0.5
cos	tkv	2	6	1e-04	0	0.5
Borr	tkv	2	6	0	0	0.5
X140up	tkv	2	6	0	0	0.5
Dhc64C	tkv	2	6	0	0	0.5
Not1	tkv	2	6	0	0	0.5
CG9520	tkv	2	6	0	0	0.5
bib	tkv	2	6	0	0	0.5
mib1	tkv	2	6	0	0	0.5
cas	tkv	2	6	0	0	0.5
Abi	tkv	2	6	0	0	0.5
betaTub56D	tkv	2	6	0	0	0.5
nej	tkv	2	6	0	0	0.5
dlg1	tkv	2	6	0	0	0.5
Lcp65Ag1	tkv	2	6	0	0	0.5
Es2	tkv	2	6	0	0	0.5
MED24	tkv	2	6	0	0	0.5
Vhl	tkv	2	6	1e-04	0	0.5
tral	tkv	2	6	0	0	0.5
sns	tkv	2	6	0	0	0.5
mbl	tkv	2	6	0	0	0.5
sav	tkv	2	6	0	0	0.5
lola	tkv	2	6	0	0	0.5
robo	tkv	2	6	0	0	0.5
CG32486	tkv	2	6	0	0	0.5
santa.maria	tkv	2	6	0	0	0.5
stumps	tkv	2	6	1e-04	0	0.5
abd.A	tkv	2	6	3e-04	0	0.5
dock	tkv	2	6	1e-04	0	0.5
Lar	tkv	2	6	1e-04	0	0.5
l.1.G0289	tkv	2	6	0	0	0.5
Abl	tkv	2	6	2e-04	0	0.5
Syb	tkv	2	6	0	0	0.5
dome	tkv	2	6	0	0	0.5
ofs	tkv	2	6	1e-04	0	0.5
MED4	tkv	2	6	0	0	0.5
scrib	tkv	2	6	0	0	0.5
siz	tkv	2	6	0	0	0.5
cbx	tkv	2	6	3e-04	0	0.5
dsx	tkv	2	6	0	0	0.5
Sb	tkv	2	6	6e-04	0	0.5
sax	tkv	2	6	2e-04	0	0.5
foxo	tkv	2	6	3e-04	0	0.5
Cyp1	tkv	2	6	0	0	0.5
brm	tkv	2	6	0	0	0.5
rad50	tkv	2	6	0	0	0.5
chico	tkv	2	6	0	0	0.5
cp309	tkv	2	6	0	0	0.5
hdc	tkv	2	6	3e-04	0	0.5
Axn	tkv	2	6	0	0	0.5
Apc2	tkv	2	6	5e-04	0	0.5
PhKgamma	tkv	2	6	0	0	0.5
eya	tkv	2	6	0	0	0.5
sktl	tkv	2	6	0	0	0.5
sqd	tkv	2	6	0	0	0.5
Akt1	tkv	2	6	0	0	0.5
scyl	tkv	2	6	0	0	0.5
cnk	tkv	2	6	2e-04	0	0.5
CG8149	tkv	2	6	0	0	0.5
CG34379	tkv	2	6	0	0	0.5
Yp1	tkv	2	6	1e-04	0	0.5
yrt	tkv	2	6	0	0	0.5
bap	tkv	2	6	0	0	0.5
tud	tkv	2	6	0	0	0.5
ct	tkv	2	6	0	0	0.5
tup	tkv	2	6	4e-04	0	0.5
G.ialpha65A	tkv	2	6	0	0	0.5
knrl	tkv	2	6	0	0	0.5
Pkn	tkv	2	6	9e-04	0	0.5
Sry.delta	tkv	2	6	0	0	0.5
Alh	tkv	2	6	0	0	0.5
pnut	tkv	2	6	0	0	0.5
phyl	tkv	2	6	1e-04	0	0.5
CG17739	tkv	2	6	0	0	0.5
B4	tkv	2	6	0	0	0.5
CG2681	tkv	2	6	0	0	0.5
tow	tkv	2	6	0	0	0.5
hkl	tkv	2	6	0	0	0.5
sina	tkv	2	6	1e-04	0	0.5
ry	tkv	2	6	0	0	0.5
rux	tkv	2	6	0	0	0.5
boss	tkv	2	6	0	0	0.5
Mkp3	tkv	2	6	0	0	0.5
inaC	tkv	2	6	0	0	0.5
sno	tkv	2	6	0	0	0.5
jagn	tkv	2	6	0	0	0.5
dpn	tkv	2	6	2e-04	0	0.5
wrapper	tkv	2	6	0	0	0.5
Ca.alpha1D	tkv	2	6	0	0	0.5
E2f	tkv	2	6	0	0	0.5
Dp	tkv	2	6	0	0	0.5
l.2.efl	tkv	2	6	0	0	0.5
cnc	tkv	2	6	0	0	0.5
Atg5	tkv	2	6	0	0	0.5
acj6	tkv	2	6	0	0	0.5
Trl	tkv	2	6	0	0	0.5
d4	tkv	2	6	0	0	0.5
CG16719	tkv	2	6	0	0	0.5
CadN	tkv	2	6	0	0	0.5
gro	tkv	2	6	0	0	0.5
sec13	tkv	2	6	0	0	0.5
klar	tkv	2	6	0	0	0.5
Rack1	tkv	2	6	0	0	0.5
Sobp	tkv	2	6	0	0	0.5
ash1	tkv	2	6	1e-04	0	0.5
inv	tkv	2	6	0	0	0.5
shot	tkv	2	6	0	0	0.5
Oseg1	tkv	2	6	0	0	0.5
Spred	tkv	2	6	0	0	0.5
puc	tkv	2	6	0	0	0.5
Atg6	tkv	2	6	0	0	0.5
CG3829	tkv	2	6	0	0	0.5
sle	tkv	2	6	0	0	0.5
Cka	tkv	2	6	2e-04	0	0.5
form3	tkv	2	6	2e-04	0	0.5
Pk61C	tkv	2	6	6e-04	0	0.5
Pcaf	tkv	2	6	0	0	0.5
sbb	tkv	2	6	0	0	0.5
Ef1gamma	tkv	2	6	0	0	0.5
FKBP59	tkv	2	6	6e-04	0	0.5
Eip71CD	tkv	2	6	5e-04	0	0.5
xmas.2	tkv	2	6	0	0	0.5
ppan	tkv	2	6	3e-04	0	0.5
Iswi	tkv	2	6	0	0	0.5
ine	tkv	2	6	0	0	0.5
Tina.1	tkv	2	6	1e-04	0	0.5
bon	tkv	2	6	0	0	0.5
pot	tkv	2	6	0	0	0.5
chic	tkv	2	6	1e-04	0	0.5
Hem	tkv	2	6	1e-04	0	0.5
chif	tkv	2	6	0	0	0.5
S6kII	tkv	2	6	1e-04	0	0.5
wal	tkv	2	6	1e-04	0	0.5
wls	tkv	2	6	0	0	0.5
Ddx1	tkv	2	6	0	0	0.5
Sulf1	tkv	2	6	0	0	0.5
CG3987	tkv	2	6	0	0	0.5
Abd.B	tkv	2	6	1e-04	0	0.5
Uba1	tkv	2	6	0	0	0.5
bigmax	tkv	2	6	0	0	0.5
NAT1	tkv	2	6	0	0	0.5
wupA	tkv	2	6	0	0	0.5
Vps28	tkv	2	6	0	0	0.5
G.oalpha47A	tkv	2	6	1e-04	0	0.5
G.salpha60A	tkv	2	6	3e-04	0	0.5
dsf	tkv	2	6	0	0	0.5
Khc	tkv	2	6	0	0	0.5
CG10641	tkv	2	6	2e-04	0	0.5
Alk	tkv	2	6	0	0	0.5
ey	tkv	2	6	2e-04	0	0.5
noc	tkv	2	6	0	0	0.5
ix	tkv	2	6	0	0	0.5
Optix	tkv	2	6	0	0	0.5
sdt	tkv	2	6	0	0	0.5
Sxl	tkv	2	6	0	0	0.5
rib	tkv	2	6	0.0011	0	0.5
sas	tkv	2	6	0	0	0.5
Scgdelta	tkv	2	6	2e-04	0	0.5
sw	tkv	2	6	0	0	0.5
fal	tkv	2	6	0	0	0.5
ea	tkv	2	6	3e-04	0	0.5
Ice	tkv	2	6	0	0	0.5
cic	tkv	2	6	0	0	0.5
Dok	tkv	2	6	0	0	0.5
rhea	tkv	2	6	0	0	0.5
Glycogenin	tkv	2	6	0	0	0.5
cin	tkv	2	6	0	0	0.5
chp	tkv	2	6	0	0	0.5
Dlic2	tkv	2	6	0	0	0.5
Pk92B	tkv	2	6	0	0	0.5
Pak	tkv	2	6	1e-04	0	0.5
Lim1	tkv	2	6	0	0	0.5
CG34450	tkv	2	6	1e-04	0	0.5
Su.H.	tkv	2	6	0	0	0.5
CG12301	tkv	2	6	0	0	0.5
lilli	tkv	2	6	0	0	0.5
toe	tkv	2	6	0	0	0.5
qkr58E.3	tkv	2	6	0	0	0.5
up	tkv	2	6	0	0	0.5
hep	tkv	2	6	0	0	0.5
Dap160	tkv	2	6	0	0	0.5
l.2.gd1	tkv	2	6	0	0	0.5
hkb	tkv	2	6	5e-04	0	0.5
beta4GalNAcTA	tkv	2	6	2e-04	0	0.5
Mer	tkv	2	6	1e-04	0	0.5
Mtl	tkv	2	6	0	0	0.5
spin	tkv	2	6	1e-04	0	0.5
mfas	tkv	2	6	0	0	0.5
frc	tkv	2	6	1e-04	0	0.5
Krn	tkv	2	6	0	0	0.5
mam	tkv	2	6	0	0	0.5
brk	tkv	2	6	0	0	0.5
Ark	tkv	2	6	0	0	0.5
mmy	tkv	2	6	0	0	0.5
mri	tkv	2	6	2e-04	0	0.5
Crk	tkv	2	6	0	0	0.5
ssh	tkv	2	6	0	0	0.5
fs.1.K10	tkv	2	6	0	0	0.5
Psn	tkv	2	6	0	0	0.5
