Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	toe	2	6	0	0	0.5
emp	toe	2	6	6e-04	0	0.5
CG2678	toe	2	6	0	0	0.5
crc	toe	2	6	0	0	0.5
pros	toe	2	6	0	0	0.5
neur	toe	2	6	2e-04	0	0.5
Rab5	toe	2	6	4e-04	0	0.5
Rab7	toe	2	6	1e-04	0	0.5
Mmp2	toe	2	6	0	0	0.5
W	toe	2	6	1e-04	0	0.5
bowl	toe	2	6	2e-04	0	0.5
fd59A	toe	2	6	0	0	0.5
e	toe	2	6	5e-04	0	0.5
ben	toe	2	6	1e-04	0	0.5
rdo	toe	2	6	0	0	0.5
lin	toe	2	6	0	0	0.5
tra	toe	2	6	0	0	0.5
tra2	toe	2	6	0	0	0.5
cathD	toe	2	6	0	0	0.5
d	toe	2	6	9e-04	0	0.5
lva	toe	2	6	8e-04	0	0.5
pbl	toe	2	6	0	0	0.5
CG33205	toe	2	6	1e-04	0	0.5
da	toe	2	6	0	0	0.5
cactin	toe	2	6	1e-04	0	0.5
hpo	toe	2	6	0	0	0.5
Sema.2a	toe	2	6	1e-04	0	0.5
Eip74EF	toe	2	6	1e-04	0	0.5
eg	toe	2	6	0	0	0.5
Arc42	toe	2	6	0	0	0.5
toy	toe	2	6	0	0	0.5
Galpha73B	toe	2	6	0	0	0.5
RhoGAPp190	toe	2	6	0	0	0.5
MED11	toe	2	6	3e-04	0	0.5
cher	toe	2	6	0	0	0.5
BicD	toe	2	6	0	0	0.5
MYPT.75D	toe	2	6	1e-04	0	0.5
mus304	toe	2	6	0	0	0.5
CdsA	toe	2	6	6e-04	0	0.5
btl	toe	2	6	0	0	0.5
Cyt.c.d	toe	2	6	0	0	0.5
tok	toe	2	6	4e-04	0	0.5
ttk	toe	2	6	0	0	0.5
tamo	toe	2	6	0	0	0.5
CG6416	toe	2	6	3e-04	0	0.5
flfl	toe	2	6	3e-04	0	0.5
Pvr	toe	2	6	0	0	0.5
kay	toe	2	6	7e-04	0	0.5
Jra	toe	2	6	3e-04	0	0.5
msk	toe	2	6	0	0	0.5
tll	toe	2	6	0	0	0.5
Tm1	toe	2	6	4e-04	0	0.5
srp	toe	2	6	0	0	0.5
Btk29A	toe	2	6	1e-04	0	0.5
fred	toe	2	6	0	0	0.5
Src64B	toe	2	6	0	0	0.5
Mmp1	toe	2	6	0	0	0.5
sll	toe	2	6	0	0	0.5
Hmgs	toe	2	6	2e-04	0	0.5
caps	toe	2	6	7e-04	0	0.5
Su.var.2.10	toe	2	6	0	0	0.5
CycB	toe	2	6	0	0	0.5
spir	toe	2	6	0	0	0.5
spn.A	toe	2	6	1e-04	0	0.5
Ptpmeg	toe	2	6	0	0	0.5
qua	toe	2	6	0	0	0.5
msn	toe	2	6	4e-04	0	0.5
ena	toe	2	6	0.0012	0	0.5
spen	toe	2	6	4e-04	0	0.5
emc	toe	2	6	0.0013	0	0.5
tsh	toe	2	6	0	0	0.5
Dat	toe	2	6	0	0	0.5
Lac	toe	2	6	0	0	0.5
dup	toe	2	6	1e-04	0	0.5
CG3075	toe	2	6	0	0	0.5
Akap200	toe	2	6	0	0	0.5
CG18369	toe	2	6	0	0	0.5
bnl	toe	2	6	0	0	0.5
sec23	toe	2	6	1e-04	0	0.5
Pde8	toe	2	6	1e-04	0	0.5
Arp66B	toe	2	6	4e-04	0	0.5
cos	toe	2	6	0	0	0.5
Borr	toe	2	6	0	0	0.5
X140up	toe	2	6	0	0	0.5
Dhc64C	toe	2	6	2e-04	0	0.5
Not1	toe	2	6	0	0	0.5
CG9520	toe	2	6	0	0	0.5
bib	toe	2	6	0	0	0.5
mib1	toe	2	6	5e-04	0	0.5
cas	toe	2	6	0	0	0.5
Abi	toe	2	6	0	0	0.5
betaTub56D	toe	2	6	0	0	0.5
nej	toe	2	6	0	0	0.5
dlg1	toe	2	6	2e-04	0	0.5
Lcp65Ag1	toe	2	6	6e-04	0	0.5
Es2	toe	2	6	0	0	0.5
MED24	toe	2	6	0	0	0.5
Vhl	toe	2	6	0	0	0.5
tral	toe	2	6	1e-04	0	0.5
sns	toe	2	6	5e-04	0	0.5
mbl	toe	2	6	0.044	0	0.5
sav	toe	2	6	0	0	0.5
lola	toe	2	6	0	0	0.5
robo	toe	2	6	1e-04	0	0.5
CG32486	toe	2	6	0	0	0.5
santa.maria	toe	2	6	4e-04	0	0.5
stumps	toe	2	6	6e-04	0	0.5
abd.A	toe	2	6	0	0	0.5
dock	toe	2	6	0	0	0.5
Lar	toe	2	6	0	0	0.5
l.1.G0289	toe	2	6	0	0	0.5
Abl	toe	2	6	0	0	0.5
Syb	toe	2	6	6e-04	0	0.5
dome	toe	2	6	1e-04	0	0.5
ofs	toe	2	6	0	0	0.5
MED4	toe	2	6	0	0	0.5
scrib	toe	2	6	0	0	0.5
siz	toe	2	6	0	0	0.5
cbx	toe	2	6	0	0	0.5
dsx	toe	2	6	1e-04	0	0.5
Sb	toe	2	6	0	0	0.5
sax	toe	2	6	0	0	0.5
foxo	toe	2	6	0	0	0.5
Cyp1	toe	2	6	0	0	0.5
brm	toe	2	6	0	0	0.5
rad50	toe	2	6	3e-04	0	0.5
chico	toe	2	6	0	0	0.5
cp309	toe	2	6	4e-04	0	0.5
hdc	toe	2	6	5e-04	0	0.5
Axn	toe	2	6	1e-04	0	0.5
Apc2	toe	2	6	8e-04	0	0.5
PhKgamma	toe	2	6	0	0	0.5
eya	toe	2	6	0	0	0.5
