Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	tou	2	6	8e-04	0	0.5
emp	tou	2	6	2e-04	0	0.5
CG2678	tou	2	6	4e-04	0	0.5
crc	tou	2	6	1e-04	0	0.5
pros	tou	2	6	0.0017	0	0.5
neur	tou	2	6	4e-04	0	0.5
Rab5	tou	2	6	9e-04	0	0.5
Rab7	tou	2	6	0.0018	0	0.5
Mmp2	tou	2	6	0.0012	0	0.5
W	tou	2	6	3e-04	0	0.5
bowl	tou	2	6	0	0	0.5
fd59A	tou	2	6	4e-04	0	0.5
e	tou	2	6	9e-04	0	0.5
ben	tou	2	6	3e-04	0	0.5
rdo	tou	2	6	5e-04	0	0.5
lin	tou	2	6	0.0012	0	0.5
tra	tou	2	6	2e-04	0	0.5
tra2	tou	2	6	5e-04	0	0.5
cathD	tou	2	6	0.0019	0	0.5
d	tou	2	6	5e-04	0	0.5
lva	tou	2	6	8e-04	0	0.5
pbl	tou	2	6	8e-04	0	0.5
CG33205	tou	2	6	4e-04	0	0.5
da	tou	2	6	0.0014	0	0.5
cactin	tou	2	6	3e-04	0	0.5
hpo	tou	2	6	7e-04	0	0.5
Sema.2a	tou	2	6	3e-04	0	0.5
Eip74EF	tou	2	6	0.0041	0	0.5
eg	tou	2	6	0.0015	0	0.5
Arc42	tou	2	6	0.002	0	0.5
toy	tou	2	6	1e-04	0	0.5
Galpha73B	tou	2	6	5e-04	0	0.5
RhoGAPp190	tou	2	6	0.0015	0	0.5
MED11	tou	2	6	0	0	0.5
cher	tou	2	6	2e-04	0	0.5
BicD	tou	2	6	0	0	0.5
MYPT.75D	tou	2	6	6e-04	0	0.5
mus304	tou	2	6	0.0011	0	0.5
CdsA	tou	2	6	0.0015	0	0.5
btl	tou	2	6	8e-04	0	0.5
Cyt.c.d	tou	2	6	6e-04	0	0.5
tok	tou	2	6	0	0	0.5
ttk	tou	2	6	4e-04	0	0.5
tamo	tou	2	6	7e-04	0	0.5
CG6416	tou	2	6	3e-04	0	0.5
flfl	tou	2	6	2e-04	0	0.5
Pvr	tou	2	6	0.0018	0	0.5
kay	tou	2	6	8e-04	0	0.5
Jra	tou	2	6	4e-04	0	0.5
msk	tou	2	6	1e-04	0	0.5
tll	tou	2	6	0.0023	0	0.5
Tm1	tou	2	6	1e-04	0	0.5
srp	tou	2	6	0.0011	0	0.5
Btk29A	tou	2	6	0.0012	0	0.5
fred	tou	2	6	3e-04	0	0.5
Src64B	tou	2	6	0	0	0.5
Mmp1	tou	2	6	0.0014	0	0.5
sll	tou	2	6	2e-04	0	0.5
Hmgs	tou	2	6	0	0	0.5
caps	tou	2	6	0.001	0	0.5
Su.var.2.10	tou	2	6	4e-04	0	0.5
CycB	tou	2	6	8e-04	0	0.5
spir	tou	2	6	5e-04	0	0.5
spn.A	tou	2	6	7e-04	0	0.5
Ptpmeg	tou	2	6	0	0	0.5
qua	tou	2	6	8e-04	0	0.5
msn	tou	2	6	5e-04	0	0.5
ena	tou	2	6	0	0	0.5
spen	tou	2	6	0	0	0.5
emc	tou	2	6	7e-04	0	0.5
tsh	tou	2	6	7e-04	0	0.5
Dat	tou	2	6	0.0015	0	0.5
Lac	tou	2	6	2e-04	0	0.5
dup	tou	2	6	1e-04	0	0.5
CG3075	tou	2	6	0.0024	0	0.5
Akap200	tou	2	6	5e-04	0	0.5
CG18369	tou	2	6	0.0014	0	0.5
bnl	tou	2	6	8e-04	0	0.5
sec23	tou	2	6	3e-04	0	0.5
Pde8	tou	2	6	2e-04	0	0.5
