Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	tra	2	6	0	0	0.5
emp	tra	2	6	5e-04	0	0.5
CG2678	tra	2	6	0	0	0.5
crc	tra	2	6	0.0016	0	0.5
pros	tra	2	6	0	0	0.5
neur	tra	2	6	1e-04	0	0.5
Rab5	tra	2	6	0	0	0.5
Rab7	tra	2	6	0	0	0.5
Mmp2	tra	2	6	0	0	0.5
W	tra	2	6	0	0	0.5
bowl	tra	2	6	2e-04	0	0.5
fd59A	tra	2	6	1e-04	0	0.5
e	tra	2	6	0	0	0.5
ben	tra	2	6	2e-04	0	0.5
rdo	tra	2	6	3e-04	0	0.5
lin	tra	2	6	2e-04	0	0.5
tra	tra	2	6	3e-04	0	0.5
tra2	tra	2	6	0	0	0.5
cathD	tra	2	6	9e-04	0	0.5
d	tra	2	6	0	0	0.5
lva	tra	2	6	3e-04	0	0.5
pbl	tra	2	6	0	0	0.5
CG33205	tra	2	6	0	0	0.5
da	tra	2	6	0	0	0.5
cactin	tra	2	6	0	0	0.5
hpo	tra	2	6	5e-04	0	0.5
Sema.2a	tra	2	6	0	0	0.5
Eip74EF	tra	2	6	0	0	0.5
eg	tra	2	6	1e-04	0	0.5
Arc42	tra	2	6	0	0	0.5
toy	tra	2	6	0	0	0.5
Galpha73B	tra	2	6	8e-04	0	0.5
RhoGAPp190	tra	2	6	0	0	0.5
MED11	tra	2	6	8e-04	0	0.5
cher	tra	2	6	2e-04	0	0.5
BicD	tra	2	6	0.0012	0	0.5
MYPT.75D	tra	2	6	3e-04	0	0.5
mus304	tra	2	6	0	0	0.5
CdsA	tra	2	6	4e-04	0	0.5
btl	tra	2	6	1e-04	0	0.5
Cyt.c.d	tra	2	6	3e-04	0	0.5
tok	tra	2	6	3e-04	0	0.5
ttk	tra	2	6	0	0	0.5
tamo	tra	2	6	3e-04	0	0.5
CG6416	tra	2	6	1e-04	0	0.5
flfl	tra	2	6	0	0	0.5
Pvr	tra	2	6	2e-04	0	0.5
kay	tra	2	6	0	0	0.5
