Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	tral	2	6	0	0	0.5
emp	tral	2	6	0	0	0.5
CG2678	tral	2	6	1e-04	0	0.5
crc	tral	2	6	0	0	0.5
pros	tral	2	6	0	0	0.5
neur	tral	2	6	0	0	0.5
Rab5	tral	2	6	0	0	0.5
Rab7	tral	2	6	0	0	0.5
Mmp2	tral	2	6	0	0	0.5
W	tral	2	6	0	0	0.5
bowl	tral	2	6	0	0	0.5
fd59A	tral	2	6	0	0	0.5
e	tral	2	6	2e-04	0	0.5
ben	tral	2	6	0	0	0.5
rdo	tral	2	6	0	0	0.5
lin	tral	2	6	0	0	0.5
tra	tral	2	6	1e-04	0	0.5
tra2	tral	2	6	0	0	0.5
cathD	tral	2	6	0	0	0.5
d	tral	2	6	0	0	0.5
lva	tral	2	6	0	0	0.5
pbl	tral	2	6	2e-04	0	0.5
CG33205	tral	2	6	0	0	0.5
da	tral	2	6	0.0014	0	0.5
cactin	tral	2	6	0	0	0.5
hpo	tral	2	6	0	0	0.5
Sema.2a	tral	2	6	0	0	0.5
Eip74EF	tral	2	6	0	0	0.5
eg	tral	2	6	0	0	0.5
Arc42	tral	2	6	0	0	0.5
toy	tral	2	6	1e-04	0	0.5
Galpha73B	tral	2	6	0	0	0.5
RhoGAPp190	tral	2	6	0	0	0.5
MED11	tral	2	6	0	0	0.5
cher	tral	2	6	0	0	0.5
BicD	tral	2	6	0	0	0.5
MYPT.75D	tral	2	6	1e-04	0	0.5
mus304	tral	2	6	0	0	0.5
CdsA	tral	2	6	0	0	0.5
btl	tral	2	6	0	0	0.5
Cyt.c.d	tral	2	6	0	0	0.5
tok	tral	2	6	0	0	0.5
ttk	tral	2	6	1e-04	0	0.5
tamo	tral	2	6	0	0	0.5
CG6416	tral	2	6	0	0	0.5
flfl	tral	2	6	0	0	0.5
Pvr	tral	2	6	0	0	0.5
kay	tral	2	6	4e-04	0	0.5
Jra	tral	2	6	9e-04	0	0.5
msk	tral	2	6	0	0	0.5
tll	tral	2	6	0	0	0.5
Tm1	tral	2	6	0	0	0.5
srp	tral	2	6	1e-04	0	0.5
Btk29A	tral	2	6	0	0	0.5
fred	tral	2	6	4e-04	0	0.5
Src64B	tral	2	6	0	0	0.5
Mmp1	tral	2	6	2e-04	0	0.5
sll	tral	2	6	0	0	0.5
Hmgs	tral	2	6	0	0	0.5
caps	tral	2	6	4e-04	0	0.5
Su.var.2.10	tral	2	6	0	0	0.5
CycB	tral	2	6	3e-04	0	0.5
spir	tral	2	6	0	0	0.5
spn.A	tral	2	6	1e-04	0	0.5
Ptpmeg	tral	2	6	0	0	0.5
qua	tral	2	6	0	0	0.5
msn	tral	2	6	0	0	0.5
ena	tral	2	6	0	0	0.5
spen	tral	2	6	0	0	0.5
emc	tral	2	6	1e-04	0	0.5
tsh	tral	2	6	0	0	0.5
Dat	tral	2	6	0	0	0.5
Lac	tral	2	6	0	0	0.5
dup	tral	2	6	0	0	0.5
CG3075	tral	2	6	0	0	0.5
Akap200	tral	2	6	2e-04	0	0.5
CG18369	tral	2	6	2e-04	0	0.5
bnl	tral	2	6	0	0	0.5
sec23	tral	2	6	0	0	0.5
Pde8	tral	2	6	0	0	0.5
Arp66B	tral	2	6	1e-04	0	0.5
cos	tral	2	6	0	0	0.5
Borr	tral	2	6	0	0	0.5
X140up	tral	2	6	0	0	0.5
Dhc64C	tral	2	6	0	0	0.5
Not1	tral	2	6	0	0	0.5
CG9520	tral	2	6	0	0	0.5
bib	tral	2	6	4e-04	0	0.5
mib1	tral	2	6	0	0	0.5
cas	tral	2	6	0	0	0.5
Abi	tral	2	6	0	0	0.5
betaTub56D	tral	2	6	0	0	0.5
nej	tral	2	6	0	0	0.5
dlg1	tral	2	6	0	0	0.5
Lcp65Ag1	tral	2	6	0	0	0.5
Es2	tral	2	6	0	0	0.5
MED24	tral	2	6	2e-04	0	0.5
Vhl	tral	2	6	1e-04	0	0.5
tral	tral	2	6	6e-04	0	0.5
sns	tral	2	6	0	0	0.5
mbl	tral	2	6	0	0	0.5
sav	tral	2	6	0	0	0.5
lola	tral	2	6	1e-04	0	0.5
robo	tral	2	6	0	0	0.5
CG32486	tral	2	6	0	0	0.5
santa.maria	tral	2	6	0	0	0.5
stumps	tral	2	6	0	0	0.5
abd.A	tral	2	6	0	0	0.5
dock	tral	2	6	0	0	0.5
Lar	tral	2	6	5e-04	0	0.5
l.1.G0289	tral	2	6	0	0	0.5
Abl	tral	2	6	6e-04	0	0.5
Syb	tral	2	6	0	0	0.5
dome	tral	2	6	0	0	0.5
ofs	tral	2	6	0	0	0.5
MED4	tral	2	6	0	0	0.5
scrib	tral	2	6	0	0	0.5
siz	tral	2	6	2e-04	0	0.5
cbx	tral	2	6	0	0	0.5
dsx	tral	2	6	0	0	0.5
Sb	tral	2	6	0	0	0.5
sax	tral	2	6	0	0	0.5
foxo	tral	2	6	2e-04	0	0.5
Cyp1	tral	2	6	0	0	0.5
brm	tral	2	6	0	0	0.5
rad50	tral	2	6	0	0	0.5
chico	tral	2	6	0	0	0.5
cp309	tral	2	6	0	0	0.5
hdc	tral	2	6	0	0	0.5
Axn	tral	2	6	0	0	0.5
Apc2	tral	2	6	8e-04	0	0.5
PhKgamma	tral	2	6	0.0011	0	0.5
eya	tral	2	6	0	0	0.5
sktl	tral	2	6	0	0	0.5
sqd	tral	2	6	0	0	0.5
Akt1	tral	2	6	0	0	0.5
scyl	tral	2	6	1e-04	0	0.5
cnk	tral	2	6	0	0	0.5
CG8149	tral	2	6	0	0	0.5
CG34379	tral	2	6	0	0	0.5
Yp1	tral	2	6	0	0	0.5
yrt	tral	2	6	0	0	0.5
bap	tral	2	6	0	0	0.5
tud	tral	2	6	0	0	0.5
ct	tral	2	6	0	0	0.5
tup	tral	2	6	0	0	0.5
G.ialpha65A	tral	2	6	2e-04	0	0.5
knrl	tral	2	6	0	0	0.5
Pkn	tral	2	6	3e-04	0	0.5
Sry.delta	tral	2	6	6e-04	0	0.5
Alh	tral	2	6	1e-04	0	0.5
pnut	tral	2	6	0	0	0.5
phyl	tral	2	6	2e-04	0	0.5
CG17739	tral	2	6	0	0	0.5
B4	tral	2	6	0	0	0.5
CG2681	tral	2	6	2e-04	0	0.5
tow	tral	2	6	0	0	0.5
hkl	tral	2	6	0	0	0.5
sina	tral	2	6	0	0	0.5
ry	tral	2	6	0	0	0.5
rux	tral	2	6	0	0	0.5
boss	tral	2	6	3e-04	0	0.5
Mkp3	tral	2	6	0	0	0.5
inaC	tral	2	6	0	0	0.5
sno	tral	2	6	0	0	0.5
jagn	tral	2	6	0	0	0.5
dpn	tral	2	6	5e-04	0	0.5
wrapper	tral	2	6	1e-04	0	0.5
Ca.alpha1D	tral	2	6	0	0	0.5
E2f	tral	2	6	0	0	0.5
Dp	tral	2	6	0	0	0.5
l.2.efl	tral	2	6	0	0	0.5
cnc	tral	2	6	0	0	0.5
Atg5	tral	2	6	0	0	0.5
acj6	tral	2	6	0	0	0.5
Trl	tral	2	6	0	0	0.5
d4	tral	2	6	0	0	0.5
CG16719	tral	2	6	5e-04	0	0.5
CadN	tral	2	6	0	0	0.5
gro	tral	2	6	0	0	0.5
sec13	tral	2	6	2e-04	0	0.5
klar	tral	2	6	0	0	0.5
Rack1	tral	2	6	0	0	0.5
Sobp	tral	2	6	1e-04	0	0.5
ash1	tral	2	6	0	0	0.5
inv	tral	2	6	3e-04	0	0.5
shot	tral	2	6	6e-04	0	0.5
Oseg1	tral	2	6	0	0	0.5
Spred	tral	2	6	1	1.0005	0.5
puc	tral	2	6	0	0	0.5
Atg6	tral	2	6	0	0	0.5
CG3829	tral	2	6	0	0	0.5
sle	tral	2	6	0	0	0.5
Cka	tral	2	6	0	0	0.5
form3	tral	2	6	0	0	0.5
Pk61C	tral	2	6	0	0	0.5
Pcaf	tral	2	6	0	0	0.5
sbb	tral	2	6	0	0	0.5
Ef1gamma	tral	2	6	0	0	0.5
FKBP59	tral	2	6	0	0	0.5
Eip71CD	tral	2	6	4e-04	0	0.5
xmas.2	tral	2	6	1e-04	0	0.5
ppan	tral	2	6	0	0	0.5
Iswi	tral	2	6	3e-04	0	0.5
ine	tral	2	6	0	0	0.5
Tina.1	tral	2	6	0	0	0.5
bon	tral	2	6	0	0	0.5
pot	tral	2	6	3e-04	0	0.5
chic	tral	2	6	0	0	0.5
Hem	tral	2	6	0	0	0.5
chif	tral	2	6	2e-04	0	0.5
S6kII	tral	2	6	0	0	0.5
wal	tral	2	6	1e-04	0	0.5
wls	tral	2	6	0	0	0.5
Ddx1	tral	2	6	0	0	0.5
Sulf1	tral	2	6	4e-04	0	0.5
