Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	trc	2	6	0.0019	0	0.5
emp	trc	2	6	7e-04	0	0.5
CG2678	trc	2	6	3e-04	0	0.5
crc	trc	2	6	0.001	0	0.5
pros	trc	2	6	4e-04	0	0.5
neur	trc	2	6	4e-04	0	0.5
Rab5	trc	2	6	0	0	0.5
Rab7	trc	2	6	0	0	0.5
Mmp2	trc	2	6	4e-04	0	0.5
W	trc	2	6	0.0011	0	0.5
bowl	trc	2	6	1e-04	0	0.5
fd59A	trc	2	6	3e-04	0	0.5
e	trc	2	6	1e-04	0	0.5
ben	trc	2	6	1e-04	0	0.5
rdo	trc	2	6	0.0011	0	0.5
lin	trc	2	6	0	0	0.5
tra	trc	2	6	8e-04	0	0.5
tra2	trc	2	6	4e-04	0	0.5
cathD	trc	2	6	0	0	0.5
d	trc	2	6	0.0019	0	0.5
lva	trc	2	6	8e-04	0	0.5
pbl	trc	2	6	7e-04	0	0.5
CG33205	trc	2	6	5e-04	0	0.5
da	trc	2	6	0	0	0.5
cactin	trc	2	6	1e-04	0	0.5
hpo	trc	2	6	3e-04	0	0.5
Sema.2a	trc	2	6	4e-04	0	0.5
Eip74EF	trc	2	6	2e-04	0	0.5
eg	trc	2	6	4e-04	0	0.5
Arc42	trc	2	6	0.0013	0	0.5
toy	trc	2	6	4e-04	0	0.5
Galpha73B	trc	2	6	8e-04	0	0.5
RhoGAPp190	trc	2	6	0.0021	0	0.5
MED11	trc	2	6	1e-04	0	0.5
cher	trc	2	6	5e-04	0	0.5
BicD	trc	2	6	3e-04	0	0.5
MYPT.75D	trc	2	6	3e-04	0	0.5
mus304	trc	2	6	3e-04	0	0.5
CdsA	trc	2	6	6e-04	0	0.5
btl	trc	2	6	6e-04	0	0.5
Cyt.c.d	trc	2	6	3e-04	0	0.5
tok	trc	2	6	1e-04	0	0.5
ttk	trc	2	6	6e-04	0	0.5
tamo	trc	2	6	6e-04	0	0.5
CG6416	trc	2	6	1e-04	0	0.5
flfl	trc	2	6	5e-04	0	0.5
Pvr	trc	2	6	4e-04	0	0.5
kay	trc	2	6	9e-04	0	0.5
Jra	trc	2	6	0.0048	0	0.5
msk	trc	2	6	4e-04	0	0.5
tll	trc	2	6	0	0	0.5
Tm1	trc	2	6	1e-04	0	0.5
srp	trc	2	6	2e-04	0	0.5
Btk29A	trc	2	6	0.0011	0	0.5
fred	trc	2	6	0.0015	0	0.5
Src64B	trc	2	6	0	0	0.5
Mmp1	trc	2	6	1e-04	0	0.5
sll	trc	2	6	0.0018	0	0.5
Hmgs	trc	2	6	1e-04	0	0.5
caps	trc	2	6	1e-04	0	0.5
Su.var.2.10	trc	2	6	9e-04	0	0.5
CycB	trc	2	6	2e-04	0	0.5
spir	trc	2	6	0.001	0	0.5
spn.A	trc	2	6	0	0	0.5
Ptpmeg	trc	2	6	0.0014	0	0.5
qua	trc	2	6	9e-04	0	0.5
