Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	trio	2	6	0	0	0.5
emp	trio	2	6	0.3731	0	0.5
CG2678	trio	2	6	0	0	0.5
crc	trio	2	6	7e-04	0	0.5
pros	trio	2	6	0	0	0.5
neur	trio	2	6	0	0	0.5
Rab5	trio	2	6	0	0	0.5
Rab7	trio	2	6	0	0	0.5
Mmp2	trio	2	6	0	0	0.5
W	trio	2	6	0	0	0.5
bowl	trio	2	6	4e-04	0	0.5
fd59A	trio	2	6	0	0	0.5
e	trio	2	6	1e-04	0	0.5
ben	trio	2	6	0	0	0.5
rdo	trio	2	6	1e-04	0	0.5
lin	trio	2	6	0	0	0.5
tra	trio	2	6	7e-04	0	0.5
tra2	trio	2	6	4e-04	0	0.5
cathD	trio	2	6	0	0	0.5
d	trio	2	6	0	0	0.5
lva	trio	2	6	0	0	0.5
pbl	trio	2	6	2e-04	0	0.5
CG33205	trio	2	6	0	0	0.5
da	trio	2	6	0	0	0.5
cactin	trio	2	6	2e-04	0	0.5
hpo	trio	2	6	1e-04	0	0.5
Sema.2a	trio	2	6	1e-04	0	0.5
Eip74EF	trio	2	6	2e-04	0	0.5
eg	trio	2	6	0	0	0.5
Arc42	trio	2	6	2e-04	0	0.5
toy	trio	2	6	0	0	0.5
Galpha73B	trio	2	6	3e-04	0	0.5
RhoGAPp190	trio	2	6	0	0	0.5
MED11	trio	2	6	0	0	0.5
cher	trio	2	6	6e-04	0	0.5
BicD	trio	2	6	1e-04	0	0.5
MYPT.75D	trio	2	6	2e-04	0	0.5
mus304	trio	2	6	6e-04	0	0.5
CdsA	trio	2	6	3e-04	0	0.5
btl	trio	2	6	0	0	0.5
Cyt.c.d	trio	2	6	1e-04	0	0.5
tok	trio	2	6	1e-04	0	0.5
ttk	trio	2	6	0	0	0.5
tamo	trio	2	6	3e-04	0	0.5
CG6416	trio	2	6	0	0	0.5
flfl	trio	2	6	0	0	0.5
Pvr	trio	2	6	5e-04	0	0.5
kay	trio	2	6	0	0	0.5
Jra	trio	2	6	0	0	0.5
msk	trio	2	6	1e-04	0	0.5
tll	trio	2	6	0	0	0.5
Tm1	trio	2	6	0	0	0.5
srp	trio	2	6	0	0	0.5
Btk29A	trio	2	6	0	0	0.5
fred	trio	2	6	0	0	0.5
Src64B	trio	2	6	0	0	0.5
Mmp1	trio	2	6	0	0	0.5
sll	trio	2	6	0	0	0.5
Hmgs	trio	2	6	0	0	0.5
caps	trio	2	6	0	0	0.5
Su.var.2.10	trio	2	6	8e-04	0	0.5
CycB	trio	2	6	4e-04	0	0.5
spir	trio	2	6	8e-04	0	0.5
spn.A	trio	2	6	0	0	0.5
Ptpmeg	trio	2	6	0	0	0.5
qua	trio	2	6	4e-04	0	0.5
msn	trio	2	6	0	0	0.5
ena	trio	2	6	0	0	0.5
spen	trio	2	6	1e-04	0	0.5
emc	trio	2	6	0	0	0.5
tsh	trio	2	6	0	0	0.5
Dat	trio	2	6	0	0	0.5
Lac	trio	2	6	1e-04	0	0.5
dup	trio	2	6	0	0	0.5
CG3075	trio	2	6	0	0	0.5
Akap200	trio	2	6	0	0	0.5
CG18369	trio	2	6	5e-04	0	0.5
bnl	trio	2	6	0	0	0.5
sec23	trio	2	6	0	0	0.5
Pde8	trio	2	6	0	0	0.5
Arp66B	trio	2	6	0	0	0.5
cos	trio	2	6	0	0	0.5
Borr	trio	2	6	0.001	0	0.5
X140up	trio	2	6	1e-04	0	0.5
Dhc64C	trio	2	6	6e-04	0	0.5
Not1	trio	2	6	0.0018	0	0.5
CG9520	trio	2	6	0	0	0.5
bib	trio	2	6	0	0	0.5
mib1	trio	2	6	0	0	0.5
cas	trio	2	6	0	0	0.5
Abi	trio	2	6	0	0	0.5
betaTub56D	trio	2	6	0	0	0.5
nej	trio	2	6	8e-04	0	0.5
dlg1	trio	2	6	0	0	0.5
Lcp65Ag1	trio	2	6	0	0	0.5
Es2	trio	2	6	0	0	0.5
MED24	trio	2	6	0	0	0.5
Vhl	trio	2	6	0	0	0.5
tral	trio	2	6	0	0	0.5
sns	trio	2	6	6e-04	0	0.5
mbl	trio	2	6	0	0	0.5
sav	trio	2	6	0	0	0.5
lola	trio	2	6	0	0	0.5
robo	trio	2	6	0	0	0.5
CG32486	trio	2	6	1e-04	0	0.5
santa.maria	trio	2	6	0.0012	0	0.5
stumps	trio	2	6	0	0	0.5
abd.A	trio	2	6	0	0	0.5
dock	trio	2	6	0	0	0.5
Lar	trio	2	6	5e-04	0	0.5
l.1.G0289	trio	2	6	2e-04	0	0.5
Abl	trio	2	6	0	0	0.5
Syb	trio	2	6	0	0	0.5
dome	trio	2	6	0	0	0.5
ofs	trio	2	6	3e-04	0	0.5
MED4	trio	2	6	0	0	0.5
scrib	trio	2	6	1e-04	0	0.5
siz	trio	2	6	7e-04	0	0.5
cbx	trio	2	6	0	0	0.5
dsx	trio	2	6	0	0	0.5
Sb	trio	2	6	1e-04	0	0.5
sax	trio	2	6	6e-04	0	0.5
foxo	trio	2	6	0	0	0.5
Cyp1	trio	2	6	0	0	0.5
brm	trio	2	6	0	0	0.5
rad50	trio	2	6	0	0	0.5
chico	trio	2	6	0	0	0.5
cp309	trio	2	6	0	0	0.5
