Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	trn	2	6	0.0028	0	0.5
emp	trn	2	6	4e-04	0	0.5
CG2678	trn	2	6	1e-04	0	0.5
crc	trn	2	6	7e-04	0	0.5
pros	trn	2	6	2e-04	0	0.5
neur	trn	2	6	4e-04	0	0.5
Rab5	trn	2	6	2e-04	0	0.5
Rab7	trn	2	6	0	0	0.5
Mmp2	trn	2	6	0	0	0.5
W	trn	2	6	0	0	0.5
bowl	trn	2	6	3e-04	0	0.5
fd59A	trn	2	6	4e-04	0	0.5
e	trn	2	6	1e-04	0	0.5
ben	trn	2	6	0.0012	0	0.5
rdo	trn	2	6	4e-04	0	0.5
lin	trn	2	6	1e-04	0	0.5
tra	trn	2	6	0.001	0	0.5
tra2	trn	2	6	0.0055	0	0.5
cathD	trn	2	6	2e-04	0	0.5
d	trn	2	6	0.0042	0	0.5
lva	trn	2	6	2e-04	0	0.5
pbl	trn	2	6	1e-04	0	0.5
CG33205	trn	2	6	8e-04	0	0.5
da	trn	2	6	4e-04	0	0.5
cactin	trn	2	6	0.0013	0	0.5
hpo	trn	2	6	5e-04	0	0.5
Sema.2a	trn	2	6	8e-04	0	0.5
Eip74EF	trn	2	6	2e-04	0	0.5
eg	trn	2	6	4e-04	0	0.5
Arc42	trn	2	6	0.0076	0	0.5
toy	trn	2	6	0	0	0.5
Galpha73B	trn	2	6	0	0	0.5
RhoGAPp190	trn	2	6	2e-04	0	0.5
MED11	trn	2	6	7e-04	0	0.5
cher	trn	2	6	0.0013	0	0.5
BicD	trn	2	6	1e-04	0	0.5
MYPT.75D	trn	2	6	4e-04	0	0.5
mus304	trn	2	6	5e-04	0	0.5
CdsA	trn	2	6	4e-04	0	0.5
btl	trn	2	6	0.001	0	0.5
Cyt.c.d	trn	2	6	4e-04	0	0.5
tok	trn	2	6	4e-04	0	0.5
ttk	trn	2	6	2e-04	0	0.5
tamo	trn	2	6	5e-04	0	0.5
CG6416	trn	2	6	1e-04	0	0.5
flfl	trn	2	6	2e-04	0	0.5
Pvr	trn	2	6	4e-04	0	0.5
