Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	tsh	2	6	3e-04	0	0.5
emp	tsh	2	6	0	0	0.5
CG2678	tsh	2	6	0	0	0.5
crc	tsh	2	6	0	0	0.5
pros	tsh	2	6	0	0	0.5
neur	tsh	2	6	2e-04	0	0.5
Rab5	tsh	2	6	0	0	0.5
Rab7	tsh	2	6	0.0011	0	0.5
Mmp2	tsh	2	6	0	0	0.5
W	tsh	2	6	0	0	0.5
bowl	tsh	2	6	0	0	0.5
fd59A	tsh	2	6	0	0	0.5
e	tsh	2	6	0	0	0.5
ben	tsh	2	6	0	0	0.5
rdo	tsh	2	6	0	0	0.5
lin	tsh	2	6	0	0	0.5
tra	tsh	2	6	1e-04	0	0.5
tra2	tsh	2	6	0	0	0.5
cathD	tsh	2	6	0	0	0.5
d	tsh	2	6	0.0012	0	0.5
lva	tsh	2	6	7e-04	0	0.5
pbl	tsh	2	6	0	0	0.5
CG33205	tsh	2	6	2e-04	0	0.5
da	tsh	2	6	0	0	0.5
cactin	tsh	2	6	0	0	0.5
hpo	tsh	2	6	0	0	0.5
Sema.2a	tsh	2	6	0	0	0.5
Eip74EF	tsh	2	6	1e-04	0	0.5
eg	tsh	2	6	0	0	0.5
Arc42	tsh	2	6	3e-04	0	0.5
toy	tsh	2	6	0	0	0.5
Galpha73B	tsh	2	6	1e-04	0	0.5
RhoGAPp190	tsh	2	6	0	0	0.5
MED11	tsh	2	6	9e-04	0	0.5
cher	tsh	2	6	0	0	0.5
BicD	tsh	2	6	0	0	0.5
MYPT.75D	tsh	2	6	2e-04	0	0.5
mus304	tsh	2	6	0	0	0.5
CdsA	tsh	2	6	2e-04	0	0.5
btl	tsh	2	6	0	0	0.5
Cyt.c.d	tsh	2	6	2e-04	0	0.5
tok	tsh	2	6	0	0	0.5
ttk	tsh	2	6	0	0	0.5
tamo	tsh	2	6	7e-04	0	0.5
CG6416	tsh	2	6	0	0	0.5
flfl	tsh	2	6	0	0	0.5
Pvr	tsh	2	6	0	0	0.5
kay	tsh	2	6	0	0	0.5
Jra	tsh	2	6	0	0	0.5
msk	tsh	2	6	0	0	0.5
tll	tsh	2	6	4e-04	0	0.5
Tm1	tsh	2	6	5e-04	0	0.5
srp	tsh	2	6	6e-04	0	0.5
Btk29A	tsh	2	6	9e-04	0	0.5
fred	tsh	2	6	0	0	0.5
Src64B	tsh	2	6	7e-04	0	0.5
Mmp1	tsh	2	6	0	0	0.5
sll	tsh	2	6	0	0	0.5
Hmgs	tsh	2	6	0	0	0.5
caps	tsh	2	6	1e-04	0	0.5
Su.var.2.10	tsh	2	6	0	0	0.5
CycB	tsh	2	6	0	0	0.5
spir	tsh	2	6	0	0	0.5
spn.A	tsh	2	6	0.0011	0	0.5
Ptpmeg	tsh	2	6	0	0	0.5
qua	tsh	2	6	1e-04	0	0.5
msn	tsh	2	6	0	0	0.5
ena	tsh	2	6	0	0	0.5
spen	tsh	2	6	0	0	0.5
emc	tsh	2	6	0	0	0.5
tsh	tsh	2	6	1e-04	0	0.5
Dat	tsh	2	6	0	0	0.5
Lac	tsh	2	6	0	0	0.5
dup	tsh	2	6	2e-04	0	0.5
CG3075	tsh	2	6	0	0	0.5
Akap200	tsh	2	6	0	0	0.5
CG18369	tsh	2	6	0	0	0.5
bnl	tsh	2	6	0	0	0.5
sec23	tsh	2	6	0	0	0.5
Pde8	tsh	2	6	0	0	0.5
Arp66B	tsh	2	6	0	0	0.5
cos	tsh	2	6	0	0	0.5
Borr	tsh	2	6	1e-04	0	0.5
X140up	tsh	2	6	0	0	0.5
Dhc64C	tsh	2	6	0	0	0.5
Not1	tsh	2	6	3e-04	0	0.5
CG9520	tsh	2	6	1e-04	0	0.5
bib	tsh	2	6	0	0	0.5
mib1	tsh	2	6	2e-04	0	0.5
cas	tsh	2	6	0	0	0.5
Abi	tsh	2	6	6e-04	0	0.5
betaTub56D	tsh	2	6	0	0	0.5
nej	tsh	2	6	0.0016	0	0.5
dlg1	tsh	2	6	1e-04	0	0.5
Lcp65Ag1	tsh	2	6	0	0	0.5
Es2	tsh	2	6	0	0	0.5
MED24	tsh	2	6	2e-04	0	0.5
Vhl	tsh	2	6	0	0	0.5
tral	tsh	2	6	6e-04	0	0.5
sns	tsh	2	6	0	0	0.5
mbl	tsh	2	6	0	0	0.5
sav	tsh	2	6	0	0	0.5
lola	tsh	2	6	0	0	0.5
robo	tsh	2	6	0	0	0.5
CG32486	tsh	2	6	0	0	0.5
santa.maria	tsh	2	6	2e-04	0	0.5
stumps	tsh	2	6	0	0	0.5
abd.A	tsh	2	6	0	0	0.5
dock	tsh	2	6	0	0	0.5
Lar	tsh	2	6	1e-04	0	0.5
l.1.G0289	tsh	2	6	0	0	0.5
Abl	tsh	2	6	1e-04	0	0.5
Syb	tsh	2	6	0	0	0.5
dome	tsh	2	6	0	0	0.5
ofs	tsh	2	6	3e-04	0	0.5
MED4	tsh	2	6	0	0	0.5
scrib	tsh	2	6	0	0	0.5
siz	tsh	2	6	2e-04	0	0.5
cbx	tsh	2	6	7e-04	0	0.5
dsx	tsh	2	6	1e-04	0	0.5
Sb	tsh	2	6	0	0	0.5
sax	tsh	2	6	0	0	0.5
foxo	tsh	2	6	3e-04	0	0.5
Cyp1	tsh	2	6	2e-04	0	0.5
brm	tsh	2	6	0	0	0.5
rad50	tsh	2	6	0	0	0.5
chico	tsh	2	6	0	0	0.5
cp309	tsh	2	6	0	0	0.5
hdc	tsh	2	6	0	0	0.5
Axn	tsh	2	6	0	0	0.5
Apc2	tsh	2	6	0	0	0.5
PhKgamma	tsh	2	6	0	0	0.5
eya	tsh	2	6	0	0	0.5
sktl	tsh	2	6	0	0	0.5
sqd	tsh	2	6	0	0	0.5
Akt1	tsh	2	6	0	0	0.5
scyl	tsh	2	6	0	0	0.5
cnk	tsh	2	6	0	0	0.5
CG8149	tsh	2	6	0	0	0.5
CG34379	tsh	2	6	3e-04	0	0.5
Yp1	tsh	2	6	2e-04	0	0.5
yrt	tsh	2	6	0	0	0.5
bap	tsh	2	6	0	0	0.5
tud	tsh	2	6	0	0	0.5
ct	tsh	2	6	0	0	0.5
tup	tsh	2	6	0	0	0.5
G.ialpha65A	tsh	2	6	1e-04	0	0.5
knrl	tsh	2	6	6e-04	0	0.5
Pkn	tsh	2	6	3e-04	0	0.5
Sry.delta	tsh	2	6	0	0	0.5
Alh	tsh	2	6	0	0	0.5
pnut	tsh	2	6	0	0	0.5
phyl	tsh	2	6	6e-04	0	0.5
CG17739	tsh	2	6	0	0	0.5
B4	tsh	2	6	0	0	0.5
CG2681	tsh	2	6	1e-04	0	0.5
tow	tsh	2	6	1e-04	0	0.5
hkl	tsh	2	6	0	0	0.5
sina	tsh	2	6	0	0	0.5
ry	tsh	2	6	3e-04	0	0.5
rux	tsh	2	6	0	0	0.5
boss	tsh	2	6	0	0	0.5
Mkp3	tsh	2	6	1e-04	0	0.5
inaC	tsh	2	6	1	-0.99941	0.5
sno	tsh	2	6	1e-04	0	0.5
jagn	tsh	2	6	0	0	0.5
dpn	tsh	2	6	0	0	0.5
wrapper	tsh	2	6	0	0	0.5
Ca.alpha1D	tsh	2	6	1e-04	0	0.5
E2f	tsh	2	6	0	0	0.5
Dp	tsh	2	6	0	0	0.5
l.2.efl	tsh	2	6	0	0	0.5
cnc	tsh	2	6	0	0	0.5
Atg5	tsh	2	6	0	0	0.5
acj6	tsh	2	6	0	0	0.5
Trl	tsh	2	6	0	0	0.5
d4	tsh	2	6	0	0	0.5
CG16719	tsh	2	6	4e-04	0	0.5
CadN	tsh	2	6	0	0	0.5
gro	tsh	2	6	3e-04	0	0.5
sec13	tsh	2	6	0	0	0.5
klar	tsh	2	6	0	0	0.5
Rack1	tsh	2	6	0	0	0.5
Sobp	tsh	2	6	0	0	0.5
ash1	tsh	2	6	2e-04	0	0.5
inv	tsh	2	6	0	0	0.5
shot	tsh	2	6	0	0	0.5
Oseg1	tsh	2	6	5e-04	0	0.5
Spred	tsh	2	6	0	0	0.5
puc	tsh	2	6	0	0	0.5
Atg6	tsh	2	6	0	0	0.5
CG3829	tsh	2	6	0	0	0.5
sle	tsh	2	6	0	0	0.5
Cka	tsh	2	6	0	0	0.5
form3	tsh	2	6	2e-04	0	0.5
Pk61C	tsh	2	6	0	0	0.5
Pcaf	tsh	2	6	0	0	0.5
sbb	tsh	2	6	1e-04	0	0.5
Ef1gamma	tsh	2	6	1e-04	0	0.5
FKBP59	tsh	2	6	0.0014	0	0.5
Eip71CD	tsh	2	6	0	0	0.5
xmas.2	tsh	2	6	0	0	0.5
