Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	tud	2	6	0.001	0	0.5
emp	tud	2	6	8e-04	0	0.5
CG2678	tud	2	6	0.0013	0	0.5
crc	tud	2	6	8e-04	0	0.5
pros	tud	2	6	0	0	0.5
neur	tud	2	6	0.0011	0	0.5
Rab5	tud	2	6	2e-04	0	0.5
Rab7	tud	2	6	0.001	0	0.5
Mmp2	tud	2	6	9e-04	0	0.5
W	tud	2	6	0.0019	0	0.5
bowl	tud	2	6	5e-04	0	0.5
fd59A	tud	2	6	3e-04	0	0.5
e	tud	2	6	0.0017	0	0.5
ben	tud	2	6	1e-04	0	0.5
rdo	tud	2	6	0.0117	0	0.5
lin	tud	2	6	0.0014	0	0.5
tra	tud	2	6	0.0036	0	0.5
tra2	tud	2	6	7e-04	0	0.5
cathD	tud	2	6	6e-04	0	0.5
d	tud	2	6	3e-04	0	0.5
lva	tud	2	6	4e-04	0	0.5
pbl	tud	2	6	0.0068	0	0.5
CG33205	tud	2	6	7e-04	0	0.5
da	tud	2	6	0.0011	0	0.5
cactin	tud	2	6	6e-04	0	0.5
hpo	tud	2	6	0.0036	0	0.5
Sema.2a	tud	2	6	0.0061	0	0.5
Eip74EF	tud	2	6	6e-04	0	0.5
eg	tud	2	6	4e-04	0	0.5
Arc42	tud	2	6	1e-04	0	0.5
toy	tud	2	6	0.0016	0	0.5
Galpha73B	tud	2	6	1e-04	0	0.5
RhoGAPp190	tud	2	6	4e-04	0	0.5
MED11	tud	2	6	9e-04	0	0.5
cher	tud	2	6	0.0011	0	0.5
BicD	tud	2	6	0.0027	0	0.5
MYPT.75D	tud	2	6	5e-04	0	0.5
mus304	tud	2	6	0	0	0.5
CdsA	tud	2	6	7e-04	0	0.5
btl	tud	2	6	0	0	0.5
Cyt.c.d	tud	2	6	6e-04	0	0.5
tok	tud	2	6	0.0056	0	0.5
ttk	tud	2	6	3e-04	0	0.5
tamo	tud	2	6	0.0013	0	0.5
CG6416	tud	2	6	3e-04	0	0.5
flfl	tud	2	6	0.0046	0	0.5
Pvr	tud	2	6	0.0013	0	0.5
kay	tud	2	6	2e-04	0	0.5
Jra	tud	2	6	1e-04	0	0.5
msk	tud	2	6	2e-04	0	0.5
tll	tud	2	6	1e-04	0	0.5
Tm1	tud	2	6	4e-04	0	0.5
srp	tud	2	6	5e-04	0	0.5
Btk29A	tud	2	6	0	0	0.5
fred	tud	2	6	4e-04	0	0.5
Src64B	tud	2	6	0.001	0	0.5
Mmp1	tud	2	6	6e-04	0	0.5
sll	tud	2	6	5e-04	0	0.5
Hmgs	tud	2	6	7e-04	0	0.5
caps	tud	2	6	0.0021	0	0.5
Su.var.2.10	tud	2	6	0.0015	0	0.5
CycB	tud	2	6	0.0012	0	0.5
spir	tud	2	6	6e-04	0	0.5
spn.A	tud	2	6	0.0069	0	0.5
Ptpmeg	tud	2	6	2e-04	0	0.5
qua	tud	2	6	6e-04	0	0.5
msn	tud	2	6	0.0014	0	0.5
ena	tud	2	6	0.0017	0	0.5
spen	tud	2	6	1e-04	0	0.5
emc	tud	2	6	5e-04	0	0.5
tsh	tud	2	6	1e-04	0	0.5
Dat	tud	2	6	0.0011	0	0.5
Lac	tud	2	6	0	0	0.5
dup	tud	2	6	2e-04	0	0.5
CG3075	tud	2	6	0.0014	0	0.5
Akap200	tud	2	6	0.0011	0	0.5
CG18369	tud	2	6	0.0038	0	0.5
bnl	tud	2	6	1e-04	0	0.5
sec23	tud	2	6	0.0046	0	0.5
Pde8	tud	2	6	0.0014	0	0.5
Arp66B	tud	2	6	0.0011	0	0.5
cos	tud	2	6	0.002	0	0.5
Borr	tud	2	6	0.0081	0	0.5
X140up	tud	2	6	1e-04	0	0.5
Dhc64C	tud	2	6	0.0012	0	0.5
Not1	tud	2	6	1e-04	0	0.5
CG9520	tud	2	6	4e-04	0	0.5
bib	tud	2	6	1e-04	0	0.5
mib1	tud	2	6	6e-04	0	0.5
cas	tud	2	6	4e-04	0	0.5
Abi	tud	2	6	4e-04	0	0.5
betaTub56D	tud	2	6	8e-04	0	0.5
nej	tud	2	6	1e-04	0	0.5
dlg1	tud	2	6	3e-04	0	0.5
Lcp65Ag1	tud	2	6	8e-04	0	0.5
Es2	tud	2	6	0.0014	0	0.5
MED24	tud	2	6	0.0021	0	0.5
Vhl	tud	2	6	2e-04	0	0.5
tral	tud	2	6	0.0022	0	0.5
sns	tud	2	6	0.0044	0	0.5
mbl	tud	2	6	0.0058	0	0.5
sav	tud	2	6	0.0015	0	0.5
lola	tud	2	6	0.0016	0	0.5
robo	tud	2	6	3e-04	0	0.5
CG32486	tud	2	6	4e-04	0	0.5
santa.maria	tud	2	6	0.0528	0	0.5
stumps	tud	2	6	0.001	0	0.5
