Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	tum	2	6	0	0	0.5
emp	tum	2	6	0	0	0.5
CG2678	tum	2	6	0	0	0.5
crc	tum	2	6	0	0	0.5
pros	tum	2	6	0	0	0.5
neur	tum	2	6	0	0	0.5
Rab5	tum	2	6	0	0	0.5
Rab7	tum	2	6	0	0	0.5
Mmp2	tum	2	6	1e-04	0	0.5
W	tum	2	6	0	0	0.5
bowl	tum	2	6	0	0	0.5
fd59A	tum	2	6	0	0	0.5
e	tum	2	6	3e-04	0	0.5
ben	tum	2	6	0	0	0.5
rdo	tum	2	6	0	0	0.5
lin	tum	2	6	0	0	0.5
tra	tum	2	6	0	0	0.5
tra2	tum	2	6	1e-04	0	0.5
cathD	tum	2	6	0	0	0.5
d	tum	2	6	0	0	0.5
lva	tum	2	6	2e-04	0	0.5
pbl	tum	2	6	2e-04	0	0.5
CG33205	tum	2	6	2e-04	0	0.5
da	tum	2	6	0	0	0.5
cactin	tum	2	6	0	0	0.5
hpo	tum	2	6	1e-04	0	0.5
Sema.2a	tum	2	6	0	0	0.5
Eip74EF	tum	2	6	0	0	0.5
eg	tum	2	6	0	0	0.5
Arc42	tum	2	6	0	0	0.5
toy	tum	2	6	0	0	0.5
Galpha73B	tum	2	6	0.001	0	0.5
RhoGAPp190	tum	2	6	0	0	0.5
MED11	tum	2	6	0	0	0.5
cher	tum	2	6	1e-04	0	0.5
BicD	tum	2	6	0	0	0.5
MYPT.75D	tum	2	6	0	0	0.5
mus304	tum	2	6	0	0	0.5
CdsA	tum	2	6	2e-04	0	0.5
btl	tum	2	6	0	0	0.5
Cyt.c.d	tum	2	6	0	0	0.5
tok	tum	2	6	3e-04	0	0.5
ttk	tum	2	6	0	0	0.5
tamo	tum	2	6	0	0	0.5
CG6416	tum	2	6	0	0	0.5
flfl	tum	2	6	0	0	0.5
Pvr	tum	2	6	0	0	0.5
kay	tum	2	6	0	0	0.5
Jra	tum	2	6	0	0	0.5
msk	tum	2	6	7e-04	0	0.5
tll	tum	2	6	0	0	0.5
Tm1	tum	2	6	0	0	0.5
srp	tum	2	6	0	0	0.5
Btk29A	tum	2	6	0	0	0.5
fred	tum	2	6	0	0	0.5
Src64B	tum	2	6	0	0	0.5
Mmp1	tum	2	6	6e-04	0	0.5
sll	tum	2	6	0	0	0.5
Hmgs	tum	2	6	4e-04	0	0.5
caps	tum	2	6	1e-04	0	0.5
Su.var.2.10	tum	2	6	2e-04	0	0.5
CycB	tum	2	6	0	0	0.5
spir	tum	2	6	0	0	0.5
spn.A	tum	2	6	0	0	0.5
Ptpmeg	tum	2	6	0	0	0.5
qua	tum	2	6	0	0	0.5
msn	tum	2	6	0	0	0.5
ena	tum	2	6	2e-04	0	0.5
spen	tum	2	6	0	0	0.5
emc	tum	2	6	0	0	0.5
tsh	tum	2	6	0	0	0.5
Dat	tum	2	6	1e-04	0	0.5
Lac	tum	2	6	0	0	0.5
dup	tum	2	6	0	0	0.5
CG3075	tum	2	6	0	0	0.5
Akap200	tum	2	6	0	0	0.5
CG18369	tum	2	6	0	0	0.5
bnl	tum	2	6	0	0	0.5
sec23	tum	2	6	0	0	0.5
Pde8	tum	2	6	0	0	0.5
Arp66B	tum	2	6	0	0	0.5
cos	tum	2	6	0	0	0.5
Borr	tum	2	6	0	0	0.5
X140up	tum	2	6	1e-04	0	0.5
Dhc64C	tum	2	6	0	0	0.5
Not1	tum	2	6	0	0	0.5
CG9520	tum	2	6	0	0	0.5
bib	tum	2	6	0	0	0.5
mib1	tum	2	6	0	0	0.5
cas	tum	2	6	0	0	0.5
Abi	tum	2	6	0	0	0.5
betaTub56D	tum	2	6	0	0	0.5
nej	tum	2	6	0	0	0.5
dlg1	tum	2	6	1e-04	0	0.5
Lcp65Ag1	tum	2	6	0	0	0.5
Es2	tum	2	6	0	0	0.5
MED24	tum	2	6	0	0	0.5
Vhl	tum	2	6	0	0	0.5
tral	tum	2	6	0	0	0.5
sns	tum	2	6	1e-04	0	0.5
mbl	tum	2	6	3e-04	0	0.5
sav	tum	2	6	0	0	0.5
lola	tum	2	6	1e-04	0	0.5
robo	tum	2	6	0	0	0.5
CG32486	tum	2	6	0	0	0.5
santa.maria	tum	2	6	1e-04	0	0.5
stumps	tum	2	6	0	0	0.5
abd.A	tum	2	6	1e-04	0	0.5
dock	tum	2	6	3e-04	0	0.5
Lar	tum	2	6	0	0	0.5
l.1.G0289	tum	2	6	0	0	0.5
Abl	tum	2	6	0	0	0.5
Syb	tum	2	6	0	0	0.5
dome	tum	2	6	0	0	0.5
ofs	tum	2	6	0	0	0.5
MED4	tum	2	6	0	0	0.5
scrib	tum	2	6	0	0	0.5
siz	tum	2	6	0	0	0.5
cbx	tum	2	6	0	0	0.5
dsx	tum	2	6	6e-04	0	0.5
Sb	tum	2	6	0	0	0.5
sax	tum	2	6	0	0	0.5
foxo	tum	2	6	0	0	0.5
Cyp1	tum	2	6	0	0	0.5
brm	tum	2	6	0	0	0.5
rad50	tum	2	6	1e-04	0	0.5
chico	tum	2	6	4e-04	0	0.5
cp309	tum	2	6	0	0	0.5
hdc	tum	2	6	1e-04	0	0.5
Axn	tum	2	6	0	0	0.5
Apc2	tum	2	6	0	0	0.5
PhKgamma	tum	2	6	0	0	0.5
eya	tum	2	6	1e-04	0	0.5
sktl	tum	2	6	0	0	0.5
sqd	tum	2	6	0	0	0.5
Akt1	tum	2	6	0	0	0.5
scyl	tum	2	6	0	0	0.5
cnk	tum	2	6	0	0	0.5
CG8149	tum	2	6	0	0	0.5
CG34379	tum	2	6	0	0	0.5
Yp1	tum	2	6	0	0	0.5
yrt	tum	2	6	4e-04	0	0.5
bap	tum	2	6	0	0	0.5
tud	tum	2	6	0	0	0.5
ct	tum	2	6	1e-04	0	0.5
tup	tum	2	6	0	0	0.5
G.ialpha65A	tum	2	6	0	0	0.5
knrl	tum	2	6	2e-04	0	0.5
Pkn	tum	2	6	0	0	0.5
Sry.delta	tum	2	6	0	0	0.5
Alh	tum	2	6	0	0	0.5
pnut	tum	2	6	0	0	0.5
phyl	tum	2	6	0	0	0.5
CG17739	tum	2	6	2e-04	0	0.5
B4	tum	2	6	5e-04	0	0.5
CG2681	tum	2	6	0	0	0.5
tow	tum	2	6	0	0	0.5
hkl	tum	2	6	4e-04	0	0.5
sina	tum	2	6	0	0	0.5
ry	tum	2	6	0	0	0.5
rux	tum	2	6	0	0	0.5
boss	tum	2	6	1e-04	0	0.5
Mkp3	tum	2	6	0	0	0.5
inaC	tum	2	6	0	0	0.5
sno	tum	2	6	3e-04	0	0.5
jagn	tum	2	6	0	0	0.5
dpn	tum	2	6	0	0	0.5
wrapper	tum	2	6	4e-04	0	0.5
Ca.alpha1D	tum	2	6	0	0	0.5
E2f	tum	2	6	0	0	0.5
Dp	tum	2	6	0	0	0.5
l.2.efl	tum	2	6	0	0	0.5
cnc	tum	2	6	3e-04	0	0.5
Atg5	tum	2	6	0	0	0.5
acj6	tum	2	6	0	0	0.5
Trl	tum	2	6	1e-04	0	0.5
d4	tum	2	6	0	0	0.5
CG16719	tum	2	6	0	0	0.5
CadN	tum	2	6	0	0	0.5
gro	tum	2	6	0	0	0.5
sec13	tum	2	6	0	0	0.5
klar	tum	2	6	3e-04	0	0.5
Rack1	tum	2	6	1e-04	0	0.5
Sobp	tum	2	6	0	0	0.5
ash1	tum	2	6	0	0	0.5
inv	tum	2	6	0	0	0.5
shot	tum	2	6	0	0	0.5
Oseg1	tum	2	6	0	0	0.5
Spred	tum	2	6	0	0	0.5
puc	tum	2	6	0	0	0.5
Atg6	tum	2	6	0	0	0.5
CG3829	tum	2	6	0	0	0.5
sle	tum	2	6	0	0	0.5
Cka	tum	2	6	0	0	0.5
form3	tum	2	6	2e-04	0	0.5
Pk61C	tum	2	6	1e-04	0	0.5
Pcaf	tum	2	6	0	0	0.5
sbb	tum	2	6	0	0	0.5
Ef1gamma	tum	2	6	0	0	0.5
FKBP59	tum	2	6	2e-04	0	0.5
Eip71CD	tum	2	6	0	0	0.5
xmas.2	tum	2	6	0	0	0.5
ppan	tum	2	6	0	0	0.5
Iswi	tum	2	6	3e-04	0	0.5
ine	tum	2	6	0	0	0.5
Tina.1	tum	2	6	0	0	0.5
bon	tum	2	6	3e-04	0	0.5
pot	tum	2	6	0	0	0.5
chic	tum	2	6	0	0	0.5
Hem	tum	2	6	0	0	0.5
chif	tum	2	6	2e-04	0	0.5
S6kII	tum	2	6	0	0	0.5
wal	tum	2	6	0	0	0.5
wls	tum	2	6	0	0	0.5
Ddx1	tum	2	6	0	0	0.5
Sulf1	tum	2	6	0	0	0.5
