Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	up	2	6	0	0	0.5
emp	up	2	6	0	0	0.5
CG2678	up	2	6	2e-04	0	0.5
crc	up	2	6	0	0	0.5
pros	up	2	6	0	0	0.5
neur	up	2	6	0	0	0.5
Rab5	up	2	6	0	0	0.5
Rab7	up	2	6	1e-04	0	0.5
Mmp2	up	2	6	0	0	0.5
W	up	2	6	0	0	0.5
bowl	up	2	6	0	0	0.5
fd59A	up	2	6	0	0	0.5
e	up	2	6	3e-04	0	0.5
ben	up	2	6	0	0	0.5
rdo	up	2	6	1e-04	0	0.5
lin	up	2	6	0	0	0.5
tra	up	2	6	1e-04	0	0.5
tra2	up	2	6	1e-04	0	0.5
cathD	up	2	6	0	0	0.5
d	up	2	6	0	0	0.5
lva	up	2	6	0	0	0.5
pbl	up	2	6	6e-04	0	0.5
CG33205	up	2	6	0	0	0.5
da	up	2	6	4e-04	0	0.5
cactin	up	2	6	0	0	0.5
hpo	up	2	6	0	0	0.5
Sema.2a	up	2	6	0	0	0.5
Eip74EF	up	2	6	0	0	0.5
eg	up	2	6	0	0	0.5
Arc42	up	2	6	0	0	0.5
toy	up	2	6	3e-04	0	0.5
Galpha73B	up	2	6	2e-04	0	0.5
RhoGAPp190	up	2	6	6e-04	0	0.5
MED11	up	2	6	0	0	0.5
cher	up	2	6	0	0	0.5
BicD	up	2	6	9e-04	0	0.5
MYPT.75D	up	2	6	3e-04	0	0.5
mus304	up	2	6	3e-04	0	0.5
CdsA	up	2	6	0	0	0.5
btl	up	2	6	0	0	0.5
Cyt.c.d	up	2	6	0	0	0.5
tok	up	2	6	7e-04	0	0.5
ttk	up	2	6	0	0	0.5
tamo	up	2	6	0	0	0.5
CG6416	up	2	6	2e-04	0	0.5
flfl	up	2	6	0	0	0.5
Pvr	up	2	6	0	0	0.5
kay	up	2	6	0	0	0.5
Jra	up	2	6	0	0	0.5
msk	up	2	6	0	0	0.5
tll	up	2	6	3e-04	0	0.5
Tm1	up	2	6	0	0	0.5
srp	up	2	6	0	0	0.5
Btk29A	up	2	6	0	0	0.5
fred	up	2	6	0	0	0.5
Src64B	up	2	6	0	0	0.5
Mmp1	up	2	6	3e-04	0	0.5
sll	up	2	6	0	0	0.5
Hmgs	up	2	6	0	0	0.5
caps	up	2	6	9e-04	0	0.5
Su.var.2.10	up	2	6	0	0	0.5
CycB	up	2	6	3e-04	0	0.5
spir	up	2	6	1e-04	0	0.5
spn.A	up	2	6	4e-04	0	0.5
Ptpmeg	up	2	6	1e-04	0	0.5
qua	up	2	6	5e-04	0	0.5
msn	up	2	6	1e-04	0	0.5
ena	up	2	6	0	0	0.5
spen	up	2	6	0	0	0.5
emc	up	2	6	2e-04	0	0.5
tsh	up	2	6	2e-04	0	0.5
Dat	up	2	6	9e-04	0	0.5
Lac	up	2	6	0	0	0.5
dup	up	2	6	0	0	0.5
CG3075	up	2	6	4e-04	0	0.5
Akap200	up	2	6	0	0	0.5
CG18369	up	2	6	0	0	0.5
