Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	v	2	6	0	0	0.5
emp	v	2	6	2e-04	0	0.5
CG2678	v	2	6	3e-04	0	0.5
crc	v	2	6	0	0	0.5
pros	v	2	6	0	0	0.5
neur	v	2	6	0	0	0.5
Rab5	v	2	6	0	0	0.5
Rab7	v	2	6	0	0	0.5
Mmp2	v	2	6	3e-04	0	0.5
W	v	2	6	1e-04	0	0.5
bowl	v	2	6	0	0	0.5
fd59A	v	2	6	0	0	0.5
e	v	2	6	0	0	0.5
ben	v	2	6	0	0	0.5
rdo	v	2	6	0	0	0.5
lin	v	2	6	0	0	0.5
tra	v	2	6	0	0	0.5
tra2	v	2	6	0	0	0.5
cathD	v	2	6	5e-04	0	0.5
d	v	2	6	0	0	0.5
lva	v	2	6	0	0	0.5
pbl	v	2	6	0	0	0.5
CG33205	v	2	6	5e-04	0	0.5
da	v	2	6	0.4216	0	0.5
cactin	v	2	6	0	0	0.5
hpo	v	2	6	0	0	0.5
Sema.2a	v	2	6	0	0	0.5
Eip74EF	v	2	6	7e-04	0	0.5
eg	v	2	6	0	0	0.5
Arc42	v	2	6	0	0	0.5
toy	v	2	6	7e-04	0	0.5
Galpha73B	v	2	6	1e-04	0	0.5
RhoGAPp190	v	2	6	0	0	0.5
MED11	v	2	6	6e-04	0	0.5
cher	v	2	6	0	0	0.5
BicD	v	2	6	0	0	0.5
MYPT.75D	v	2	6	1e-04	0	0.5
mus304	v	2	6	0	0	0.5
CdsA	v	2	6	0	0	0.5
btl	v	2	6	6e-04	0	0.5
Cyt.c.d	v	2	6	0	0	0.5
tok	v	2	6	0.0766	0	0.5
ttk	v	2	6	0	0	0.5
tamo	v	2	6	8e-04	0	0.5
CG6416	v	2	6	9e-04	0	0.5
flfl	v	2	6	0	0	0.5
Pvr	v	2	6	0	0	0.5
kay	v	2	6	0	0	0.5
Jra	v	2	6	0	0	0.5
msk	v	2	6	0	0	0.5
tll	v	2	6	9e-04	0	0.5
Tm1	v	2	6	0	0	0.5
srp	v	2	6	1e-04	0	0.5
Btk29A	v	2	6	0	0	0.5
fred	v	2	6	9e-04	0	0.5
Src64B	v	2	6	1e-04	0	0.5
Mmp1	v	2	6	1e-04	0	0.5
