Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	vap	2	6	5e-04	0	0.5
emp	vap	2	6	1e-04	0	0.5
CG2678	vap	2	6	0	0	0.5
crc	vap	2	6	0	0	0.5
pros	vap	2	6	1e-04	0	0.5
neur	vap	2	6	6e-04	0	0.5
Rab5	vap	2	6	0	0	0.5
Rab7	vap	2	6	0	0	0.5
Mmp2	vap	2	6	7e-04	0	0.5
W	vap	2	6	8e-04	0	0.5
bowl	vap	2	6	4e-04	0	0.5
fd59A	vap	2	6	0	0	0.5
e	vap	2	6	2e-04	0	0.5
ben	vap	2	6	0	0	0.5
rdo	vap	2	6	0	0	0.5
lin	vap	2	6	2e-04	0	0.5
tra	vap	2	6	0	0	0.5
tra2	vap	2	6	3e-04	0	0.5
cathD	vap	2	6	0.0022	0	0.5
d	vap	2	6	2e-04	0	0.5
lva	vap	2	6	5e-04	0	0.5
pbl	vap	2	6	0.1243	0	0.5
CG33205	vap	2	6	4e-04	0	0.5
da	vap	2	6	0	0	0.5
cactin	vap	2	6	0	0	0.5
hpo	vap	2	6	6e-04	0	0.5
Sema.2a	vap	2	6	8e-04	0	0.5
Eip74EF	vap	2	6	0	0	0.5
eg	vap	2	6	8e-04	0	0.5
Arc42	vap	2	6	0.001	0	0.5
toy	vap	2	6	0	0	0.5
Galpha73B	vap	2	6	0	0	0.5
RhoGAPp190	vap	2	6	3e-04	0	0.5
MED11	vap	2	6	0	0	0.5
cher	vap	2	6	0.1882	0	0.5
BicD	vap	2	6	4e-04	0	0.5
MYPT.75D	vap	2	6	7e-04	0	0.5
mus304	vap	2	6	0.0015	0	0.5
CdsA	vap	2	6	1e-04	0	0.5
btl	vap	2	6	0	0	0.5
Cyt.c.d	vap	2	6	3e-04	0	0.5
tok	vap	2	6	0.0046	0	0.5
ttk	vap	2	6	7e-04	0	0.5
tamo	vap	2	6	7e-04	0	0.5
CG6416	vap	2	6	6e-04	0	0.5
flfl	vap	2	6	7e-04	0	0.5
Pvr	vap	2	6	5e-04	0	0.5
kay	vap	2	6	0.0085	0	0.5
Jra	vap	2	6	0	0	0.5
msk	vap	2	6	4e-04	0	0.5
tll	vap	2	6	4e-04	0	0.5
Tm1	vap	2	6	0	0	0.5
srp	vap	2	6	0	0	0.5
Btk29A	vap	2	6	6e-04	0	0.5
fred	vap	2	6	2e-04	0	0.5
Src64B	vap	2	6	1e-04	0	0.5
Mmp1	vap	2	6	0	0	0.5
sll	vap	2	6	4e-04	0	0.5
Hmgs	vap	2	6	0	0	0.5
caps	vap	2	6	0	0	0.5
Su.var.2.10	vap	2	6	2e-04	0	0.5
CycB	vap	2	6	0	0	0.5
spir	vap	2	6	4e-04	0	0.5
spn.A	vap	2	6	0.0035	0	0.5
Ptpmeg	vap	2	6	0.0013	0	0.5
qua	vap	2	6	3e-04	0	0.5
msn	vap	2	6	2e-04	0	0.5
ena	vap	2	6	0.0057	0	0.5
spen	vap	2	6	3e-04	0	0.5
emc	vap	2	6	1e-04	0	0.5
tsh	vap	2	6	2e-04	0	0.5
Dat	vap	2	6	0.0024	0	0.5
Lac	vap	2	6	1e-04	0	0.5
dup	vap	2	6	3e-04	0	0.5
CG3075	vap	2	6	0	0	0.5
Akap200	vap	2	6	4e-04	0	0.5
CG18369	vap	2	6	1e-04	0	0.5
bnl	vap	2	6	0	0	0.5
sec23	vap	2	6	0	0	0.5
Pde8	vap	2	6	0.0013	0	0.5
Arp66B	vap	2	6	4e-04	0	0.5
cos	vap	2	6	0	0	0.5
Borr	vap	2	6	0	0	0.5
X140up	vap	2	6	3e-04	0	0.5
Dhc64C	vap	2	6	0	0	0.5
Not1	vap	2	6	0.0013	0	0.5
CG9520	vap	2	6	1e-04	0	0.5
bib	vap	2	6	2e-04	0	0.5
mib1	vap	2	6	4e-04	0	0.5
cas	vap	2	6	0	0	0.5
Abi	vap	2	6	0	0	0.5
betaTub56D	vap	2	6	6e-04	0	0.5
nej	vap	2	6	0	0	0.5
dlg1	vap	2	6	7e-04	0	0.5
Lcp65Ag1	vap	2	6	1e-04	0	0.5
Es2	vap	2	6	0	0	0.5
MED24	vap	2	6	0	0	0.5
Vhl	vap	2	6	0	0	0.5
tral	vap	2	6	4e-04	0	0.5
sns	vap	2	6	0	0	0.5
mbl	vap	2	6	5e-04	0	0.5
sav	vap	2	6	0	0	0.5
lola	vap	2	6	8e-04	0	0.5
robo	vap	2	6	4e-04	0	0.5
CG32486	vap	2	6	1e-04	0	0.5
santa.maria	vap	2	6	8e-04	0	0.5
stumps	vap	2	6	5e-04	0	0.5
abd.A	vap	2	6	1e-04	0	0.5
dock	vap	2	6	4e-04	0	0.5
Lar	vap	2	6	4e-04	0	0.5
l.1.G0289	vap	2	6	1e-04	0	0.5
Abl	vap	2	6	1e-04	0	0.5
Syb	vap	2	6	7e-04	0	0.5
dome	vap	2	6	2e-04	0	0.5
ofs	vap	2	6	1e-04	0	0.5
MED4	vap	2	6	4e-04	0	0.5
scrib	vap	2	6	2e-04	0	0.5
siz	vap	2	6	5e-04	0	0.5
cbx	vap	2	6	0	0	0.5
dsx	vap	2	6	0	0	0.5
Sb	vap	2	6	1e-04	0	0.5
sax	vap	2	6	0.0011	0	0.5
foxo	vap	2	6	1e-04	0	0.5
Cyp1	vap	2	6	4e-04	0	0.5
brm	vap	2	6	8e-04	0	0.5
rad50	vap	2	6	0	0	0.5
chico	vap	2	6	0	0	0.5
cp309	vap	2	6	0.0012	0	0.5
hdc	vap	2	6	1e-04	0	0.5
Axn	vap	2	6	0	0	0.5
Apc2	vap	2	6	0	0	0.5
PhKgamma	vap	2	6	0.0018	0	0.5
eya	vap	2	6	1e-04	0	0.5
sktl	vap	2	6	0	0	0.5
sqd	vap	2	6	8e-04	0	0.5
Akt1	vap	2	6	6e-04	0	0.5
scyl	vap	2	6	0	0	0.5
cnk	vap	2	6	2e-04	0	0.5
CG8149	vap	2	6	8e-04	0	0.5
CG34379	vap	2	6	2e-04	0	0.5
