Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	wal	2	6	0	0	0.5
emp	wal	2	6	0	0	0.5
CG2678	wal	2	6	0	0	0.5
crc	wal	2	6	0	0	0.5
pros	wal	2	6	0.0021	0	0.5
neur	wal	2	6	0	0	0.5
Rab5	wal	2	6	6e-04	0	0.5
Rab7	wal	2	6	0	0	0.5
Mmp2	wal	2	6	8e-04	0	0.5
W	wal	2	6	2e-04	0	0.5
bowl	wal	2	6	3e-04	0	0.5
fd59A	wal	2	6	0	0	0.5
e	wal	2	6	0.0012	0	0.5
ben	wal	2	6	0.0013	0	0.5
rdo	wal	2	6	0.1624	0	0.5
lin	wal	2	6	5e-04	0	0.5
tra	wal	2	6	6e-04	0	0.5
tra2	wal	2	6	0	0	0.5
cathD	wal	2	6	0	0	0.5
d	wal	2	6	1e-04	0	0.5
lva	wal	2	6	2e-04	0	0.5
pbl	wal	2	6	0	0	0.5
CG33205	wal	2	6	2e-04	0	0.5
da	wal	2	6	0.0014	0	0.5
cactin	wal	2	6	0	0	0.5
hpo	wal	2	6	1e-04	0	0.5
Sema.2a	wal	2	6	0	0	0.5
Eip74EF	wal	2	6	0	0	0.5
eg	wal	2	6	1e-04	0	0.5
Arc42	wal	2	6	0	0	0.5
toy	wal	2	6	0	0	0.5
Galpha73B	wal	2	6	0	0	0.5
RhoGAPp190	wal	2	6	0	0	0.5
MED11	wal	2	6	0.0022	0	0.5
cher	wal	2	6	0	0	0.5
BicD	wal	2	6	3e-04	0	0.5
MYPT.75D	wal	2	6	0	0	0.5
mus304	wal	2	6	4e-04	0	0.5
CdsA	wal	2	6	1e-04	0	0.5
btl	wal	2	6	1e-04	0	0.5
Cyt.c.d	wal	2	6	0.0014	0	0.5
tok	wal	2	6	0	0	0.5
ttk	wal	2	6	1e-04	0	0.5
tamo	wal	2	6	1e-04	0	0.5
CG6416	wal	2	6	0	0	0.5
flfl	wal	2	6	0	0	0.5
Pvr	wal	2	6	0	0	0.5
kay	wal	2	6	2e-04	0	0.5
Jra	wal	2	6	0	0	0.5
msk	wal	2	6	0	0	0.5
tll	wal	2	6	0.0015	0	0.5
Tm1	wal	2	6	0	0	0.5
srp	wal	2	6	1e-04	0	0.5
Btk29A	wal	2	6	0	0	0.5
fred	wal	2	6	0	0	0.5
Src64B	wal	2	6	0	0	0.5
Mmp1	wal	2	6	7e-04	0	0.5
sll	wal	2	6	0	0	0.5
Hmgs	wal	2	6	0.0016	0	0.5
caps	wal	2	6	0	0	0.5
Su.var.2.10	wal	2	6	2e-04	0	0.5
CycB	wal	2	6	0	0	0.5
spir	wal	2	6	0	0	0.5
spn.A	wal	2	6	3e-04	0	0.5
Ptpmeg	wal	2	6	0	0	0.5
qua	wal	2	6	0	0	0.5
msn	wal	2	6	0	0	0.5
ena	wal	2	6	0	0	0.5
spen	wal	2	6	3e-04	0	0.5
emc	wal	2	6	8e-04	0	0.5
tsh	wal	2	6	0	0	0.5
Dat	wal	2	6	4e-04	0	0.5
Lac	wal	2	6	0	0	0.5
dup	wal	2	6	4e-04	0	0.5
CG3075	wal	2	6	2e-04	0	0.5
Akap200	wal	2	6	0	0	0.5
CG18369	wal	2	6	6e-04	0	0.5
bnl	wal	2	6	6e-04	0	0.5
sec23	wal	2	6	0	0	0.5
Pde8	wal	2	6	0.001	0	0.5
Arp66B	wal	2	6	0	0	0.5
cos	wal	2	6	4e-04	0	0.5
Borr	wal	2	6	0	0	0.5
X140up	wal	2	6	0	0	0.5
Dhc64C	wal	2	6	0	0	0.5
Not1	wal	2	6	6e-04	0	0.5
CG9520	wal	2	6	1e-04	0	0.5
bib	wal	2	6	5e-04	0	0.5
mib1	wal	2	6	0	0	0.5
cas	wal	2	6	0	0	0.5
Abi	wal	2	6	0	0	0.5
betaTub56D	wal	2	6	0	0	0.5
nej	wal	2	6	8e-04	0	0.5
dlg1	wal	2	6	2e-04	0	0.5
Lcp65Ag1	wal	2	6	0	0	0.5
Es2	wal	2	6	5e-04	0	0.5
MED24	wal	2	6	0	0	0.5
Vhl	wal	2	6	3e-04	0	0.5
tral	wal	2	6	2e-04	0	0.5
sns	wal	2	6	0.0011	0	0.5
mbl	wal	2	6	0.1697	0	0.5
sav	wal	2	6	0	0	0.5
lola	wal	2	6	3e-04	0	0.5
robo	wal	2	6	0	0	0.5
CG32486	wal	2	6	2e-04	0	0.5
santa.maria	wal	2	6	0	0	0.5
stumps	wal	2	6	0	0	0.5
abd.A	wal	2	6	0	0	0.5
dock	wal	2	6	2e-04	0	0.5
Lar	wal	2	6	0	0	0.5
l.1.G0289	wal	2	6	0	0	0.5
Abl	wal	2	6	0	0	0.5
Syb	wal	2	6	0	0	0.5
dome	wal	2	6	2e-04	0	0.5
ofs	wal	2	6	0.5625	0.99318	0.5
MED4	wal	2	6	0.0024	0	0.5
scrib	wal	2	6	1e-04	0	0.5
siz	wal	2	6	0.0036	0	0.5
cbx	wal	2	6	3e-04	0	0.5
dsx	wal	2	6	3e-04	0	0.5
Sb	wal	2	6	3e-04	0	0.5
sax	wal	2	6	2e-04	0	0.5
foxo	wal	2	6	0	0	0.5
Cyp1	wal	2	6	0	0	0.5
brm	wal	2	6	0	0	0.5
rad50	wal	2	6	0	0	0.5
chico	wal	2	6	0.001	0	0.5
cp309	wal	2	6	0	0	0.5
hdc	wal	2	6	0	0	0.5
Axn	wal	2	6	2e-04	0	0.5
Apc2	wal	2	6	4e-04	0	0.5
PhKgamma	wal	2	6	1e-04	0	0.5
