Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	wee	2	6	0	0	0.5
emp	wee	2	6	0	0	0.5
CG2678	wee	2	6	0	0	0.5
crc	wee	2	6	0	0	0.5
pros	wee	2	6	0	0	0.5
neur	wee	2	6	0	0	0.5
Rab5	wee	2	6	0	0	0.5
Rab7	wee	2	6	3e-04	0	0.5
Mmp2	wee	2	6	0	0	0.5
W	wee	2	6	1e-04	0	0.5
bowl	wee	2	6	0	0	0.5
fd59A	wee	2	6	0	0	0.5
e	wee	2	6	0	0	0.5
ben	wee	2	6	0	0	0.5
rdo	wee	2	6	0	0	0.5
lin	wee	2	6	0	0	0.5
tra	wee	2	6	0	0	0.5
tra2	wee	2	6	0	0	0.5
cathD	wee	2	6	0	0	0.5
d	wee	2	6	0	0	0.5
lva	wee	2	6	2e-04	0	0.5
pbl	wee	2	6	0	0	0.5
CG33205	wee	2	6	0	0	0.5
da	wee	2	6	0	0	0.5
cactin	wee	2	6	1e-04	0	0.5
hpo	wee	2	6	0	0	0.5
Sema.2a	wee	2	6	0	0	0.5
Eip74EF	wee	2	6	0	0	0.5
eg	wee	2	6	0	0	0.5
Arc42	wee	2	6	0	0	0.5
toy	wee	2	6	3e-04	0	0.5
Galpha73B	wee	2	6	0	0	0.5
RhoGAPp190	wee	2	6	0	0	0.5
MED11	wee	2	6	0	0	0.5
cher	wee	2	6	0	0	0.5
BicD	wee	2	6	0	0	0.5
MYPT.75D	wee	2	6	0	0	0.5
mus304	wee	2	6	0	0	0.5
CdsA	wee	2	6	1e-04	0	0.5
btl	wee	2	6	3e-04	0	0.5
Cyt.c.d	wee	2	6	2e-04	0	0.5
tok	wee	2	6	0	0	0.5
ttk	wee	2	6	3e-04	0	0.5
tamo	wee	2	6	0	0	0.5
CG6416	wee	2	6	1e-04	0	0.5
flfl	wee	2	6	0	0	0.5
Pvr	wee	2	6	1e-04	0	0.5
kay	wee	2	6	0	0	0.5
Jra	wee	2	6	0	0	0.5
msk	wee	2	6	0	0	0.5
tll	wee	2	6	0	0	0.5
Tm1	wee	2	6	0	0	0.5
srp	wee	2	6	0	0	0.5
Btk29A	wee	2	6	0	0	0.5
fred	wee	2	6	0	0	0.5
Src64B	wee	2	6	2e-04	0	0.5
Mmp1	wee	2	6	0	0	0.5
sll	wee	2	6	0	0	0.5
Hmgs	wee	2	6	1e-04	0	0.5
caps	wee	2	6	0	0	0.5
Su.var.2.10	wee	2	6	0	0	0.5
CycB	wee	2	6	0	0	0.5
spir	wee	2	6	0	0	0.5
spn.A	wee	2	6	2e-04	0	0.5
Ptpmeg	wee	2	6	0	0	0.5
qua	wee	2	6	1e-04	0	0.5
msn	wee	2	6	0	0	0.5
ena	wee	2	6	1e-04	0	0.5
spen	wee	2	6	1e-04	0	0.5
emc	wee	2	6	2e-04	0	0.5
tsh	wee	2	6	0	0	0.5
Dat	wee	2	6	0	0	0.5
Lac	wee	2	6	0	0	0.5
dup	wee	2	6	0	0	0.5
CG3075	wee	2	6	0	0	0.5
Akap200	wee	2	6	0	0	0.5
CG18369	wee	2	6	6e-04	0	0.5
bnl	wee	2	6	0	0	0.5
sec23	wee	2	6	0	0	0.5
Pde8	wee	2	6	2e-04	0	0.5
Arp66B	wee	2	6	0	0	0.5
cos	wee	2	6	0	0	0.5
Borr	wee	2	6	1e-04	0	0.5
X140up	wee	2	6	0	0	0.5
Dhc64C	wee	2	6	0	0	0.5
Not1	wee	2	6	2e-04	0	0.5
CG9520	wee	2	6	1e-04	0	0.5
bib	wee	2	6	0	0	0.5
mib1	wee	2	6	2e-04	0	0.5
cas	wee	2	6	0	0	0.5
Abi	wee	2	6	0	0	0.5
betaTub56D	wee	2	6	0	0	0.5
nej	wee	2	6	0	0	0.5
dlg1	wee	2	6	2e-04	0	0.5
Lcp65Ag1	wee	2	6	0	0	0.5
Es2	wee	2	6	1e-04	0	0.5
MED24	wee	2	6	0	0	0.5
Vhl	wee	2	6	0	0	0.5
tral	wee	2	6	0	0	0.5
sns	wee	2	6	0	0	0.5
mbl	wee	2	6	0	0	0.5
sav	wee	2	6	2e-04	0	0.5
lola	wee	2	6	4e-04	0	0.5
robo	wee	2	6	1e-04	0	0.5
CG32486	wee	2	6	0	0	0.5
santa.maria	wee	2	6	5e-04	0	0.5
stumps	wee	2	6	0	0	0.5
abd.A	wee	2	6	0	0	0.5
dock	wee	2	6	0	0	0.5
Lar	wee	2	6	1e-04	0	0.5
l.1.G0289	wee	2	6	0	0	0.5
Abl	wee	2	6	0	0	0.5
Syb	wee	2	6	7e-04	0	0.5
