Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	wg	2	6	1e-04	0	0.5
emp	wg	2	6	4e-04	0	0.5
CG2678	wg	2	6	0.0016	0	0.5
crc	wg	2	6	2e-04	0	0.5
pros	wg	2	6	0.0022	0	0.5
neur	wg	2	6	5e-04	0	0.5
Rab5	wg	2	6	3e-04	0	0.5
Rab7	wg	2	6	2e-04	0	0.5
Mmp2	wg	2	6	4e-04	0	0.5
W	wg	2	6	7e-04	0	0.5
bowl	wg	2	6	6e-04	0	0.5
fd59A	wg	2	6	0.0011	0	0.5
e	wg	2	6	4e-04	0	0.5
ben	wg	2	6	0.0022	0	0.5
rdo	wg	2	6	0	0	0.5
lin	wg	2	6	0.0025	0	0.5
tra	wg	2	6	1e-04	0	0.5
tra2	wg	2	6	0.0021	0	0.5
cathD	wg	2	6	1e-04	0	0.5
d	wg	2	6	0.0029	0	0.5
lva	wg	2	6	5e-04	0	0.5
pbl	wg	2	6	2e-04	0	0.5
CG33205	wg	2	6	0.0036	0	0.5
da	wg	2	6	0	0	0.5
cactin	wg	2	6	1e-04	0	0.5
hpo	wg	2	6	0.001	0	0.5
Sema.2a	wg	2	6	0.0264	0	0.5
Eip74EF	wg	2	6	3e-04	0	0.5
eg	wg	2	6	8e-04	0	0.5
Arc42	wg	2	6	0.0016	0	0.5
toy	wg	2	6	3e-04	0	0.5
Galpha73B	wg	2	6	6e-04	0	0.5
RhoGAPp190	wg	2	6	0	0	0.5
MED11	wg	2	6	4e-04	0	0.5
cher	wg	2	6	0.01	0	0.5
BicD	wg	2	6	2e-04	0	0.5
MYPT.75D	wg	2	6	9e-04	0	0.5
mus304	wg	2	6	3e-04	0	0.5
CdsA	wg	2	6	0.0054	0	0.5
btl	wg	2	6	0.001	0	0.5
Cyt.c.d	wg	2	6	0.0017	0	0.5
tok	wg	2	6	4e-04	0	0.5
ttk	wg	2	6	2e-04	0	0.5
tamo	wg	2	6	8e-04	0	0.5
CG6416	wg	2	6	0.0011	0	0.5
flfl	wg	2	6	2e-04	0	0.5
Pvr	wg	2	6	0.001	0	0.5
kay	wg	2	6	0.0229	0	0.5
Jra	wg	2	6	9e-04	0	0.5
msk	wg	2	6	0.001	0	0.5
tll	wg	2	6	4e-04	0	0.5
Tm1	wg	2	6	3e-04	0	0.5
srp	wg	2	6	4e-04	0	0.5
Btk29A	wg	2	6	8e-04	0	0.5
fred	wg	2	6	0.0011	0	0.5
Src64B	wg	2	6	4e-04	0	0.5
Mmp1	wg	2	6	5e-04	0	0.5
sll	wg	2	6	1e-04	0	0.5
Hmgs	wg	2	6	4e-04	0	0.5
caps	wg	2	6	1e-04	0	0.5
Su.var.2.10	wg	2	6	0.001	0	0.5
CycB	wg	2	6	3e-04	0	0.5
spir	wg	2	6	3e-04	0	0.5
spn.A	wg	2	6	4e-04	0	0.5
Ptpmeg	wg	2	6	2e-04	0	0.5
qua	wg	2	6	8e-04	0	0.5
msn	wg	2	6	0.0141	0	0.5
ena	wg	2	6	3e-04	0	0.5
spen	wg	2	6	0.0018	0	0.5
emc	wg	2	6	0.0012	0	0.5
tsh	wg	2	6	0.0026	0	0.5
Dat	wg	2	6	2e-04	0	0.5
Lac	wg	2	6	0.0021	0	0.5
dup	wg	2	6	0.0011	0	0.5
CG3075	wg	2	6	2e-04	0	0.5
Akap200	wg	2	6	0.0594	0	0.5
CG18369	wg	2	6	2e-04	0	0.5
bnl	wg	2	6	7e-04	0	0.5
sec23	wg	2	6	0	0	0.5
Pde8	wg	2	6	0	0	0.5
Arp66B	wg	2	6	0	0	0.5
cos	wg	2	6	1e-04	0	0.5
Borr	wg	2	6	4e-04	0	0.5
X140up	wg	2	6	1e-04	0	0.5
Dhc64C	wg	2	6	0	0	0.5
Not1	wg	2	6	1e-04	0	0.5
CG9520	wg	2	6	7e-04	0	0.5
bib	wg	2	6	0.0014	0	0.5
mib1	wg	2	6	0.0627	0	0.5
cas	wg	2	6	9e-04	0	0.5
Abi	wg	2	6	0.0069	0	0.5
betaTub56D	wg	2	6	6e-04	0	0.5
nej	wg	2	6	4e-04	0	0.5
dlg1	wg	2	6	7e-04	0	0.5
Lcp65Ag1	wg	2	6	0.0016	0	0.5
Es2	wg	2	6	4e-04	0	0.5
MED24	wg	2	6	2e-04	0	0.5
Vhl	wg	2	6	3e-04	0	0.5
tral	wg	2	6	3e-04	0	0.5
sns	wg	2	6	0	0	0.5
mbl	wg	2	6	1e-04	0	0.5
sav	wg	2	6	4e-04	0	0.5
lola	wg	2	6	4e-04	0	0.5
robo	wg	2	6	0.0075	0	0.5
CG32486	wg	2	6	1e-04	0	0.5
santa.maria	wg	2	6	0.0016	0	0.5
stumps	wg	2	6	9e-04	0	0.5
abd.A	wg	2	6	0.0011	0	0.5
dock	wg	2	6	0.0031	0	0.5
Lar	wg	2	6	3e-04	0	0.5
l.1.G0289	wg	2	6	6e-04	0	0.5
Abl	wg	2	6	9e-04	0	0.5
Syb	wg	2	6	0.0011	0	0.5
dome	wg	2	6	1e-04	0	0.5
ofs	wg	2	6	0.0011	0	0.5
MED4	wg	2	6	0	0	0.5
scrib	wg	2	6	0.001	0	0.5
siz	wg	2	6	0	0	0.5
cbx	wg	2	6	7e-04	0	0.5
dsx	wg	2	6	1e-04	0	0.5
Sb	wg	2	6	6e-04	0	0.5
sax	wg	2	6	0.002	0	0.5
foxo	wg	2	6	6e-04	0	0.5
Cyp1	wg	2	6	2e-04	0	0.5
brm	wg	2	6	0.0011	0	0.5
rad50	wg	2	6	4e-04	0	0.5
chico	wg	2	6	4e-04	0	0.5
cp309	wg	2	6	3e-04	0	0.5
hdc	wg	2	6	0.0013	0	0.5
Axn	wg	2	6	0.001	0	0.5
Apc2	wg	2	6	0.0018	0	0.5
PhKgamma	wg	2	6	8e-04	0	0.5
eya	wg	2	6	0	0	0.5
sktl	wg	2	6	4e-04	0	0.5
sqd	wg	2	6	7e-04	0	0.5
Akt1	wg	2	6	6e-04	0	0.5
scyl	wg	2	6	7e-04	0	0.5
cnk	wg	2	6	0.0016	0	0.5
CG8149	wg	2	6	0.0012	0	0.5
CG34379	wg	2	6	2e-04	0	0.5
Yp1	wg	2	6	3e-04	0	0.5
yrt	wg	2	6	5e-04	0	0.5
bap	wg	2	6	3e-04	0	0.5
tud	wg	2	6	4e-04	0	0.5
ct	wg	2	6	0.0033	0	0.5
tup	wg	2	6	0.0014	0	0.5
G.ialpha65A	wg	2	6	2e-04	0	0.5
knrl	wg	2	6	0	0	0.5
Pkn	wg	2	6	7e-04	0	0.5
Sry.delta	wg	2	6	0.001	0	0.5
Alh	wg	2	6	8e-04	0	0.5
pnut	wg	2	6	8e-04	0	0.5
phyl	wg	2	6	0	0	0.5
CG17739	wg	2	6	7e-04	0	0.5
B4	wg	2	6	0	0	0.5
CG2681	wg	2	6	0.0036	0	0.5
tow	wg	2	6	3e-04	0	0.5
