Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	wupA	2	6	3e-04	0	0.5
emp	wupA	2	6	0	0	0.5
CG2678	wupA	2	6	0	0	0.5
crc	wupA	2	6	0	0	0.5
pros	wupA	2	6	7e-04	0	0.5
neur	wupA	2	6	0	0	0.5
Rab5	wupA	2	6	0	0	0.5
Rab7	wupA	2	6	4e-04	0	0.5
Mmp2	wupA	2	6	0	0	0.5
W	wupA	2	6	0	0	0.5
bowl	wupA	2	6	3e-04	0	0.5
fd59A	wupA	2	6	0	0	0.5
e	wupA	2	6	0	0	0.5
ben	wupA	2	6	0	0	0.5
rdo	wupA	2	6	0	0	0.5
lin	wupA	2	6	1e-04	0	0.5
tra	wupA	2	6	0	0	0.5
tra2	wupA	2	6	0	0	0.5
cathD	wupA	2	6	0	0	0.5
d	wupA	2	6	0	0	0.5
lva	wupA	2	6	1e-04	0	0.5
pbl	wupA	2	6	0	0	0.5
CG33205	wupA	2	6	0	0	0.5
da	wupA	2	6	5e-04	0	0.5
cactin	wupA	2	6	0	0	0.5
hpo	wupA	2	6	0	0	0.5
Sema.2a	wupA	2	6	0	0	0.5
Eip74EF	wupA	2	6	0	0	0.5
eg	wupA	2	6	0	0	0.5
Arc42	wupA	2	6	0	0	0.5
toy	wupA	2	6	0	0	0.5
Galpha73B	wupA	2	6	0	0	0.5
RhoGAPp190	wupA	2	6	1e-04	0	0.5
MED11	wupA	2	6	0	0	0.5
cher	wupA	2	6	0	0	0.5
BicD	wupA	2	6	4e-04	0	0.5
MYPT.75D	wupA	2	6	5e-04	0	0.5
mus304	wupA	2	6	0	0	0.5
CdsA	wupA	2	6	0	0	0.5
btl	wupA	2	6	0	0	0.5
Cyt.c.d	wupA	2	6	0	0	0.5
tok	wupA	2	6	0	0	0.5
ttk	wupA	2	6	0	0	0.5
tamo	wupA	2	6	0	0	0.5
CG6416	wupA	2	6	0	0	0.5
flfl	wupA	2	6	0	0	0.5
Pvr	wupA	2	6	0	0	0.5
kay	wupA	2	6	4e-04	0	0.5
Jra	wupA	2	6	0	0	0.5
msk	wupA	2	6	0	0	0.5
tll	wupA	2	6	0	0	0.5
Tm1	wupA	2	6	0	0	0.5
srp	wupA	2	6	0	0	0.5
Btk29A	wupA	2	6	1e-04	0	0.5
fred	wupA	2	6	2e-04	0	0.5
Src64B	wupA	2	6	0	0	0.5
Mmp1	wupA	2	6	0	0	0.5
sll	wupA	2	6	1e-04	0	0.5
Hmgs	wupA	2	6	0	0	0.5
caps	wupA	2	6	0	0	0.5
Su.var.2.10	wupA	2	6	4e-04	0	0.5
CycB	wupA	2	6	0	0	0.5
spir	wupA	2	6	0	0	0.5
spn.A	wupA	2	6	0	0	0.5
Ptpmeg	wupA	2	6	0	0	0.5
qua	wupA	2	6	0	0	0.5
msn	wupA	2	6	3e-04	0	0.5
ena	wupA	2	6	0	0	0.5
spen	wupA	2	6	0	0	0.5
emc	wupA	2	6	0	0	0.5
tsh	wupA	2	6	0	0	0.5
Dat	wupA	2	6	0	0	0.5
Lac	wupA	2	6	3e-04	0	0.5
dup	wupA	2	6	0	0	0.5
CG3075	wupA	2	6	0	0	0.5
Akap200	wupA	2	6	0	0	0.5
CG18369	wupA	2	6	1e-04	0	0.5
bnl	wupA	2	6	0	0	0.5
sec23	wupA	2	6	3e-04	0	0.5
Pde8	wupA	2	6	0	0	0.5
Arp66B	wupA	2	6	0	0	0.5
cos	wupA	2	6	0	0	0.5
Borr	wupA	2	6	0	0	0.5
X140up	wupA	2	6	0	0	0.5
Dhc64C	wupA	2	6	1e-04	0	0.5
Not1	wupA	2	6	0	0	0.5
CG9520	wupA	2	6	0	0	0.5
bib	wupA	2	6	0	0	0.5
mib1	wupA	2	6	4e-04	0	0.5
cas	wupA	2	6	1e-04	0	0.5
Abi	wupA	2	6	0	0	0.5
betaTub56D	wupA	2	6	3e-04	0	0.5
nej	wupA	2	6	0	0	0.5
dlg1	wupA	2	6	0	0	0.5
Lcp65Ag1	wupA	2	6	0	0	0.5
Es2	wupA	2	6	1e-04	0	0.5
MED24	wupA	2	6	0	0	0.5
Vhl	wupA	2	6	0	0	0.5
tral	wupA	2	6	7e-04	0	0.5
