Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	xl6	2	6	0	0	0.5
emp	xl6	2	6	3e-04	0	0.5
CG2678	xl6	2	6	0	0	0.5
crc	xl6	2	6	2e-04	0	0.5
pros	xl6	2	6	0	0	0.5
neur	xl6	2	6	0	0	0.5
Rab5	xl6	2	6	0	0	0.5
Rab7	xl6	2	6	0	0	0.5
Mmp2	xl6	2	6	1e-04	0	0.5
W	xl6	2	6	1e-04	0	0.5
bowl	xl6	2	6	1e-04	0	0.5
fd59A	xl6	2	6	0	0	0.5
e	xl6	2	6	5e-04	0	0.5
ben	xl6	2	6	1e-04	0	0.5
rdo	xl6	2	6	0	0	0.5
lin	xl6	2	6	0	0	0.5
tra	xl6	2	6	0	0	0.5
tra2	xl6	2	6	1e-04	0	0.5
cathD	xl6	2	6	1e-04	0	0.5
d	xl6	2	6	0	0	0.5
lva	xl6	2	6	0	0	0.5
pbl	xl6	2	6	0	0	0.5
CG33205	xl6	2	6	0	0	0.5
da	xl6	2	6	0	0	0.5
cactin	xl6	2	6	0	0	0.5
hpo	xl6	2	6	0	0	0.5
Sema.2a	xl6	2	6	0	0	0.5
Eip74EF	xl6	2	6	1e-04	0	0.5
eg	xl6	2	6	0	0	0.5
Arc42	xl6	2	6	0	0	0.5
toy	xl6	2	6	0	0	0.5
Galpha73B	xl6	2	6	0	0	0.5
RhoGAPp190	xl6	2	6	0	0	0.5
MED11	xl6	2	6	0	0	0.5
cher	xl6	2	6	0	0	0.5
BicD	xl6	2	6	0	0	0.5
MYPT.75D	xl6	2	6	0	0	0.5
mus304	xl6	2	6	0	0	0.5
CdsA	xl6	2	6	1e-04	0	0.5
btl	xl6	2	6	0	0	0.5
Cyt.c.d	xl6	2	6	1e-04	0	0.5
tok	xl6	2	6	2e-04	0	0.5
ttk	xl6	2	6	1e-04	0	0.5
tamo	xl6	2	6	0	0	0.5
CG6416	xl6	2	6	0	0	0.5
flfl	xl6	2	6	0	0	0.5
Pvr	xl6	2	6	0	0	0.5
kay	xl6	2	6	0	0	0.5
Jra	xl6	2	6	1e-04	0	0.5
msk	xl6	2	6	0	0	0.5
tll	xl6	2	6	0	0	0.5
Tm1	xl6	2	6	0	0	0.5
srp	xl6	2	6	0	0	0.5
Btk29A	xl6	2	6	0	0	0.5
fred	xl6	2	6	0	0	0.5
Src64B	xl6	2	6	0	0	0.5
Mmp1	xl6	2	6	2e-04	0	0.5
sll	xl6	2	6	0	0	0.5
Hmgs	xl6	2	6	0	0	0.5
caps	xl6	2	6	0	0	0.5
Su.var.2.10	xl6	2	6	0	0	0.5
CycB	xl6	2	6	0	0	0.5
spir	xl6	2	6	0	0	0.5
spn.A	xl6	2	6	2e-04	0	0.5
Ptpmeg	xl6	2	6	0	0	0.5
qua	xl6	2	6	0	0	0.5
msn	xl6	2	6	0	0	0.5
ena	xl6	2	6	1e-04	0	0.5
spen	xl6	2	6	0	0	0.5
emc	xl6	2	6	1e-04	0	0.5
tsh	xl6	2	6	0	0	0.5
Dat	xl6	2	6	0	0	0.5
Lac	xl6	2	6	0	0	0.5
dup	xl6	2	6	0	0	0.5
CG3075	xl6	2	6	0	0	0.5
Akap200	xl6	2	6	2e-04	0	0.5
CG18369	xl6	2	6	0	0	0.5
bnl	xl6	2	6	0	0	0.5
