Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	xmas.2	2	6	0	0	0.5
emp	xmas.2	2	6	3e-04	0	0.5
CG2678	xmas.2	2	6	1e-04	0	0.5
crc	xmas.2	2	6	0	0	0.5
pros	xmas.2	2	6	0	0	0.5
neur	xmas.2	2	6	0	0	0.5
Rab5	xmas.2	2	6	2e-04	0	0.5
Rab7	xmas.2	2	6	0	0	0.5
Mmp2	xmas.2	2	6	0	0	0.5
W	xmas.2	2	6	2e-04	0	0.5
bowl	xmas.2	2	6	1e-04	0	0.5
fd59A	xmas.2	2	6	0	0	0.5
e	xmas.2	2	6	3e-04	0	0.5
ben	xmas.2	2	6	0	0	0.5
rdo	xmas.2	2	6	2e-04	0	0.5
lin	xmas.2	2	6	0	0	0.5
tra	xmas.2	2	6	3e-04	0	0.5
tra2	xmas.2	2	6	0	0	0.5
cathD	xmas.2	2	6	0	0	0.5
d	xmas.2	2	6	5e-04	0	0.5
lva	xmas.2	2	6	2e-04	0	0.5
pbl	xmas.2	2	6	0	0	0.5
CG33205	xmas.2	2	6	0	0	0.5
da	xmas.2	2	6	1e-04	0	0.5
cactin	xmas.2	2	6	0	0	0.5
hpo	xmas.2	2	6	0	0	0.5
Sema.2a	xmas.2	2	6	0	0	0.5
Eip74EF	xmas.2	2	6	5e-04	0	0.5
eg	xmas.2	2	6	0	0	0.5
Arc42	xmas.2	2	6	2e-04	0	0.5
toy	xmas.2	2	6	0	0	0.5
Galpha73B	xmas.2	2	6	0	0	0.5
RhoGAPp190	xmas.2	2	6	0	0	0.5
MED11	xmas.2	2	6	0	0	0.5
cher	xmas.2	2	6	0	0	0.5
BicD	xmas.2	2	6	0	0	0.5
MYPT.75D	xmas.2	2	6	0	0	0.5
mus304	xmas.2	2	6	0	0	0.5
CdsA	xmas.2	2	6	0	0	0.5
btl	xmas.2	2	6	0	0	0.5
Cyt.c.d	xmas.2	2	6	0	0	0.5
tok	xmas.2	2	6	1e-04	0	0.5
ttk	xmas.2	2	6	0.0013	0	0.5
tamo	xmas.2	2	6	1e-04	0	0.5
CG6416	xmas.2	2	6	0	0	0.5
flfl	xmas.2	2	6	0	0	0.5
Pvr	xmas.2	2	6	1e-04	0	0.5
kay	xmas.2	2	6	0	0	0.5
Jra	xmas.2	2	6	1e-04	0	0.5
msk	xmas.2	2	6	0	0	0.5
tll	xmas.2	2	6	1e-04	0	0.5
Tm1	xmas.2	2	6	1e-04	0	0.5
srp	xmas.2	2	6	0	0	0.5
Btk29A	xmas.2	2	6	0	0	0.5
fred	xmas.2	2	6	0	0	0.5
Src64B	xmas.2	2	6	0	0	0.5
Mmp1	xmas.2	2	6	0	0	0.5
sll	xmas.2	2	6	0	0	0.5
Hmgs	xmas.2	2	6	0	0	0.5
caps	xmas.2	2	6	0	0	0.5
Su.var.2.10	xmas.2	2	6	0	0	0.5
CycB	xmas.2	2	6	0	0	0.5
spir	xmas.2	2	6	0	0	0.5
spn.A	xmas.2	2	6	1e-04	0	0.5
Ptpmeg	xmas.2	2	6	0	0	0.5
qua	xmas.2	2	6	0	0	0.5
msn	xmas.2	2	6	4e-04	0	0.5
ena	xmas.2	2	6	0	0	0.5
spen	xmas.2	2	6	2e-04	0	0.5
emc	xmas.2	2	6	3e-04	0	0.5
tsh	xmas.2	2	6	0	0	0.5
Dat	xmas.2	2	6	0	0	0.5
Lac	xmas.2	2	6	0	0	0.5
dup	xmas.2	2	6	0	0	0.5
CG3075	xmas.2	2	6	2e-04	0	0.5
Akap200	xmas.2	2	6	0	0	0.5
CG18369	xmas.2	2	6	1e-04	0	0.5
bnl	xmas.2	2	6	0	0	0.5
sec23	xmas.2	2	6	0	0	0.5
Pde8	xmas.2	2	6	0	0	0.5
Arp66B	xmas.2	2	6	0	0	0.5
cos	xmas.2	2	6	0	0	0.5
Borr	xmas.2	2	6	0	0	0.5
X140up	xmas.2	2	6	0	0	0.5
Dhc64C	xmas.2	2	6	0	0	0.5
Not1	xmas.2	2	6	0	0	0.5
CG9520	xmas.2	2	6	0	0	0.5
bib	xmas.2	2	6	0	0	0.5
mib1	xmas.2	2	6	0	0	0.5
cas	xmas.2	2	6	3e-04	0	0.5
Abi	xmas.2	2	6	0	0	0.5
betaTub56D	xmas.2	2	6	0	0	0.5
nej	xmas.2	2	6	0	0	0.5
dlg1	xmas.2	2	6	0	0	0.5
Lcp65Ag1	xmas.2	2	6	1e-04	0	0.5
Es2	xmas.2	2	6	5e-04	0	0.5
MED24	xmas.2	2	6	1e-04	0	0.5
Vhl	xmas.2	2	6	0	0	0.5
tral	xmas.2	2	6	0	0	0.5
sns	xmas.2	2	6	0	0	0.5
mbl	xmas.2	2	6	0	0	0.5
sav	xmas.2	2	6	0	0	0.5
lola	xmas.2	2	6	0	0	0.5
robo	xmas.2	2	6	0	0	0.5
CG32486	xmas.2	2	6	0	0	0.5
santa.maria	xmas.2	2	6	0	0	0.5
stumps	xmas.2	2	6	0	0	0.5
abd.A	xmas.2	2	6	0	0	0.5
dock	xmas.2	2	6	2e-04	0	0.5
Lar	xmas.2	2	6	2e-04	0	0.5
l.1.G0289	xmas.2	2	6	0	0	0.5
Abl	xmas.2	2	6	0	0	0.5
Syb	xmas.2	2	6	1e-04	0	0.5
dome	xmas.2	2	6	0	0	0.5
ofs	xmas.2	2	6	0	0	0.5
MED4	xmas.2	2	6	1e-04	0	0.5
scrib	xmas.2	2	6	0	0	0.5
siz	xmas.2	2	6	0	0	0.5
cbx	xmas.2	2	6	2e-04	0	0.5
dsx	xmas.2	2	6	0	0	0.5
Sb	xmas.2	2	6	0	0	0.5
sax	xmas.2	2	6	0	0	0.5
foxo	xmas.2	2	6	0	0	0.5
Cyp1	xmas.2	2	6	1e-04	0	0.5
brm	xmas.2	2	6	0	0	0.5
rad50	xmas.2	2	6	0	0	0.5
chico	xmas.2	2	6	0	0	0.5
cp309	xmas.2	2	6	0	0	0.5
hdc	xmas.2	2	6	0	0	0.5
Axn	xmas.2	2	6	1e-04	0	0.5
Apc2	xmas.2	2	6	0	0	0.5
PhKgamma	xmas.2	2	6	1e-04	0	0.5
eya	xmas.2	2	6	2e-04	0	0.5
sktl	xmas.2	2	6	0	0	0.5
sqd	xmas.2	2	6	0	0	0.5
Akt1	xmas.2	2	6	0	0	0.5
scyl	xmas.2	2	6	0	0	0.5
cnk	xmas.2	2	6	0	0	0.5
CG8149	xmas.2	2	6	4e-04	0	0.5
CG34379	xmas.2	2	6	0	0	0.5
Yp1	xmas.2	2	6	0	0	0.5
yrt	xmas.2	2	6	1e-04	0	0.5
bap	xmas.2	2	6	0	0	0.5
tud	xmas.2	2	6	1e-04	0	0.5
ct	xmas.2	2	6	0	0	0.5
tup	xmas.2	2	6	0	0	0.5
G.ialpha65A	xmas.2	2	6	1e-04	0	0.5
knrl	xmas.2	2	6	0	0	0.5
Pkn	xmas.2	2	6	2e-04	0	0.5
Sry.delta	xmas.2	2	6	0	0	0.5
Alh	xmas.2	2	6	1e-04	0	0.5
pnut	xmas.2	2	6	3e-04	0	0.5
phyl	xmas.2	2	6	0	0	0.5
