Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	yellow.f	2	6	0	0	0.5
emp	yellow.f	2	6	0	0	0.5
CG2678	yellow.f	2	6	0	0	0.5
crc	yellow.f	2	6	1e-04	0	0.5
pros	yellow.f	2	6	0.0022	0	0.5
neur	yellow.f	2	6	0	0	0.5
Rab5	yellow.f	2	6	7e-04	0	0.5
Rab7	yellow.f	2	6	0	0	0.5
Mmp2	yellow.f	2	6	0	0	0.5
W	yellow.f	2	6	0	0	0.5
bowl	yellow.f	2	6	0	0	0.5
fd59A	yellow.f	2	6	6e-04	0	0.5
e	yellow.f	2	6	9e-04	0	0.5
ben	yellow.f	2	6	0	0	0.5
rdo	yellow.f	2	6	1e-04	0	0.5
lin	yellow.f	2	6	0	0	0.5
tra	yellow.f	2	6	0	0	0.5
tra2	yellow.f	2	6	0	0	0.5
cathD	yellow.f	2	6	0.0023	0	0.5
d	yellow.f	2	6	0	0	0.5
lva	yellow.f	2	6	2e-04	0	0.5
pbl	yellow.f	2	6	0	0	0.5
CG33205	yellow.f	2	6	3e-04	0	0.5
da	yellow.f	2	6	0	0	0.5
cactin	yellow.f	2	6	1e-04	0	0.5
hpo	yellow.f	2	6	0	0	0.5
Sema.2a	yellow.f	2	6	0	0	0.5
Eip74EF	yellow.f	2	6	0.0012	0	0.5
eg	yellow.f	2	6	0	0	0.5
Arc42	yellow.f	2	6	0	0	0.5
toy	yellow.f	2	6	0	0	0.5
Galpha73B	yellow.f	2	6	6e-04	0	0.5
RhoGAPp190	yellow.f	2	6	0	0	0.5
MED11	yellow.f	2	6	2e-04	0	0.5
cher	yellow.f	2	6	0	0	0.5
BicD	yellow.f	2	6	1e-04	0	0.5
MYPT.75D	yellow.f	2	6	0.0012	0	0.5
mus304	yellow.f	2	6	0	0	0.5
CdsA	yellow.f	2	6	0	0	0.5
btl	yellow.f	2	6	0	0	0.5
Cyt.c.d	yellow.f	2	6	0	0	0.5
tok	yellow.f	2	6	1e-04	0	0.5
ttk	yellow.f	2	6	1e-04	0	0.5
tamo	yellow.f	2	6	1e-04	0	0.5
CG6416	yellow.f	2	6	0	0	0.5
flfl	yellow.f	2	6	0.001	0	0.5
Pvr	yellow.f	2	6	0	0	0.5
kay	yellow.f	2	6	5e-04	0	0.5
Jra	yellow.f	2	6	0	0	0.5
msk	yellow.f	2	6	9e-04	0	0.5
tll	yellow.f	2	6	7e-04	0	0.5
Tm1	yellow.f	2	6	1e-04	0	0.5
srp	yellow.f	2	6	0	0	0.5
Btk29A	yellow.f	2	6	1e-04	0	0.5
fred	yellow.f	2	6	0	0	0.5
Src64B	yellow.f	2	6	2e-04	0	0.5
Mmp1	yellow.f	2	6	0	0	0.5
sll	yellow.f	2	6	3e-04	0	0.5
Hmgs	yellow.f	2	6	7e-04	0	0.5
caps	yellow.f	2	6	0	0	0.5
Su.var.2.10	yellow.f	2	6	3e-04	0	0.5
CycB	yellow.f	2	6	0	0	0.5
