Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
Su.z.12	zfh2	2	6	0	0	0.5
emp	zfh2	2	6	6e-04	0	0.5
CG2678	zfh2	2	6	0	0	0.5
crc	zfh2	2	6	0	0	0.5
pros	zfh2	2	6	0	0	0.5
neur	zfh2	2	6	0	0	0.5
Rab5	zfh2	2	6	0	0	0.5
Rab7	zfh2	2	6	6e-04	0	0.5
Mmp2	zfh2	2	6	0	0	0.5
W	zfh2	2	6	3e-04	0	0.5
bowl	zfh2	2	6	1e-04	0	0.5
fd59A	zfh2	2	6	0	0	0.5
e	zfh2	2	6	0	0	0.5
ben	zfh2	2	6	0	0	0.5
rdo	zfh2	2	6	0	0	0.5
lin	zfh2	2	6	0	0	0.5
tra	zfh2	2	6	0	0	0.5
tra2	zfh2	2	6	2e-04	0	0.5
cathD	zfh2	2	6	0	0	0.5
d	zfh2	2	6	0	0	0.5
lva	zfh2	2	6	0	0	0.5
pbl	zfh2	2	6	0	0	0.5
CG33205	zfh2	2	6	0	0	0.5
da	zfh2	2	6	0	0	0.5
cactin	zfh2	2	6	0	0	0.5
hpo	zfh2	2	6	0	0	0.5
Sema.2a	zfh2	2	6	0	0	0.5
Eip74EF	zfh2	2	6	0	0	0.5
eg	zfh2	2	6	0	0	0.5
Arc42	zfh2	2	6	0	0	0.5
toy	zfh2	2	6	0	0	0.5
Galpha73B	zfh2	2	6	0	0	0.5
RhoGAPp190	zfh2	2	6	0	0	0.5
MED11	zfh2	2	6	0	0	0.5
cher	zfh2	2	6	1e-04	0	0.5
BicD	zfh2	2	6	1e-04	0	0.5
MYPT.75D	zfh2	2	6	0	0	0.5
mus304	zfh2	2	6	0	0	0.5
CdsA	zfh2	2	6	9e-04	0	0.5
btl	zfh2	2	6	2e-04	0	0.5
Cyt.c.d	zfh2	2	6	3e-04	0	0.5
tok	zfh2	2	6	0	0	0.5
ttk	zfh2	2	6	0	0	0.5
tamo	zfh2	2	6	3e-04	0	0.5
CG6416	zfh2	2	6	0	0	0.5
flfl	zfh2	2	6	4e-04	0	0.5
Pvr	zfh2	2	6	1e-04	0	0.5
kay	zfh2	2	6	0	0	0.5
Jra	zfh2	2	6	0	0	0.5
msk	zfh2	2	6	0	0	0.5
tll	zfh2	2	6	0	0	0.5
Tm1	zfh2	2	6	0	0	0.5
srp	zfh2	2	6	8e-04	0	0.5
Btk29A	zfh2	2	6	0	0	0.5
fred	zfh2	2	6	0	0	0.5
Src64B	zfh2	2	6	4e-04	0	0.5
Mmp1	zfh2	2	6	0	0	0.5
sll	zfh2	2	6	2e-04	0	0.5
Hmgs	zfh2	2	6	0	0	0.5
caps	zfh2	2	6	0	0	0.5
Su.var.2.10	zfh2	2	6	0	0	0.5
CycB	zfh2	2	6	0	0	0.5
spir	zfh2	2	6	0	0	0.5
spn.A	zfh2	2	6	0	0	0.5
Ptpmeg	zfh2	2	6	0	0	0.5
qua	zfh2	2	6	0	0	0.5
msn	zfh2	2	6	0	0	0.5
ena	zfh2	2	6	0	0	0.5
spen	zfh2	2	6	2e-04	0	0.5
emc	zfh2	2	6	3e-04	0	0.5
tsh	zfh2	2	6	2e-04	0	0.5
Dat	zfh2	2	6	0	0	0.5
Lac	zfh2	2	6	0	0	0.5
dup	zfh2	2	6	1e-04	0	0.5
CG3075	zfh2	2	6	0	0	0.5
Akap200	zfh2	2	6	2e-04	0	0.5
CG18369	zfh2	2	6	0	0	0.5
bnl	zfh2	2	6	0	0	0.5
sec23	zfh2	2	6	0	0	0.5
Pde8	zfh2	2	6	0	0	0.5
Arp66B	zfh2	2	6	0	0	0.5
cos	zfh2	2	6	0	0	0.5
Borr	zfh2	2	6	0	0	0.5
X140up	zfh2	2	6	1e-04	0	0.5
Dhc64C	zfh2	2	6	1e-04	0	0.5
Not1	zfh2	2	6	0	0	0.5
CG9520	zfh2	2	6	0	0	0.5
bib	zfh2	2	6	0	0	0.5
mib1	zfh2	2	6	0	0	0.5
cas	zfh2	2	6	0	0	0.5
Abi	zfh2	2	6	0	0	0.5
betaTub56D	zfh2	2	6	0	0	0.5
nej	zfh2	2	6	3e-04	0	0.5
dlg1	zfh2	2	6	0	0	0.5
Lcp65Ag1	zfh2	2	6	0	0	0.5
Es2	zfh2	2	6	0	0	0.5
MED24	zfh2	2	6	0	0	0.5
Vhl	zfh2	2	6	0	0	0.5
tral	zfh2	2	6	0	0	0.5
sns	zfh2	2	6	5e-04	0	0.5
mbl	zfh2	2	6	0	0	0.5
sav	zfh2	2	6	0	0	0.5
lola	zfh2	2	6	3e-04	0	0.5
robo	zfh2	2	6	0	0	0.5
CG32486	zfh2	2	6	0	0	0.5
santa.maria	zfh2	2	6	0	0	0.5
stumps	zfh2	2	6	0	0	0.5
abd.A	zfh2	2	6	0	0	0.5
dock	zfh2	2	6	3e-04	0	0.5
Lar	zfh2	2	6	1e-04	0	0.5
l.1.G0289	zfh2	2	6	0	0	0.5
Abl	zfh2	2	6	0	0	0.5
Syb	zfh2	2	6	0	0	0.5
dome	zfh2	2	6	0	0	0.5
ofs	zfh2	2	6	0	0	0.5
MED4	zfh2	2	6	0	0	0.5
scrib	zfh2	2	6	0	0	0.5
siz	zfh2	2	6	4e-04	0	0.5
cbx	zfh2	2	6	7e-04	0	0.5
dsx	zfh2	2	6	0	0	0.5
Sb	zfh2	2	6	0	0	0.5
sax	zfh2	2	6	0	0	0.5
foxo	zfh2	2	6	2e-04	0	0.5
Cyp1	zfh2	2	6	0	0	0.5
brm	zfh2	2	6	0	0	0.5
rad50	zfh2	2	6	0	0	0.5
chico	zfh2	2	6	0	0	0.5
cp309	zfh2	2	6	0	0	0.5
hdc	zfh2	2	6	2e-04	0	0.5
Axn	zfh2	2	6	0	0	0.5
Apc2	zfh2	2	6	0	0	0.5
PhKgamma	zfh2	2	6	0	0	0.5
eya	zfh2	2	6	4e-04	0	0.5
sktl	zfh2	2	6	0	0	0.5
sqd	zfh2	2	6	0	0	0.5
Akt1	zfh2	2	6	0	0	0.5
scyl	zfh2	2	6	1e-04	0	0.5
cnk	zfh2	2	6	0	0	0.5
CG8149	zfh2	2	6	0	0	0.5
CG34379	zfh2	2	6	3e-04	0	0.5
Yp1	zfh2	2	6	1e-04	0	0.5
yrt	zfh2	2	6	0	0	0.5
bap	zfh2	2	6	2e-04	0	0.5
tud	zfh2	2	6	1e-04	0	0.5
ct	zfh2	2	6	0	0	0.5
tup	zfh2	2	6	1e-04	0	0.5
G.ialpha65A	zfh2	2	6	0	0	0.5
knrl	zfh2	2	6	0	0	0.5
Pkn	zfh2	2	6	0	0	0.5
Sry.delta	zfh2	2	6	0	0	0.5
Alh	zfh2	2	6	8e-04	0	0.5
pnut	zfh2	2	6	0	0	0.5
phyl	zfh2	2	6	0	0	0.5
CG17739	zfh2	2	6	2e-04	0	0.5
B4	zfh2	2	6	0	0	0.5
CG2681	zfh2	2	6	0	0	0.5
tow	zfh2	2	6	3e-04	0	0.5
hkl	zfh2	2	6	0	0	0.5
sina	zfh2	2	6	0	0	0.5
ry	zfh2	2	6	0	0	0.5
rux	zfh2	2	6	0	0	0.5
boss	zfh2	2	6	0	0	0.5
Mkp3	zfh2	2	6	0	0	0.5
inaC	zfh2	2	6	0	0	0.5
sno	zfh2	2	6	0	0	0.5
jagn	zfh2	2	6	0	0	0.5
dpn	zfh2	2	6	0	0	0.5
wrapper	zfh2	2	6	0	0	0.5
Ca.alpha1D	zfh2	2	6	4e-04	0	0.5
E2f	zfh2	2	6	0	0	0.5
Dp	zfh2	2	6	0	0	0.5
l.2.efl	zfh2	2	6	0	0	0.5
cnc	zfh2	2	6	0	0	0.5
Atg5	zfh2	2	6	0	0	0.5
acj6	zfh2	2	6	1e-04	0	0.5
Trl	zfh2	2	6	0	0	0.5
d4	zfh2	2	6	0	0	0.5
CG16719	zfh2	2	6	0	0	0.5
CadN	zfh2	2	6	0	0	0.5
gro	zfh2	2	6	0	0	0.5
sec13	zfh2	2	6	0	0	0.5
klar	zfh2	2	6	0	0	0.5
Rack1	zfh2	2	6	1e-04	0	0.5
Sobp	zfh2	2	6	0	0	0.5
ash1	zfh2	2	6	8e-04	0	0.5
inv	zfh2	2	6	3e-04	0	0.5
shot	zfh2	2	6	5e-04	0	0.5
Oseg1	zfh2	2	6	0	0	0.5
Spred	zfh2	2	6	0	0	0.5
puc	zfh2	2	6	0	0	0.5
Atg6	zfh2	2	6	0	0	0.5
CG3829	zfh2	2	6	0	0	0.5
sle	zfh2	2	6	1e-04	0	0.5
Cka	zfh2	2	6	0	0	0.5
form3	zfh2	2	6	1e-04	0	0.5
Pk61C	zfh2	2	6	0	0	0.5
Pcaf	zfh2	2	6	0	0	0.5
sbb	zfh2	2	6	3e-04	0	0.5
Ef1gamma	zfh2	2	6	0	0	0.5
FKBP59	zfh2	2	6	4e-04	0	0.5
